Hora de inicio de la toma de datos: 12:03:00
AT(s)	F1.1	F1.2	F2.1	F2.2	F3.1	F3.2	F4.1	F4.2	F5.1	F5.2	ABD1	ABD2	ABD3	ABD4	PA	TCO	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	HRoll	HPitch	HYaw	WRoll	WPitch	WYaw	
0.01	3.8	0.8	37.8	73.1	17.4	52.8	15.1	32.1	12	45	30.4	82.2	44	63.1	34	26.6	100	99.9	99.9	94.9	99.9	99.5	99.9	99.9	99.5	99.9	-91.0929	15.8688	71.4656	-73.4934	9.44099	52.6165	
0.02	3.8	0.8	37.8	73.1	17.4	52.8	15.1	32.1	12	45	30.4	82.2	44	63.1	34	26.6	100	99.9	99.9	94.9	99.9	99.5	99.9	99.9	99.5	99.9	-91.0929	15.8688	71.4656	-73.4934	9.44099	52.6165	
0.03	3.8	0.8	37.8	73.1	17.4	52.8	15.1	32.1	12	45	30.4	82.2	44	63.1	34	26.6	100	99.9	99.9	94.9	99.9	99.5	99.9	99.9	99.5	99.9	-91.0929	15.8688	71.4656	-73.4934	9.44099	52.6165	
0.04	3.8	0.8	37.8	73.1	17.4	52.8	15.1	32.1	12	45	30.4	82.2	44	63.1	34	26.6	100	99.9	99.9	94.9	99.9	99.5	99.9	99.9	99.5	99.9	-91.0929	15.8688	71.4656	-73.4934	9.44099	52.6165	
0.05	3.8	0.8	37.8	73.1	17.4	52.8	15.1	32.1	12	45	30.4	82.2	44	63.1	34	26.6	100	99.9	99.9	94.9	99.9	99.5	99.9	99.9	99.5	99.9	-91.0929	15.8688	71.4656	-73.4934	9.44099	52.6165	
0.06	3.8	0.8	37.8	73.1	17.4	52.8	15.1	32.1	12	45	30.4	82.2	44	63.1	34	26.6	100	99.9	99.9	94.9	99.9	99.5	99.9	99.9	99.5	99.9	-91.0929	15.8688	71.4656	-73.4934	9.44099	52.6165	
0.07	3.8	0.8	37.8	73.1	17.4	52.8	15.1	32.1	12	45	30.4	82.2	44	63.1	34	26.6	100	99.9	99.9	94.9	99.9	99.5	99.9	99.9	99.5	99.9	-91.0929	15.8688	71.4656	-73.4934	9.44099	52.6165	
0.08	3.8	0.8	37.8	73.1	17.4	52.8	15.1	32.1	12	45	30.4	82.2	44	63.1	34	26.6	100	99.9	99.9	94.9	99.9	99.9	99.7	99.5	99.9	99.9	-91.0929	15.8688	71.4656	-73.3082	9.57419	52.6943	
0.09	3.8	0.8	37.8	73.1	17.4	52.8	15.1	32.1	12	45	30.4	82.2	44	63.1	34	26.6	100	99.9	99.9	94.9	99.9	99.9	99.7	99.5	99.9	99.9	-91.0929	15.8688	71.4656	-73.3082	9.57419	52.6943	
0.1	3.8	0.8	37.8	73.1	17.4	52.8	15.1	32.1	12	45	30.4	82.2	44	63.1	34	26.6	100	99.9	99.9	94.9	99.9	99.9	99.7	99.5	99.9	99.9	-91.0929	15.8688	71.4656	-73.3082	9.57419	52.6943	
