Hora de inicio de la toma de datos: 11:51:45
AT(s)	F1.1	F1.2	F2.1	F2.2	F3.1	F3.2	F4.1	F4.2	F5.1	F5.2	ABD1	ABD2	ABD3	ABD4	PA	TCO	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	HRoll	HPitch	HYaw	WRoll	WPitch	WYaw	
0.01	13.8	2.2	4.7	13.4	3	0.5	3	0	0.3	13.8	43.2	86.8	42	64.4	25.3	30.7	99.9	99.9	99.9	99.2	99.9	77.3	99.9	99.9	99.8	85.7	-22.2754	-3.81143	140.893	-11.7171	5.07392	-159.821	
0.02	13.8	2.2	4.7	13.4	3	0.5	3	0	0.3	13.8	43.2	86.8	42	64.4	25.3	30.7	99.9	99.9	99.9	99.2	99.9	77.3	99.9	99.9	99.8	85.7	-22.2754	-3.81143	140.893	-11.7171	5.07392	-159.821	
0.03	13.8	2.2	4.7	13.4	3	0.5	3	0	0.3	13.8	43.2	86.8	42	64.4	25.3	30.7	99.9	99.9	99.9	99.2	99.9	77.3	99.9	99.9	99.8	85.7	-22.2754	-3.81143	140.893	-11.7171	5.07392	-159.821	
0.04	13.8	2.2	4.7	13.4	3	0.5	3	0	0.3	13.8	43.2	86.8	42	64.4	25.3	30.7	99.9	99.9	99.9	99.2	99.9	77.3	99.9	99.9	99.8	85.7	-22.2754	-3.81143	140.893	-11.7171	5.07392	-159.821	
0.05	13.8	2.2	4.7	13.4	3	0.5	3	0	0.3	13.8	43.2	86.8	42	64.4	25.3	30.7	99.9	99.9	99.9	99.2	99.9	77.3	99.9	99.9	99.8	85.7	-22.2754	-3.81143	140.893	-11.7171	5.07392	-159.821	
0.06	13.8	2.2	4.7	13.4	3	0.5	3	0	0.3	13.8	43.2	86.8	42	64.4	25.3	30.7	99.9	99.9	99.9	99.2	99.9	77.3	99.9	99.9	99.8	85.7	-22.2754	-3.81143	140.893	-11.7171	5.07392	-159.821	
0.07	13.8	2.2	4.7	13.4	3	0.5	3	0	0.3	13.8	43.2	86.8	42	64.4	25.3	30.7	99.9	99.9	99.9	99.2	99.9	77.3	99.9	99.9	99.8	85.7	-22.2754	-3.81143	140.893	-11.7171	5.07392	-159.821	
0.08	14	2.4	4.7	13.3	3	0.4	3	0	0.3	13.7	42.9	86.2	41.8	64	24.8	29.5	100	99.9	99.9	99.3	99.9	80	99.9	99.9	99.8	85.1	-22.5668	-3.75013	140.921	-12.5189	5.48138	-159.728	
0.09	14	2.4	4.7	13.3	3	0.4	3	0	0.3	13.7	42.9	86.2	41.8	64	24.8	29.5	100	99.9	99.9	99.3	99.9	80	99.9	99.9	99.8	85.1	-22.5668	-3.75013	140.921	-12.5189	5.48138	-159.728	
0.1	14	2.4	4.7	13.3	3	0.4	3	0	0.3	13.7	42.9	86.2	41.8	64	24.8	29.5	100	99.9	99.9	99.3	99.9	80	99.9	99.9	99.8	85.1	-22.5668	-3.75013	140.921	-12.5189	5.48138	-159.728	
