Hora de inicio de la toma de datos: 11:43:01
AT(s)	F1.1	F1.2	F2.1	F2.2	F3.1	F3.2	F4.1	F4.2	F5.1	F5.2	ABD1	ABD2	ABD3	ABD4	PA	TCO	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	HRoll	HPitch	HYaw	WRoll	WPitch	WYaw	
0.01	5	2.7	3.2	8.6	1.3	0	2.6	0	0.8	3.8	65.9	69.8	36.5	53.15	34.3	32.4	100	99.9	81.9	91.9	99.9	98.9	99.9	99.9	99.8	99.9	-33.7949	48.9408	-120.207	-8.62726	8.24813	-50.0853	
0.02	5	2.7	3.2	8.6	1.3	0	2.6	0	0.8	3.8	65.9	69.8	36.5	53.15	34.3	32.4	100	99.9	81.9	91.9	99.9	98.9	99.9	99.9	99.8	99.9	-33.7949	48.9408	-120.207	-8.62726	8.24813	-50.0853	
0.03	5	2.9	3.1	8.6	1.6	0	2.5	0	0.8	3.7	65.2	69.5	36.3	52.9	34.2	32.2	99.9	99.9	82.5	92.4	99.9	98.6	99.9	99.9	99.9	99.7	-34.1415	48.9954	-120.678	-9.15864	7.6882	-50.3801	
0.04	5.2	2.3	3.2	8.6	1.5	0	2.9	0	0.9	3.7	65.3	69.4	36.3	52.85	34	31.7	100	99.9	82.9	92.4	99.9	98.8	99.9	99.9	99.9	99.8	-33.93	48.927	-120.514	-8.95319	7.89879	-50.4245	
0.05	5.2	2.3	3.2	8.6	1.5	0	2.9	0	0.9	3.7	65.3	69.4	36.3	52.85	34	31.7	100	99.9	82.9	92.4	99.9	98.8	99.9	99.9	99.9	99.8	-33.93	48.927	-120.514	-8.95319	7.89879	-50.4245	
0.06	5.2	2.3	3.2	8.6	1.5	0	2.9	0	0.9	3.7	65.3	69.4	36.3	52.85	34	31.7	100	99.9	82.9	92.4	99.9	98.8	99.9	99.9	99.9	99.8	-33.93	48.927	-120.514	-8.95319	7.89879	-50.4245	
0.07	5.2	2.3	3.2	8.6	1.5	0	2.9	0	0.9	3.7	65.3	69.4	36.3	52.85	34	31.7	100	99.9	82.9	92.4	99.9	98.8	99.9	99.9	99.9	99.8	-33.93	48.927	-120.514	-8.95319	7.89879	-50.4245	
0.08	5.2	2.3	3.2	8.6	1.5	0	2.9	0	0.9	3.7	65.3	69.4	36.3	52.85	34	31.7	100	99.9	82.9	92.4	99.9	98.8	99.9	99.9	99.9	99.8	-33.93	48.927	-120.514	-8.95319	7.89879	-50.4245	
0.09	5.2	2.3	3.2	8.6	1.5	0	2.9	0	0.9	3.7	65.3	69.4	36.3	52.85	34	31.7	100	99.9	82.9	92.4	99.9	98.8	99.9	99.9	99.9	99.8	-33.93	48.927	-120.514	-8.95319	7.89879	-50.4245	
0.1	5.2	2.3	3.2	8.6	1.5	0	2.9	0	0.9	3.7	65.3	69.4	36.3	52.85	34	31.7	100	99.9	82.9	92.4	99.9	98.8	99.9	99.9	99.9	99.8	-33.93	48.927	-120.514	-8.95319	7.89879	-50.4245	
0.11	5.2	2.3	3.2	8.6	1.5	0	2.9	0	0.9	3.7	65.3	69.4	36.3	52.85	34	31.7	100	99.9	82.9	92.4	99.9	98.8	99.9	99.9	99.9	99.8	-33.93	48.927	-120.514	-8.95319	7.89879	-50.4245	
0.12	5.2	2.3	3.2	8.6	1.5	0	2.9	0	0.9	3.7	65.3	69.4	36.3	52.85	34	31.7	100	99.9	82.9	92.4	99.9	98.8	99.9	99.9	99.9	99.8	-33.93	48.927	-120.514	-8.95319	7.89879	-50.4245	
0.13	5.2	2.3	3.2	8.6	1.5	0	2.9	0	0.9	3.7	65.3	69.4	36.3	52.85	34	31.7	100	99.9	82.9	92.4	99.9	98.8	99.9	99.9	99.9	99.8	-33.93	48.927	-120.514	-8.95319	7.89879	-50.4245	
0.14	5.2	2.3	3.2	8.6	1.5	0	2.9	0	0.9	3.7	65.3	69.4	36.3	52.85	34	31.7	100	99.9	82.9	92.4	99.9	98.8	99.9	99.9	99.9	99.8	-33.93	48.927	-120.514	-8.95319	7.89879	-50.4245	
0.15	5.2	2.3	3.2	8.6	1.5	0	2.9	0	0.9	3.7	65.3	69.4	36.3	52.85	34	31.7	100	99.9	82.9	92.4	99.9	98.8	99.9	99.9	99.9	99.8	-33.93	48.927	-120.514	-8.95319	7.89879	-50.4245	
0.16	5.2	2.3	3.2	8.6	1.5	0	2.9	0	0.9	3.7	65.3	69.4	36.3	52.85	34	31.7	100	99.9	82.9	92.4	99.9	98.8	99.9	99.9	99.9	99.8	-33.93	48.927	-120.514	-8.95319	7.89879	-50.4245	
0.171	5.2	2.3	3.2	8.6	1.5	0	2.9	0	0.9	3.7	65.3	69.4	36.3	52.85	34	31.7	100	99.9	82.9	92.4	99.9	98.8	99.9	99.9	99.9	99.8	-33.93	48.927	-120.514	-8.95319	7.89879	-50.4245	
0.181	5.2	2.3	3.2	8.6	1.5	0	2.9	0	0.9	3.7	65.3	69.4	36.3	52.85	34	31.7	100	99.9	82.9	92.4	99.9	98.8	99.9	99.9	99.9	99.8	-33.93	48.927	-120.514	-8.95319	7.89879	-50.4245	
0.191	5.2	2.3	3.2	8.6	1.5	0	2.9	0	0.9	3.7	65.3	69.4	36.3	52.85	34	31.7	100	99.9	82.9	92.4	99.9	98.8	99.9	99.9	99.9	99.8	-33.93	48.927	-120.514	-8.95319	7.89879	-50.4245	
