Hora de inicio de la toma de datos: 11:58:01
AT(s)	F1.1	F1.2	F2.1	F2.2	F3.1	F3.2	F4.1	F4.2	F5.1	F5.2	ABD1	ABD2	ABD3	ABD4	PA	TCO	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	HRoll	HPitch	HYaw	WRoll	WPitch	WYaw	
0.01	3.6	0.3	16.4	18.9	6	20	8.6	1.8	14.3	12.4	52.7	53.6	37.6	45.6	42	28.2	100	58.3	99.9	99.7	99.9	98.4	99.8	99.9	99.9	99.7	-85.2702	7.9741	165.962	-65.9522	7.49227	-1.02435	
0.02	3.6	0.3	16.4	18.9	6	20	8.6	1.8	14.3	12.4	52.7	53.6	37.6	45.6	42	28.2	100	58.3	99.9	99.7	99.9	98.4	99.8	99.9	99.9	99.7	-85.2702	7.9741	165.962	-65.9522	7.49227	-1.02435	
0.03	3.6	0.3	16.4	18.9	6	20	8.6	1.8	14.3	12.4	52.7	53.6	37.6	45.6	42	28.2	100	58.3	99.9	99.7	99.9	98.4	99.8	99.9	99.9	99.7	-85.2702	7.9741	165.962	-65.9522	7.49227	-1.02435	
0.04	3.6	0.3	16.4	18.9	6	20	8.6	1.8	14.3	12.4	52.7	53.6	37.6	45.6	42	28.2	100	58.3	99.9	99.7	99.9	98.4	99.8	99.9	99.9	99.7	-85.2702	7.9741	165.962	-65.9522	7.49227	-1.02435	
0.05	3.6	0.3	16.4	18.9	6	20	8.6	1.8	14.3	12.4	52.7	53.6	37.6	45.6	42	28.2	100	58.3	99.9	99.7	99.9	98.4	99.8	99.9	99.9	99.7	-85.2702	7.9741	165.962	-65.9522	7.49227	-1.02435	
0.06	3.6	0.3	16.4	18.9	6	20	8.6	1.8	14.3	12.4	52.7	53.6	37.6	45.6	42	28.2	100	58.3	99.9	99.7	99.9	98.4	99.8	99.9	99.9	99.7	-85.2702	7.9741	165.962	-65.9522	7.49227	-1.02435	
0.07	3.6	0.3	16.4	18.9	6	20	8.6	1.8	14.3	12.4	52.7	53.6	37.6	45.6	42	28.2	100	58.3	99.9	99.7	99.9	98.4	99.8	99.9	99.9	99.7	-85.2702	7.9741	165.962	-65.9522	7.49227	-1.02435	
0.08	3.6	0.3	16.4	18.9	6	20	8.6	1.8	14.3	12.4	52.7	53.6	37.6	45.6	42	28.2	100	58.3	99.9	99.7	99.9	98.4	99.8	99.9	99.9	99.7	-85.2702	7.9741	165.962	-65.9522	7.49227	-1.02435	
0.09	3.6	0.3	16.4	18.9	6	20	8.6	1.8	14.3	12.4	52.7	53.6	37.6	45.6	42	28.2	100	58.3	99.9	99.7	99.9	98.4	99.8	99.9	99.9	99.7	-85.2702	7.9741	165.962	-65.9522	7.49227	-1.02435	
0.1	3.6	0.3	16.4	18.9	6	20	8.6	1.8	14.3	12.4	52.7	53.6	37.6	45.6	42	28.2	100	58.3	99.9	99.7	99.9	98.4	99.8	99.9	99.9	99.7	-85.2702	7.9741	165.962	-65.9522	7.49227	-1.02435	
