Hora de inicio de la toma de datos: 11:42:05
AT(s)	F1.1	F1.2	F2.1	F2.2	F3.1	F3.2	F4.1	F4.2	F5.1	F5.2	ABD1	ABD2	ABD3	ABD4	PA	TCO	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	HRoll	HPitch	HYaw	WRoll	WPitch	WYaw	
0.01	5.9	1.7	1.8	8	0.4	0	1.7	0	0.2	5.5	57.4	70.4	35	52.7	31.1	30.8	100	99.9	99.9	99.8	99.9	91.2	99.7	99.9	99.7	99	-15.586	23.0912	-80.9524	0.396058	9.42615	-28.8279	
0.02	5.9	1.7	1.8	8	0.4	0	1.7	0	0.2	5.5	57.4	70.4	35	52.7	31.1	30.8	100	99.9	99.9	99.8	99.9	91.2	99.7	99.9	99.7	99	-15.586	23.0912	-80.9524	0.396058	9.42615	-28.8279	
0.03	5.9	1.7	1.8	8	0.4	0	1.7	0	0.2	5.5	57.4	70.4	35	52.7	31.1	30.8	100	99.9	99.9	99.8	99.9	91.2	99.7	99.9	99.7	99	-15.586	23.0912	-80.9524	0.396058	9.42615	-28.8279	
0.04	5.9	1.7	1.8	8	0.4	0	1.7	0	0.2	5.5	57.4	70.4	35	52.7	31.1	30.8	100	99.9	99.9	99.8	99.9	91.2	99.7	99.9	99.7	99	-15.586	23.0912	-80.9524	0.396058	9.42615	-28.8279	
0.05	5.9	1.7	1.8	8	0.4	0	1.7	0	0.2	5.5	57.4	70.4	35	52.7	31.1	30.8	100	99.9	99.9	99.8	99.9	91.2	99.7	99.9	99.7	99	-15.586	23.0912	-80.9524	0.396058	9.42615	-28.8279	
0.06	5.9	1.7	1.8	8	0.4	0	1.7	0	0.2	5.5	57.4	70.4	35	52.7	31.1	30.8	100	99.9	99.9	99.8	99.9	91.2	99.7	99.9	99.7	99	-15.586	23.0912	-80.9524	0.396058	9.42615	-28.8279	
0.07	5.9	1.7	1.8	8	0.4	0	1.7	0	0.2	5.5	57.4	70.4	35	52.7	31.1	30.8	100	99.9	99.9	99.8	99.9	91.2	99.7	99.9	99.7	99	-15.586	23.0912	-80.9524	0.396058	9.42615	-28.8279	
0.08	5.9	1.7	1.8	8	0.4	0	1.7	0	0.2	5.5	57.4	70.4	35	52.7	31.1	30.8	100	99.9	99.9	99.8	99.9	91.2	99.7	99.9	99.7	99	-15.586	23.0912	-80.9524	0.396058	9.42615	-28.8279	
0.09	5.9	1.7	1.8	8	0.4	0	1.7	0	0.2	5.5	57.4	70.4	35	52.7	31.1	30.8	100	99.9	99.9	99.8	99.9	91.2	99.7	99.9	99.7	99	-15.586	23.0912	-80.9524	0.396058	9.42615	-28.8279	
0.1	5.9	1.7	1.8	8	0.4	0	1.7	0	0.2	5.5	57.4	70.4	35	52.7	31.1	30.8	100	99.9	99.9	99.8	99.9	91.2	99.7	99.9	99.7	99	-15.586	23.0912	-80.9524	0.396058	9.42615	-28.8279	
0.11	5.9	1.7	1.8	8	0.4	0	1.7	0	0.2	5.5	57.4	70.4	35	52.7	31.1	30.8	100	99.9	99.9	99.8	99.9	91.2	99.7	99.9	99.7	99	-15.586	23.0912	-80.9524	0.396058	9.42615	-28.8279	
0.12	5.9	1.7	1.8	8	0.4	0	1.7	0	0.2	5.5	57.4	70.4	35	52.7	31.1	30.8	100	99.9	99.9	99.8	99.9	91.2	99.7	99.9	99.7	99	-15.586	23.0912	-80.9524	0.396058	9.42615	-28.8279	
0.13	5.9	1.7	1.8	8	0.4	0	1.7	0	0.2	5.5	57.4	70.4	35	52.7	31.1	30.8	100	99.9	99.9	99.8	99.9	91.2	99.7	99.9	99.7	99	-15.586	23.0912	-80.9524	0.396058	9.42615	-28.8279	
0.14	5.9	1.7	1.8	8	0.4	0	1.7	0	0.2	5.5	57.4	70.4	35	52.7	31.1	30.8	100	99.9	99.9	99.8	99.9	91.2	99.7	99.9	99.7	99	-15.586	23.0912	-80.9524	0.396058	9.42615	-28.8279	
