Hora de inicio de la toma de datos: 12:06:53
AT(s)	F1.1	F1.2	F2.1	F2.2	F3.1	F3.2	F4.1	F4.2	F5.1	F5.2	ABD1	ABD2	ABD3	ABD4	PA	TCO	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	HRoll	HPitch	HYaw	WRoll	WPitch	WYaw	
0.01	1	2.3	96.6	87.4	81.9	82.1	63	78.1	9.8	53.9	0	54.4	48.6	51.5	37.3	29	100	99.9	74.8	99.9	99.9	99.2	99.9	91.2	99.6	99.7	-134.686	-9.15072	-169.427	-108.887	13.4485	-134.094	
0.02	1	2.3	96.6	87.4	81.9	82.1	63	78.1	9.8	53.9	0	54.4	48.6	51.5	37.3	29	100	99.9	74.8	99.9	99.9	99.2	99.9	91.2	99.6	99.7	-134.686	-9.15072	-169.427	-108.887	13.4485	-134.094	
0.03	1	2.3	96.6	87.4	81.9	82.1	63	78.1	9.8	53.9	0	54.4	48.6	51.5	37.3	29	100	99.9	74.8	99.9	99.9	99.2	99.9	91.2	99.6	99.7	-134.686	-9.15072	-169.427	-108.887	13.4485	-134.094	
0.04	1	2.3	96.6	87.4	81.9	82.1	63	78.1	9.8	53.9	0	54.4	48.6	51.5	37.3	29	100	99.9	74.8	99.9	99.9	99.2	99.9	91.2	99.6	99.7	-134.686	-9.15072	-169.427	-108.887	13.4485	-134.094	
0.05	1	2.3	96.6	87.4	81.9	82.1	63	78.1	9.8	53.9	0	54.4	48.6	51.5	37.3	29	100	99.9	74.8	99.9	99.9	99.2	99.9	91.2	99.6	99.7	-134.686	-9.15072	-169.427	-108.887	13.4485	-134.094	
0.06	1	2.3	96.6	87.4	81.9	82.1	63	78.1	9.8	53.9	0	54.4	48.6	51.5	37.3	29	100	99.9	74.8	99.9	99.9	99.2	99.9	91.2	99.6	99.7	-134.686	-9.15072	-169.427	-108.887	13.4485	-134.094	
0.07	1	2.3	96.6	87.4	81.9	82.1	63	78.1	9.8	53.9	0	54.4	48.6	51.5	37.3	29	100	99.9	74.8	99.9	99.9	99.2	99.9	91.2	99.6	99.7	-134.686	-9.15072	-169.427	-108.887	13.4485	-134.094	
0.08	1	2.3	96.6	87.4	81.9	82.1	63	78.1	9.8	53.9	0	54.4	48.6	51.5	37.3	29	100	99.9	74.8	99.9	99.9	99.2	99.9	91.2	99.6	99.7	-134.686	-9.15072	-169.427	-108.887	13.4485	-134.094	
0.09	1	2.3	96.6	87.4	81.9	82.1	63	78.1	9.8	53.9	0	54.4	48.6	51.5	37.3	29	100	99.9	74.8	99.9	99.9	99.2	99.9	91.2	99.6	99.7	-134.686	-9.15072	-169.427	-108.887	13.4485	-134.094	
0.1	1	2.3	96.6	87.4	81.9	82.1	63	78.1	9.8	53.9	0	54.4	48.6	51.5	37.3	29	100	99.9	74.8	99.9	99.9	99.2	99.9	91.2	99.6	99.7	-134.686	-9.15072	-169.427	-108.887	13.4485	-134.094	
0.11	1	2.3	96.6	87.4	81.9	82.1	63	78.1	9.8	53.9	0	54.4	48.6	51.5	37.3	29	100	99.9	74.8	99.9	99.9	99.2	99.9	91.2	99.6	99.7	-134.686	-9.15072	-169.427	-108.887	13.4485	-134.094	
0.12	1	2.3	96.6	87.4	81.9	82.1	63	78.1	9.8	53.9	0	54.4	48.6	51.5	37.3	29	100	99.9	74.8	99.9	99.9	99.2	99.9	91.2	99.6	99.7	-134.686	-9.15072	-169.427	-108.887	13.4485	-134.094	
0.13	1	2.3	96.6	87.4	81.9	82.1	63	78.1	9.8	53.9	0	54.4	48.6	51.5	37.3	29	100	99.9	74.8	99.9	99.9	99.2	99.9	91.2	99.6	99.7	-134.686	-9.15072	-169.427	-108.887	13.4485	-134.094	
0.14	1	2.3	96.6	87.4	81.9	82.1	63	78.1	9.8	53.9	0	54.4	48.6	51.5	37.3	29	100	99.9	74.8	99.9	99.9	99.2	99.9	91.2	99.6	99.7	-134.686	-9.15072	-169.427	-108.887	13.4485	-134.094	
0.15	1	2.3	96.6	87.4	81.9	82.1	63	78.1	9.8	53.9	0	54.4	48.6	51.5	37.3	29	100	99.9	74.8	99.9	99.9	99.2	99.9	91.2	99.6	99.7	-134.686	-9.15072	-169.427	-108.887	13.4485	-134.094	
0.16	1	2.3	96.6	87.4	81.9	82.1	63	78.1	9.8	53.9	0	54.4	48.6	51.5	37.3	29	100	99.9	74.8	99.9	99.9	99.2	99.9	91.2	99.6	99.7	-134.686	-9.15072	-169.427	-108.887	13.4485	-134.094	
0.171	1	2.3	96.6	87.4	81.9	82.1	63	78.1	9.8	53.9	0	54.4	48.6	51.5	37.3	29	100	99.9	74.8	99.9	99.9	99.2	99.9	91.2	99.6	99.7	-134.686	-9.15072	-169.427	-108.887	13.4485	-134.094	
0.181	1	2.3	96.6	87.4	81.9	82.1	63	78.1	9.8	53.9	0	54.4	48.6	51.5	37.3	29	100	99.9	74.8	99.9	99.9	99.2	99.9	91.2	99.6	99.7	-134.686	-9.15072	-169.427	-108.887	13.4485	-134.094	
