Hora de inicio de la toma de datos: 12:01:17
AT(s)	F1.1	F1.2	F2.1	F2.2	F3.1	F3.2	F4.1	F4.2	F5.1	F5.2	ABD1	ABD2	ABD3	ABD4	PA	TCO	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	HRoll	HPitch	HYaw	WRoll	WPitch	WYaw	
0.01	3.8	0.1	7.3	10.1	4.4	0	3.8	0	1.7	5.7	26.5	52.2	31.3	41.75	33.6	28	100	99.9	99.9	99.1	29.1	99.5	99.9	99.8	99.6	99.9	-97.9906	6.52406	107.623	-74.0441	8.20746	176.229	
0.02	3.8	0.1	7.3	10.1	4.4	0	3.8	0	1.7	5.7	26.5	52.2	31.3	41.75	33.6	28	100	99.9	99.9	99.1	29.1	99.5	99.9	99.8	99.6	99.9	-97.9906	6.52406	107.623	-74.0441	8.20746	176.229	
0.03	3.8	0.1	7.3	10.1	4.4	0	3.8	0	1.7	5.7	26.5	52.2	31.3	41.75	33.6	28	100	99.9	99.9	99.1	29.1	99.5	99.9	99.8	99.6	99.9	-97.9906	6.52406	107.623	-74.0441	8.20746	176.229	
0.04	3.8	0.1	7.3	10.1	4.4	0	3.8	0	1.7	5.7	26.5	52.2	31.3	41.75	33.6	28	100	99.9	99.9	99.1	29.1	99.5	99.9	99.8	99.6	99.9	-97.9906	6.52406	107.623	-74.0441	8.20746	176.229	
0.05	3.8	0.1	7.3	10.1	4.4	0	3.8	0	1.7	5.7	26.5	52.2	31.3	41.75	33.6	28	100	99.9	99.9	99.1	29.1	99.5	99.9	99.8	99.6	99.9	-97.9906	6.52406	107.623	-74.0441	8.20746	176.229	
0.06	3.8	0.1	7.3	10.1	4.4	0	3.8	0	1.7	5.7	26.5	52.2	31.3	41.75	33.6	28	100	99.9	99.9	99.1	29.1	99.5	99.9	99.8	99.6	99.9	-97.9906	6.52406	107.623	-74.0441	8.20746	176.229	
0.07	3.8	0.1	7.3	10.1	4.4	0	3.8	0	1.7	5.7	26.5	52.2	31.3	41.75	33.6	28	100	99.9	99.9	99.1	29.1	99.5	99.9	99.8	99.6	99.9	-97.9906	6.52406	107.623	-74.0441	8.20746	176.229	
0.08	3.8	0.1	7.3	10.1	4.4	0	3.8	0	1.7	5.7	26.5	52.2	31.3	41.75	33.6	28	100	99.9	99.9	99.1	29.1	99.5	99.9	99.8	99.6	99.9	-97.9906	6.52406	107.623	-74.0441	8.20746	176.229	
0.09	3.8	0.1	7.3	10.1	4.4	0	3.8	0	1.7	5.7	26.5	52.2	31.3	41.75	33.6	28	100	99.9	99.9	99.1	29.1	99.5	99.9	99.8	99.6	99.9	-97.9906	6.52406	107.623	-74.0441	8.20746	176.229	
0.1	3.8	0.1	7.3	10.1	4.4	0	3.8	0	1.7	5.7	26.5	52.2	31.3	41.75	33.6	28	100	99.9	99.9	99.1	29.1	99.5	99.9	99.8	99.6	99.9	-97.9906	6.52406	107.623	-74.0441	8.20746	176.229	
0.11	3.8	0.1	7.3	10.1	4.4	0	3.8	0	1.7	5.7	26.5	52.2	31.3	41.75	33.6	28	100	99.9	99.9	99.1	29.1	99.5	99.9	99.8	99.6	99.9	-97.9906	6.52406	107.623	-74.0441	8.20746	176.229	
0.12	3.8	0.1	7.3	10.1	4.4	0	3.8	0	1.7	5.7	26.5	52.2	31.3	41.75	33.6	28	100	99.9	99.9	99.1	29.1	99.5	99.9	99.8	99.6	99.9	-97.9906	6.52406	107.623	-74.0441	8.20746	176.229	
