Hora de inicio de la toma de datos: 11:31:21
AT(s)	W	X	Y	Z
0.01	0.930365	-0.061928	0.052883	-0.357477	
0.04	0.930351	-0.062252	0.053403	-0.35738	
0.065	0.930407	-0.06179	0.053744	-0.357262	
0.088	0.930432	-0.061087	0.053807	-0.357309	
0.112	0.930332	-0.060782	0.054021	-0.357589	
0.141	0.930385	-0.058826	0.053725	-0.357822	
0.171	0.930572	-0.053497	0.052094	-0.358414	
0.207	0.930684	-0.0333	0.042684	-0.361796	
0.24	0.928838	-0.018957	0.03295	-0.368532	
0.264	0.92549	1.3e-05	0.014977	-0.378475	
0.29	0.919652	0.01926	-0.020749	-0.391712	
0.321	0.91314	0.025962	-0.061165	-0.402194	
0.344	0.904805	0.027568	-0.11344	-0.409511	
0.372	0.893683	0.027422	-0.17342	-0.412923	
0.395	0.88032	0.028544	-0.236679	-0.410128	
0.421	0.866266	0.028239	-0.298326	-0.399735	
0.446	0.854937	0.025991	-0.349916	-0.382055	
0.47	0.846425	0.013061	-0.392627	-0.359498	
0.507	0.839129	-0.009101	-0.426412	-0.337569	
0.532	0.833786	-0.019937	-0.44927	-0.320251	
0.557	0.831833	-0.024775	-0.466773	-0.299272	
0.582	0.832547	-0.036904	-0.47598	-0.280976	
0.607	0.835369	-0.075764	-0.479532	-0.257814	
0.64	0.840243	-0.088161	-0.477034	-0.242193	
0.666	0.849616	-0.093631	-0.468062	-0.224284	
0.691	0.864955	-0.106939	-0.446416	-0.202807	
0.721	0.880115	-0.127145	-0.41906	-0.18336	
0.745	0.896376	-0.157215	-0.382778	-0.158979	
0.782	0.909382	-0.195091	-0.342448	-0.133016	
0.808	0.915779	-0.226196	-0.311814	-0.113822	
0.832	0.922588	-0.259845	-0.271639	-0.086744	
0.863	0.925775	-0.280728	-0.243892	-0.068189	
0.889	0.927178	-0.302242	-0.215309	-0.051302	
0.922	0.927043	-0.320784	-0.190232	-0.038749	
0.944	0.927162	-0.335471	-0.164473	-0.027911	
0.97	0.927698	-0.346032	-0.138908	-0.018501	
0.994	0.928336	-0.355009	-0.10973	-0.010972	
1.02	0.928151	-0.364402	-0.075694	-0.004265	
1.045	0.92709	-0.372765	-0.039266	0.002917	
1.069	0.925636	-0.378183	0.000774	0.01323	
1.094	0.922997	-0.379975	0.056515	0.0224	
1.119	0.916588	-0.379394	0.123745	0.024772	
1.157	0.904311	-0.376664	0.198932	0.027776	
1.19	0.899155	-0.368327	0.234468	0.02968	
1.214	0.892206	-0.352353	0.280974	0.029477	
1.245	0.886307	-0.335599	0.31804	0.026167	
1.269	0.881211	-0.313024	0.353645	0.020441	
1.296	0.875862	-0.291602	0.384104	0.017264	
1.321	0.871708	-0.266201	0.41112	0.015539	
1.358	0.867516	-0.237563	0.436867	0.011271	
1.388	0.864992	-0.218578	0.451606	0.008021	
1.416	0.864841	-0.198	0.461308	0.006509	
1.439	0.867314	-0.167533	0.468718	0.001969	
