Hora de inicio de la toma de datos: 11:31:03
AT(s)	W	X	Y	Z
0.01	0.980579	0.175737	-0.021961	-0.08426	
0.038	0.98057	0.175885	-0.0219	-0.084074	
0.061	0.980615	0.175718	-0.021762	-0.083935	
0.086	0.980657	0.175571	-0.021458	-0.083829	
0.112	0.980693	0.175401	-0.021131	-0.083845	
0.142	0.980692	0.175323	-0.020917	-0.084066	
0.166	0.980739	0.174931	-0.020795	-0.084365	
0.194	0.980744	0.174838	-0.02074	-0.084517	
0.216	0.980711	0.175034	-0.020781	-0.084481	
0.245	0.980682	0.175251	-0.02077	-0.084367	
0.267	0.980669	0.17542	-0.020601	-0.084211	
0.294	0.98066	0.175502	-0.020508	-0.084168	
0.318	0.980682	0.175394	-0.020468	-0.084155	
0.34	0.98067	0.175465	-0.020415	-0.084154	
0.366	0.980635	0.175611	-0.020358	-0.084272	
0.391	0.980647	0.175382	-0.020353	-0.084609	
0.416	0.980649	0.175034	-0.019889	-0.085407	
0.456	0.980832	0.173599	-0.018292	-0.086586	
0.487	0.981046	0.172094	-0.016499	-0.08752	
0.511	0.981135	0.171608	-0.014891	-0.087772	
0.536	0.981307	0.170893	-0.011858	-0.087705	
0.562	0.981545	0.170236	-0.005518	-0.086946	
0.605	0.98167	0.170199	-0.001828	-0.085745	
0.629	0.981544	0.171541	-0.000292	-0.084528	
0.655	0.981444	0.17237	0.000985	-0.084001	
0.679	0.981489	0.171848	0.003747	-0.084459	
0.704	0.981958	0.168269	0.008699	-0.085835	
0.73	0.982672	0.162751	0.014118	-0.08757	
0.754	0.983162	0.158231	0.019843	-0.089226	
0.779	0.9838	0.152572	0.025753	-0.090534	
0.804	0.984499	0.146369	0.03149	-0.09136	
0.829	0.984845	0.143011	0.036342	-0.091144	
0.854	0.9846	0.143057	0.042119	-0.091239	
0.88	0.984253	0.142919	0.048577	-0.091981	
0.905	0.984052	0.141685	0.054532	-0.0927	
0.937	0.983927	0.140396	0.060429	-0.092329	
0.962	0.983978	0.139047	0.063733	-0.091605	
0.987	0.98402	0.1378	0.067442	-0.090374	
1.018	0.983926	0.137433	0.070021	-0.089992	
1.043	0.983882	0.13639	0.072427	-0.090153	
1.068	0.984101	0.133725	0.074212	-0.090307	
1.091	0.98429	0.131366	0.075593	-0.090564	
1.118	0.984482	0.128696	0.076995	-0.091132	
1.154	0.984686	0.125942	0.078262	-0.091687	
1.181	0.984796	0.124625	0.079076	-0.091611	
1.211	0.984728	0.125028	0.079419	-0.091493	
1.238	0.984635	0.125852	0.078989	-0.091738	
1.268	0.984656	0.125593	0.078698	-0.092115	
1.291	0.984688	0.124916	0.078509	-0.092859	
