Hora de inicio de la toma de datos: 11:30:49
AT(s)	W	X	Y	Z
3.282	0.949166	-0.135706	0.050225	0.279544	
3.308	0.949484	-0.134267	0.049066	0.279364	
3.34	0.950057	-0.133781	0.047463	0.277925	
3.365	0.950238	-0.136101	0.046176	0.276392	
3.389	0.95063	-0.135977	0.04562	0.275193	
3.416	0.951353	-0.134504	0.044509	0.273595	
3.436	0.952103	-0.133683	0.043342	0.271568	
3.457	0.95322	-0.13293	0.041769	0.268248	
3.483	0.954742	-0.131721	0.039154	0.263789	
3.509	0.956782	-0.126851	0.036021	0.259192	
3.532	0.959392	-0.121001	0.033435	0.252601	
3.558	0.961874	-0.118519	0.030934	0.244528	
3.584	0.963888	-0.116489	0.029465	0.237658	
3.608	0.96606	-0.111192	0.031909	0.23097	
3.638	0.967651	-0.106353	0.039129	0.225408	
3.665	0.969178	-0.105887	0.045989	0.21764	
3.687	0.970814	-0.110225	0.048736	0.207353	
3.713	0.9735	-0.114794	0.051189	0.191051	
3.752	0.979925	-0.103682	0.054786	0.161232	
3.784	0.983196	-0.101981	0.053789	0.141539	
3.808	0.986833	-0.104639	0.056582	0.109593	
3.852	0.992251	-0.095202	0.055558	0.057334	
3.881	0.9952	-0.083444	0.046704	0.020825	
3.913	0.996029	-0.07603	0.045817	-0.006836	
3.95	0.996167	-0.067645	0.047991	-0.027784	
3.975	0.995997	-0.059433	0.040829	-0.052825	
4	0.994568	-0.057814	0.034905	-0.079203	
4.026	0.991944	-0.060417	0.037984	-0.104667	
4.051	0.988587	-0.061824	0.043651	-0.130265	
4.075	0.984626	-0.061093	0.04408	-0.157598	
4.1	0.980482	-0.059301	0.037079	-0.183751	
4.126	0.977348	-0.056997	0.029239	-0.20171	
4.151	0.973092	-0.04824	0.011387	-0.225023	
4.182	0.969998	-0.046607	6.9e-05	-0.238604	
4.207	0.967552	-0.043858	-0.0113	-0.24858	
4.232	0.965483	-0.032101	-0.028868	-0.256865	
4.257	0.961968	-0.022347	-0.046878	-0.268181	
4.302	0.960261	-0.017369	-0.053621	-0.273355	
4.327	0.959752	-0.020325	-0.055198	-0.274622	
4.36	0.959889	-0.023673	-0.055123	-0.273888	
4.382	0.95996	-0.023523	-0.055865	-0.273499	
4.426	0.960038	-0.023333	-0.054411	-0.273537	
4.453	0.960472	-0.027542	-0.050421	-0.272384	
4.483	0.960808	-0.028841	-0.049123	-0.271298	
4.508	0.960856	-0.029958	-0.048432	-0.271132	
4.533	0.96076	-0.031659	-0.048751	-0.271221	
4.558	0.960673	-0.031528	-0.049615	-0.271388	
4.582	0.960628	-0.030243	-0.049468	-0.271722	
4.609	0.960867	-0.030757	-0.048269	-0.271032	
4.631	0.961584	-0.032306	-0.047116	-0.268501	
4.661	0.962232	-0.031592	-0.047076	-0.266262	
4.701	0.963417	-0.030525	-0.046562	-0.262161	
4.725	0.965927	-0.031209	-0.045369	-0.252887	
4.751	0.971061	-0.038238	-0.04134	-0.232097	
4.782	0.974937	-0.042395	-0.036675	-0.215302	
4.808	0.979831	-0.041756	-0.030317	-0.193049	
4.833	0.985943	-0.035808	-0.020641	-0.161892	
4.86	0.992158	-0.025887	-0.008513	-0.121987	
4.888	0.99554	-0.023582	-0.001877	-0.091326	
4.911	0.998544	-0.031762	0.004514	-0.043368	
4.939	0.998727	-0.049831	0.004829	0.006245	
4.964	0.995749	-0.067686	0.001006	0.062463	
5.001	0.987562	-0.083623	-0.00136	0.133145	
5.032	0.981485	-0.091842	-0.000593	0.168083	
5.057	0.976988	-0.097969	0.009899	0.189207	
