Hora de inicio de la toma de datos: 11:30:41
AT(s)	W	X	Y	Z
0.01	0.995545	0.074819	-0.057269	0.00347	
0.037	0.995642	0.073444	-0.057341	0.00382	
0.063	0.995654	0.073318	-0.057289	0.004074	
0.087	0.995642	0.073553	-0.057172	0.004176	
0.112	0.995603	0.074187	-0.057049	0.004137	
0.138	0.995501	0.075774	-0.056763	0.0038	
0.162	0.995359	0.077987	-0.056283	0.003271	
0.187	0.995169	0.08085	-0.055636	0.002446	
0.211	0.994961	0.083816	-0.055004	0.001529	
0.238	0.994716	0.087132	-0.0543	0.000716	
0.261	0.994592	0.088944	-0.05363	0.000315	
0.287	0.994632	0.088655	-0.053369	0.000414	
0.311	0.994846	0.085908	-0.053865	0.000663	
0.336	0.995075	0.082786	-0.05451	0.000635	
0.361	0.995155	0.081328	-0.055244	0.000574	
0.387	0.995136	0.080905	-0.056209	0.000439	
0.412	0.995087	0.080901	-0.057075	0.000559	
0.438	0.995044	0.080902	-0.05781	0.000663	
0.461	0.995037	0.080694	-0.058214	0.000485	
0.488	0.995018	0.080939	-0.058216	0.000141	
0.512	0.994997	0.081248	-0.058134	-0.000249	
0.537	0.994989	0.081378	-0.058095	-0.000724	
0.563	0.994954	0.081681	-0.05825	-0.001255	
0.587	0.994925	0.081886	-0.058452	-0.001657	
0.61	0.994939	0.081483	-0.058776	-0.001609	
0.636	0.994982	0.080539	-0.059352	-0.001148	
0.662	0.995077	0.079067	-0.059745	-0.000534	
0.688	0.995215	0.077204	-0.059888	0.00018	
0.713	0.995377	0.075185	-0.059755	0.000755	
0.743	0.995432	0.074633	-0.059537	0.001058	
0.769	0.995449	0.074608	-0.059274	0.001445	
0.807	0.995545	0.073348	-0.059216	0.001929	
0.837	0.995664	0.071836	-0.05906	0.002117	
0.863	0.995634	0.07255	-0.058698	0.002025	
0.889	0.995506	0.074549	-0.058371	0.001748	
0.912	0.995347	0.076694	-0.058325	0.001122	
0.937	0.995129	0.079354	-0.058488	0.000493	
0.962	0.994902	0.082159	-0.058473	7.1e-05	
0.988	0.99444	0.087068	-0.059226	-0.000499	
1.016	0.993995	0.091577	-0.059896	-0.001097	
1.041	0.993559	0.095847	-0.060411	-0.002041	
1.069	0.993259	0.098726	-0.060664	-0.003061	
1.094	0.993038	0.100738	-0.060938	-0.003878	
1.118	0.992863	0.102306	-0.061138	-0.004341	
1.144	0.992792	0.102925	-0.061226	-0.004659	
1.182	0.992732	0.103326	-0.061507	-0.00496	
1.211	0.99266	0.104026	-0.061448	-0.005351	
1.236	0.992565	0.104897	-0.061456	-0.005823	
1.262	0.992453	0.105991	-0.061352	-0.00628	
1.288	0.992315	0.10733	-0.061193	-0.00685	
1.312	0.992211	0.108348	-0.061036	-0.007321	
1.338	0.992219	0.108347	-0.060849	-0.007716	
1.367	0.992322	0.10739	-0.060888	-0.007601	
1.408	0.992386	0.10693	-0.060674	-0.007355	
1.439	0.992398	0.107112	-0.060148	-0.007409	
1.465	0.992392	0.107326	-0.059838	-0.007708	
1.492	0.99239	0.107405	-0.059681	-0.008012	
1.521	0.992422	0.107191	-0.059517	-0.008131	
