Hora de inicio de la toma de datos: 11:31:03
AT(s)	W	X	Y	Z
0.01	0.996762	-0.013228	-0.017234	-0.077423	
0.038	0.996787	-0.013663	-0.017091	-0.077058	
0.061	0.996816	-0.014022	-0.01691	-0.076657	
0.086	0.996835	-0.014156	-0.016397	-0.076486	
0.112	0.996838	-0.014617	-0.015832	-0.076489	
0.142	0.996824	-0.014661	-0.01571	-0.076686	
0.166	0.9968	-0.014641	-0.015303	-0.077083	
0.194	0.996795	-0.014474	-0.015097	-0.077221	
0.216	0.996805	-0.014384	-0.015002	-0.077124	
0.245	0.996826	-0.014272	-0.014747	-0.076917	
0.267	0.996845	-0.014092	-0.014648	-0.076722	
0.294	0.996855	-0.013857	-0.014494	-0.076667	
0.318	0.996859	-0.013928	-0.014338	-0.07664	
0.34	0.996869	-0.013801	-0.014494	-0.076503	
0.366	0.996854	-0.013546	-0.014952	-0.076652	
0.391	0.9968	-0.013497	-0.015365	-0.077278	
0.416	0.996654	-0.013003	-0.017927	-0.078678	
0.456	0.996124	-0.007688	-0.02933	-0.082571	
0.487	0.995714	-0.003628	-0.038685	-0.083932	
0.511	0.995239	-0.002779	-0.050903	-0.083067	
0.536	0.99414	-0.001433	-0.068848	-0.08333	
0.562	0.990837	0.006132	-0.105425	-0.084209	
0.605	0.98678	0.015256	-0.139495	-0.081084	
0.629	0.984312	0.02102	-0.157447	-0.076805	
0.655	0.981763	0.026109	-0.174192	-0.071539	
0.679	0.978453	0.029209	-0.192622	-0.068361	
0.704	0.973093	0.032284	-0.218082	-0.066987	
0.73	0.965714	0.032752	-0.248827	-0.066407	
0.754	0.956953	0.031311	-0.280999	-0.065574	
0.779	0.947636	0.032276	-0.311584	-0.062132	
0.804	0.936254	0.034285	-0.345256	-0.055244	
0.829	0.931321	0.038614	-0.358251	-0.052981	
0.854	0.927031	0.043887	-0.36869	-0.052499	
0.88	0.921979	0.047975	-0.380781	-0.051565	
0.905	0.914353	0.049452	-0.39878	-0.049877	
0.937	0.910462	0.049662	-0.407706	-0.048677	
0.962	0.906781	0.051656	-0.415761	-0.047148	
0.987	0.902597	0.053848	-0.424632	-0.045898	
1.018	0.900077	0.054111	-0.430022	-0.04489	
1.043	0.898159	0.053303	-0.434179	-0.044236	
1.068	0.896461	0.052726	-0.437752	-0.044178	
1.091	0.893968	0.052353	-0.442835	-0.044467	
1.118	0.891701	0.051148	-0.447563	-0.044063	
1.154	0.89037	0.049956	-0.450399	-0.043437	
1.181	0.889082	0.049312	-0.452976	-0.043756	
1.211	0.889082	0.049016	-0.452963	-0.044228	
1.238	0.889259	0.048355	-0.452737	-0.0437	
1.268	0.889316	0.047749	-0.452696	-0.043632	
1.291	0.889646	0.047346	-0.452063	-0.043908	
1.317	0.890149	0.046585	-0.451131	-0.044109	
1.354	0.890505	0.044721	-0.450681	-0.043453	
1.386	0.890842	0.04363	-0.450113	-0.04354	
1.411	0.891679	0.043085	-0.448472	-0.043874	
1.437	0.893796	0.04205	-0.444337	-0.043879	
1.466	0.897842	0.039307	-0.436386	-0.043617	
1.491	0.906551	0.03449	-0.418471	-0.043097	
1.529	0.917407	0.027073	-0.394737	-0.042594	
1.555	0.93079	0.01887	-0.362586	-0.04249	
1.58	0.942492	0.01134	-0.33133	-0.042449	
1.604	0.954445	0.002231	-0.295304	-0.042718	
1.629	0.965183	-0.007648	-0.25768	-0.044326	
1.654	0.974201	-0.016776	-0.220337	-0.045845	
1.679	0.982107	-0.028307	-0.180464	-0.045793	
1.704	0.987471	-0.044261	-0.144426	-0.045636	
1.729	0.993457	-0.056497	-0.088417	-0.04511	
1.76	0.995801	-0.061631	-0.051195	-0.044291	
1.787	0.996629	-0.066187	-0.02332	-0.042493	
1.812	0.996229	-0.075704	0.002947	-0.042288	
1.838	0.995192	-0.083948	0.028449	-0.041675	
1.864	0.993507	-0.092582	0.05341	-0.038986	
1.887	0.989661	-0.104641	0.090741	-0.03725	
1.911	0.985573	-0.111288	0.122328	-0.036014	
1.936	0.980817	-0.114209	0.154053	-0.03497	
1.961	0.97171	-0.118601	0.201071	-0.03584	
2.005	0.960705	-0.118325	0.248658	-0.034837	
2.038	0.953363	-0.113969	0.277048	-0.036802	
2.063	0.943892	-0.111715	0.308752	-0.035496	
2.087	0.936143	-0.107037	0.333211	-0.033913	
2.112	0.928074	-0.101326	0.356596	-0.035367	
2.137	0.918252	-0.102888	0.380629	-0.036733	
2.163	0.908506	-0.100842	0.403898	-0.036254	
2.193	0.899574	-0.098665	0.423918	-0.036401	
2.218	0.892633	-0.099435	0.438313	-0.034645	
2.245	0.889317	-0.09937	0.4452	-0.032206	
2.268	0.885955	-0.098718	0.452126	-0.030342	
2.292	0.880949	-0.097498	0.462264	-0.027122	
2.318	0.877946	-0.095252	0.468626	-0.022985	
2.341	0.877904	-0.093363	0.469249	-0.01931	
2.366	0.879415	-0.093564	0.466405	-0.018486	
2.405	0.879033	-0.092237	0.467361	-0.019185	
2.429	0.878191	-0.090583	0.469292	-0.018457	
2.454	0.879583	-0.092237	0.466353	-0.018466	
2.486	0.879855	-0.094779	0.465243	-0.020507	
2.512	0.880423	-0.094685	0.464167	-0.020966	
2.544	0.881307	-0.093641	0.462732	-0.020199	
2.567	0.883231	-0.09364	0.459074	-0.019622	
2.592	0.886132	-0.093288	0.453537	-0.019272	
2.618	0.889558	-0.092316	0.447022	-0.0183	
2.642	0.8937	-0.092006	0.438817	-0.016573	
2.665	0.90049	-0.092551	0.424692	-0.01376	
2.69	0.907998	-0.091555	0.408699	-0.011088	
2.715	0.918074	-0.087424	0.386485	-0.011298	
2.743	0.931414	-0.085238	0.353656	-0.0114	
2.768	0.943029	-0.081219	0.322524	-0.008789	
2.791	0.948835	-0.066793	0.308583	-0.005149	
2.818	0.953146	-0.066822	0.295038	0.000698	
2.843	0.960426	-0.06729	0.270224	0.005809	
2.866	0.967722	-0.063672	0.243768	0.006152	
2.891	0.974926	-0.056436	0.215249	0.001483	
2.918	0.983055	-0.048546	0.176765	-8.8e-05	
2.941	0.992061	-0.03386	0.121115	0.000218	
2.969	0.997809	-0.017915	0.063156	-0.008254	
2.993	0.99968	-0.007633	0.015872	-0.018147	
3.018	0.999348	0.005016	-0.025087	-0.025485	
3.042	0.996851	0.017164	-0.071071	-0.030713	
3.064	0.98728	0.027687	-0.152108	-0.037072	
3.105	0.957749	0.043357	-0.281801	-0.037756	
3.136	0.936887	0.055157	-0.343898	-0.030585	
3.162	0.922488	0.05191	-0.381812	-0.023271	
3.191	0.920894	0.047024	-0.38612	-0.025586	
3.229	0.917927	0.045431	-0.393157	-0.027828	
3.255	0.909914	0.049125	-0.411096	-0.025373	
3.28	0.901185	0.04773	-0.430098	-0.024552	
3.304	0.89719	0.04262	-0.43889	-0.024697	
3.33	0.89318	0.03973	-0.44741	-0.02181	
3.362	0.889852	0.042074	-0.453801	-0.021426	
3.387	0.886571	0.044721	-0.459922	-0.021546	
3.416	0.884883	0.041267	-0.463473	-0.021741	
3.454	0.883564	0.03674	-0.466355	-0.021861	
3.48	0.882105	0.036239	-0.469175	-0.021266	
3.505	0.881197	0.037613	-0.470836	-0.019767	
3.537	0.881811	0.034469	-0.469917	-0.019995	
3.562	0.882094	0.031765	-0.469536	-0.020916	
3.587	0.88197	0.032088	-0.469731	-0.02127	
3.612	0.882179	0.033371	-0.469247	-0.021305	
3.643	0.882203	0.034284	-0.469121	-0.021616	
3.667	0.882033	0.034442	-0.469386	-0.022548	
3.705	0.882353	0.033505	-0.468793	-0.023757	
3.735	0.882532	0.033888	-0.468423	-0.023849	
3.762	0.883222	0.034053	-0.467095	-0.024122	
3.791	0.884263	0.033507	-0.465143	-0.024458	
3.817	0.885681	0.032998	-0.462425	-0.025361	
3.844	0.888352	0.032599	-0.457236	-0.026515	
3.868	0.894271	0.03052	-0.445597	-0.028138	
3.893	0.903016	0.025067	-0.427783	-0.030578	
3.93	0.913255	0.020523	-0.405811	-0.029362	
3.955	0.929049	0.010798	-0.369125	-0.022345	
3.987	0.942675	-0.003604	-0.333156	-0.018934	
4.011	0.959911	-0.022479	-0.278909	-0.016578	
4.044	0.971235	-0.036293	-0.234808	-0.015813	
4.067	0.978941	-0.046787	-0.198246	-0.013553	
4.092	0.98329	-0.060872	-0.171158	-0.011879	
4.117	0.987318	-0.073312	-0.140326	-0.011727	
4.143	0.991861	-0.078495	-0.099557	-0.011815	
4.179	0.994342	-0.08215	-0.066382	-0.011367	
4.205	0.995619	-0.087504	-0.029575	-0.014507	
4.237	0.995892	-0.088247	-0.011575	-0.016683	
4.262	0.995586	-0.092131	0.006795	-0.016568	
4.286	0.994307	-0.101726	0.028632	-0.013638	
4.311	0.992161	-0.106915	0.063657	-0.011579	
4.354	0.988285	-0.111935	0.103222	-0.010405	
4.379	0.983991	-0.119641	0.131867	-0.007648	
4.404	0.979472	-0.123805	0.159003	-0.004998	
4.43	0.975155	-0.12436	0.183253	-0.005008	
4.454	0.96998	-0.122894	0.209818	-0.003566	
4.479	0.964772	-0.119925	0.234163	-0.000956	
4.504	0.957661	-0.118553	0.262356	-0.000257	
4.529	0.948068	-0.120205	0.294474	0.001785	
4.556	0.934714	-0.12224	0.333587	0.009275	
4.586	0.924826	-0.122349	0.359825	0.015909	
4.613	0.917655	-0.124375	0.376874	0.020182	
4.638	0.910695	-0.128227	0.39191	0.024489	
4.667	0.906527	-0.12711	0.401831	0.024142	
4.69	0.89945	-0.128649	0.416878	0.025517	
4.716	0.894519	-0.13137	0.426411	0.027424	
4.742	0.89296	-0.132957	0.429133	0.028111	
4.766	0.893112	-0.133681	0.428689	0.026574	
4.792	0.893349	-0.132521	0.428703	0.024075	
