Hora de inicio de la toma de datos: 11:30:41
AT(s)	W	X	Y	Z
0.01	0.993614	-0.034985	-0.107275	-0.000636	
0.037	0.993611	-0.035692	-0.107068	-0.000363	
0.063	0.993604	-0.036022	-0.107016	-0.000593	
0.087	0.993625	-0.035823	-0.10689	-0.000754	
0.112	0.993635	-0.035594	-0.106871	-0.000725	
0.138	0.993641	-0.03522	-0.106946	-0.00085	
0.162	0.99364	-0.034802	-0.10708	-0.001209	
0.187	0.993654	-0.034403	-0.107083	-0.00147	
0.211	0.993661	-0.034082	-0.107113	-0.001688	
0.238	0.993645	-0.033845	-0.107336	-0.001831	
0.261	0.993624	-0.033481	-0.107644	-0.00203	
0.287	0.993625	-0.033769	-0.107544	-0.002059	
0.311	0.993655	-0.034287	-0.107109	-0.001693	
0.336	0.993707	-0.03417	-0.106663	-0.001206	
0.361	0.99373	-0.034602	-0.106308	-0.001368	
0.387	0.993759	-0.035087	-0.105872	-0.001607	
0.412	0.993782	-0.036603	-0.105147	-0.001303	
0.438	0.99381	-0.037269	-0.104647	-0.001139	
0.461	0.993842	-0.037109	-0.104397	-0.001328	
0.488	0.993847	-0.037344	-0.104269	-0.001394	
0.512	0.993859	-0.037221	-0.104198	-0.001483	
0.537	0.993881	-0.037615	-0.103841	-0.001511	
0.563	0.993891	-0.038575	-0.103398	-0.001497	
0.587	0.993883	-0.039395	-0.103167	-0.001344	
0.61	0.993878	-0.039634	-0.103124	-0.001343	
0.636	0.993875	-0.039717	-0.103113	-0.001461	
0.662	0.993871	-0.03973	-0.103156	-0.00133	
0.688	0.993868	-0.039633	-0.103217	-0.00121	
0.713	0.993846	-0.039376	-0.10353	-0.001405	
0.743	0.993828	-0.039144	-0.103784	-0.001414	
0.769	0.993831	-0.038622	-0.103959	-0.001335	
0.807	0.993838	-0.037242	-0.104385	-0.001528	
0.837	0.993842	-0.036372	-0.10466	-0.001513	
0.863	0.993832	-0.035117	-0.105177	-0.001683	
0.889	0.993828	-0.0343	-0.105479	-0.002048	
0.912	0.99385	-0.034289	-0.105269	-0.002133	
0.937	0.993857	-0.035195	-0.104903	-0.002143	
0.962	0.993819	-0.035528	-0.105139	-0.002662	
0.988	0.993774	-0.036221	-0.105314	-0.003261	
1.016	0.993757	-0.037476	-0.105032	-0.00326	
1.041	0.993756	-0.038122	-0.104805	-0.003317	
1.069	0.993752	-0.038546	-0.10468	-0.003663	
1.094	0.993759	-0.03955	-0.104235	-0.003658	
1.118	0.993753	-0.040435	-0.103966	-0.003438	
1.144	0.993755	-0.039933	-0.10413	-0.003557	
1.182	0.993789	-0.039787	-0.103862	-0.00369	
1.211	0.993804	-0.039993	-0.103641	-0.00355	
1.236	0.993809	-0.039963	-0.103604	-0.003666	
1.262	0.993796	-0.040131	-0.103659	-0.003791	
1.288	0.993806	-0.040136	-0.103555	-0.00386	
1.312	0.993818	-0.040055	-0.103473	-0.003859	
1.338	0.993813	-0.039697	-0.103654	-0.003989	
1.367	0.993818	-0.039456	-0.103704	-0.0038	
1.408	0.993796	-0.039444	-0.103919	-0.003937	
1.439	0.993797	-0.039472	-0.103887	-0.004059	
1.465	0.993807	-0.039726	-0.103696	-0.00404	
1.492	0.993817	-0.039823	-0.103564	-0.004029	
1.521	0.993827	-0.039473	-0.1036	-0.00407	
1.545	0.993825	-0.039002	-0.103796	-0.004103	
1.565	0.993831	-0.038419	-0.103964	-0.004035	
1.594	0.993822	-0.038393	-0.104055	-0.003923	
1.62	0.993805	-0.038387	-0.104225	-0.003987	
1.642	0.99379	-0.038406	-0.104351	-0.004238	
1.667	0.993776	-0.038761	-0.104351	-0.004311	
1.694	0.993776	-0.039007	-0.104255	-0.004288	
1.732	0.993764	-0.038829	-0.104435	-0.004434	
1.764	0.99376	-0.038413	-0.104619	-0.004439	
1.79	0.993762	-0.038327	-0.104642	-0.004353	
1.812	0.993751	-0.038373	-0.104723	-0.00437	
1.837	0.993726	-0.038776	-0.104805	-0.004528	
1.867	0.99373	-0.038921	-0.104712	-0.004622	
1.891	0.993743	-0.039147	-0.104494	-0.004837	
1.917	0.993766	-0.039305	-0.104215	-0.004862	
1.941	0.993789	-0.039245	-0.104029	-0.004632	
1.967	0.993775	-0.039287	-0.104156	-0.004485	
1.994	0.993762	-0.038777	-0.10447	-0.004488	
2.017	0.993751	-0.038687	-0.104603	-0.00455	
2.043	0.993736	-0.039136	-0.104575	-0.00463	
2.081	0.99373	-0.039356	-0.104543	-0.004732	
2.107	0.99373	-0.03927	-0.104576	-0.00477	
2.135	0.993742	-0.03908	-0.104531	-0.004747	
2.163	0.99375	-0.039008	-0.104482	-0.004779	
2.192	0.993748	-0.03894	-0.104528	-0.004786	
2.231	0.993733	-0.038881	-0.10469	-0.004823	
2.256	0.993704	-0.039159	-0.104856	-0.004866	
2.285	0.993709	-0.039021	-0.104863	-0.004887	
2.312	0.993718	-0.039123	-0.104744	-0.004755	
2.337	0.993715	-0.039315	-0.104708	-0.004519	
2.363	0.993691	-0.038783	-0.105124	-0.004779	
2.406	0.99369	-0.038915	-0.105088	-0.004781	
2.438	0.993708	-0.039456	-0.104722	-0.004698	
2.465	0.993715	-0.040024	-0.104439	-0.004673	
2.496	0.993708	-0.040179	-0.104444	-0.004672	
2.517	0.993696	-0.040559	-0.104416	-0.004587	
2.543	0.993691	-0.040835	-0.104352	-0.004707	
2.567	0.99366	-0.041362	-0.104436	-0.004806	
2.606	0.993632	-0.041644	-0.104602	-0.004522	
2.639	0.993615	-0.041303	-0.104893	-0.0045	
2.662	0.993601	-0.041168	-0.105082	-0.004569	
2.687	0.993579	-0.040991	-0.105362	-0.004425	
2.713	0.993565	-0.040609	-0.105648	-0.004344	
2.743	0.993554	-0.040526	-0.10578	-0.004334	
2.781	0.993547	-0.040429	-0.105884	-0.004207	
2.808	0.993553	-0.039874	-0.106044	-0.00418	
2.838	0.99357	-0.039581	-0.105992	-0.0043	
2.868	0.993568	-0.039457	-0.106058	-0.004125	
2.894	0.99354	-0.039573	-0.106277	-0.004282	
2.915	0.993532	-0.039553	-0.106349	-0.00449	
2.957	0.993544	-0.039813	-0.106151	-0.004122	
2.986	0.993536	-0.039636	-0.106295	-0.004148	
3.011	0.993518	-0.039519	-0.106504	-0.004079	
3.036	0.993511	-0.039283	-0.10667	-0.003829	
3.062	0.993503	-0.038959	-0.106857	-0.003818	
3.088	0.993526	-0.038166	-0.106929	-0.003912	
3.133	0.993508	-0.037885	-0.107202	-0.003836	
3.162	0.993531	-0.037099	-0.107265	-0.003814	
3.193	0.993571	-0.036577	-0.10707	-0.003888	
3.231	0.993573	-0.036786	-0.106974	-0.00408	
3.256	0.993585	-0.036335	-0.107006	-0.004229	
3.281	0.993613	-0.036004	-0.106861	-0.00432	
3.31	0.993608	-0.036451	-0.106769	-0.003982	
3.336	0.9936	-0.036023	-0.106988	-0.003934	
3.361	0.993588	-0.035315	-0.107325	-0.004152	
3.387	0.9936	-0.035523	-0.107151	-0.004043	
3.433	0.993604	-0.035373	-0.107168	-0.003793	
3.463	0.993599	-0.035375	-0.107208	-0.004057	
3.506	0.993613	-0.035776	-0.106943	-0.004039	
3.531	0.993607	-0.036391	-0.106775	-0.004353	
3.562	0.993616	-0.036712	-0.10658	-0.004536	
3.586	0.993614	-0.036651	-0.106611	-0.004668	
3.619	0.9936	-0.036458	-0.106813	-0.004533	
3.647	0.993593	-0.036387	-0.10691	-0.004434	
3.67	0.993602	-0.036475	-0.106797	-0.004431	
3.691	0.993606	-0.036359	-0.106804	-0.004333	
3.716	0.993591	-0.036053	-0.107039	-0.004369	
3.744	0.993587	-0.035881	-0.107137	-0.004469	
3.77	0.993602	-0.036214	-0.10689	-0.004214	
3.794	0.99362	-0.036223	-0.106728	-0.004014	
3.82	0.993619	-0.036098	-0.106777	-0.004105	
