Hora de inicio de la toma de datos: 11:30:49
AT(s)	W	X	Y	Z
0.01	0.998102	0.058307	-0.017993	-0.008265	
0.039	0.998096	0.058225	-0.018257	-0.00894	
0.061	0.998112	0.057843	-0.018309	-0.009524	
0.089	0.998159	0.056947	-0.018526	-0.009666	
0.112	0.998198	0.056232	-0.018644	-0.009539	
0.137	0.998207	0.056151	-0.018498	-0.009402	
0.162	0.998192	0.056434	-0.018428	-0.009406	
0.186	0.99817	0.056724	-0.018603	-0.009628	
0.226	0.998171	0.056561	-0.018896	-0.009942	
0.252	0.998183	0.056329	-0.018921	-0.010042	
0.282	0.998191	0.056202	-0.018805	-0.010075	
0.306	0.998205	0.056017	-0.018699	-0.010018	
0.331	0.998237	0.055667	-0.018255	-0.009496	
0.356	0.998291	0.055065	-0.017716	-0.008286	
0.383	0.99834	0.055223	-0.015399	-0.005531	
0.414	0.998369	0.055202	-0.013917	-0.00434	
0.438	0.998412	0.054756	-0.012665	-0.003968	
0.464	0.99841	0.055076	-0.011406	-0.003794	
0.501	0.99836	0.056139	-0.010512	-0.003849	
0.533	0.998197	0.059175	-0.00944	-0.003345	
0.576	0.997889	0.064387	-0.008371	-0.001421	
0.601	0.997401	0.071733	-0.006277	0.002537	
0.633	0.996684	0.08088	-0.002361	0.008566	
0.658	0.995724	0.091195	0.005125	0.013836	
0.702	0.995192	0.095809	0.011349	0.016855	
0.731	0.994956	0.097287	0.015413	0.019	
0.759	0.994713	0.098927	0.017956	0.020896	
0.783	0.994557	0.099073	0.020218	0.025129	
0.814	0.994343	0.100102	0.021776	0.028065	
0.837	0.993575	0.105946	0.025176	0.030815	
0.876	0.993002	0.109724	0.02732	0.034091	
0.908	0.992698	0.111596	0.027901	0.036327	
0.932	0.992327	0.114335	0.028443	0.037505	
0.956	0.991938	0.117044	0.029062	0.038935	
0.981	0.991862	0.11717	0.029152	0.040386	
1.007	0.991695	0.118174	0.029516	0.041301	
1.039	0.991578	0.119163	0.029582	0.0412	
1.063	0.991667	0.118695	0.028931	0.040887	
1.086	0.991809	0.117818	0.02826	0.040428	
1.127	0.991893	0.117491	0.027515	0.039832	
1.158	0.991942	0.118308	0.024529	0.038112	
1.201	0.992187	0.117617	0.020948	0.035942	
1.234	0.992615	0.115167	0.018069	0.033552	
1.258	0.993225	0.111171	0.015171	0.030251	
1.288	0.993905	0.10601	0.011701	0.027884	
1.325	0.994353	0.102554	0.009117	0.025714	
1.352	0.994504	0.101635	0.008351	0.023722	
1.375	0.994683	0.100334	0.007381	0.022021	
1.405	0.995093	0.096716	0.004494	0.020392	
1.433	0.994982	0.097991	0.00293	0.019979	
1.464	0.994988	0.09817	0.003098	0.018782	
1.501	0.995264	0.095559	0.001208	0.017805	
1.525	0.995189	0.096206	-0.000835	0.018522	
1.557	0.995046	0.097758	-0.000539	0.018086	
1.584	0.995447	0.093825	-0.002316	0.016661	
1.613	0.995673	0.091322	-0.004678	0.016569	
1.637	0.995814	0.089783	-0.006473	0.015875	
1.664	0.99593	0.088581	-0.00717	0.015002	
1.688	0.996057	0.087237	-0.00781	0.014112	
1.714	0.995993	0.087806	-0.00875	0.014551	
1.739	0.995894	0.088864	-0.009229	0.014598	
1.761	0.995913	0.088684	-0.009749	0.01408	
1.788	0.995671	0.091201	-0.01043	0.014618	
1.825	0.995047	0.097612	-0.010231	0.01575	
1.853	0.994743	0.100865	-0.0091	0.015159	
1.882	0.994473	0.103562	-0.008233	0.015186	
1.909	0.994671	0.102009	-0.007896	0.012722	
1.938	0.995285	0.096167	-0.008023	0.009774	
1.963	0.995856	0.090349	-0.008249	0.006365	
1.987	0.996273	0.085719	-0.009365	0.002374	
2.011	0.99663	0.081267	-0.010913	-0.002326	
2.036	0.996822	0.078529	-0.011579	-0.006697	
2.063	0.996845	0.077699	-0.011958	-0.010966	
2.101	0.996858	0.076743	-0.012618	-0.015038	
2.125	0.996892	0.075688	-0.013498	-0.017208	
2.152	0.996818	0.076435	-0.013451	-0.01818	
2.183	0.996717	0.077714	-0.012513	-0.01896	
2.208	0.996672	0.078281	-0.012029	-0.019278	
2.231	0.996543	0.079949	-0.011291	-0.019551	
2.257	0.996451	0.081112	-0.010598	-0.019862	
2.284	0.996441	0.081234	-0.010794	-0.019753	
2.309	0.996377	0.082036	-0.010997	-0.019532	
2.335	0.996351	0.082385	-0.010599	-0.019615	
2.364	0.996462	0.081062	-0.009618	-0.02	
2.39	0.996581	0.079615	-0.009102	-0.020123	
2.414	0.996621	0.079213	-0.008581	-0.019972	
2.437	0.99667	0.078566	-0.008179	-0.020245	
2.464	0.996779	0.077054	-0.008348	-0.020597	
2.491	0.996933	0.074664	-0.008762	-0.021775	
2.511	0.997144	0.071582	-0.009655	-0.022053	
2.55	0.99731	0.069063	-0.009574	-0.022607	
2.575	0.997372	0.068243	-0.009819	-0.02228	
2.602	0.996982	0.074532	-0.010071	-0.019261	
2.632	0.99677	0.077549	-0.009181	-0.018756	
