Hora de inicio de la toma de datos: 10:33:05
AT(s)	F1.1	F1.2	F2.1	F2.2	F3.1	F3.2	F4.1	F4.2	F5.1	F5.2	ABD1	ABD2	ABD3	ABD4	PA	TCO	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	HRoll	HPitch	HYaw	WRoll	WPitch	WYaw	
0.01	4.2	2.2	14.2	17.6	16.9	1.5	14.2	0	1.6	0.6	24	34	20	27	62.2	42.5	99.9	99.9	99.9	99.9	99.9	99.5	99.9	99.7	99.5	99.3	-11.4391	16.2703	-179.924	7.93947	9.28672	-104.563	
0.02	4.2	2.2	14.2	17.6	16.9	1.5	14.2	0	1.6	0.6	24	34	20	27	62.2	42.5	99.9	99.9	99.9	99.9	99.9	99.5	99.9	99.7	99.5	99.3	-11.4391	16.2703	-179.924	7.93947	9.28672	-104.563	
0.03	4.2	2.2	14.2	17.6	16.9	1.5	14.2	0	1.6	0.6	24	34	20	27	62.2	42.5	99.9	99.9	99.9	99.9	99.9	99.5	99.9	99.7	99.5	99.3	-11.4391	16.2703	-179.924	7.93947	9.28672	-104.563	
0.04	4.2	2.2	14.2	17.6	16.9	1.5	14.2	0	1.6	0.6	24	34	20	27	62.2	42.5	99.9	99.9	99.9	99.9	99.9	99.5	99.9	99.7	99.5	99.3	-11.4391	16.2703	-179.924	7.93947	9.28672	-104.563	
0.05	4.2	2.2	14.2	17.6	16.9	1.5	14.2	0	1.6	0.6	24	34	20	27	62.2	42.5	99.9	99.9	99.9	99.9	99.9	99.5	99.9	99.7	99.5	99.3	-11.4391	16.2703	-179.924	7.93947	9.28672	-104.563	
0.06	4.2	2.2	14.2	17.6	16.9	1.5	14.2	0	1.6	0.6	24	34	20	27	62.2	42.5	99.9	99.9	99.9	99.9	99.9	99.5	99.9	99.7	99.5	99.3	-11.4391	16.2703	-179.924	7.93947	9.28672	-104.563	
0.07	4.2	2.2	14.2	17.6	16.9	1.5	14.2	0	1.6	0.6	24	34	20	27	62.2	42.5	99.9	99.9	99.9	99.9	99.9	99.5	99.9	99.7	99.5	99.3	-11.4391	16.2703	-179.924	7.93947	9.28672	-104.563	
0.08	4.2	2.2	14.2	17.6	16.9	1.5	14.2	0	1.6	0.6	24	34	20	27	62.2	42.5	99.9	99.9	99.9	99.9	99.9	99.5	99.9	99.7	99.5	99.3	-11.4391	16.2703	-179.924	7.93947	9.28672	-104.563	
0.09	4.3	2.1	14.4	17.5	16.8	1.5	14.1	0	1.4	0.6	24.2	34.1	20.1	27.1	61.5	42	100	99.9	99.9	99.9	99.8	98.7	99.9	99.9	99.9	99.9	-11.7287	16.3909	-179.864	8.09752	9.49433	-104.407	
0.1	4.3	2.1	14.1	17.6	16.8	1.6	14.1	0	1.5	0.5	24.5	33.8	20	26.9	61.5	42	99.9	99.9	99.9	99.9	99.9	99.3	99.9	99.9	99.9	99.7	-11.6683	16.4814	-179.856	8.05501	9.49156	-104.426	
0.11	4.3	2.1	14.1	17.6	16.8	1.6	14.1	0	1.5	0.5	24.5	33.8	20	26.9	61.5	42	99.9	99.9	99.9	99.9	99.9	99.3	99.9	99.9	99.9	99.7	-11.6683	16.4814	-179.856	8.05501	9.49156	-104.426	
0.12	4.3	2.1	14.1	17.6	16.8	1.6	14.1	0	1.5	0.5	24.5	33.8	20	26.9	61.5	42	99.9	99.9	99.9	99.9	99.9	99.3	99.9	99.9	99.9	99.7	-11.6683	16.4814	-179.856	8.05501	9.49156	-104.426	
0.13	4.3	2.1	14.1	17.6	16.8	1.6	14.1	0	1.5	0.5	24.5	33.8	20	26.9	61.5	42	99.9	99.9	99.9	99.9	99.9	99.3	99.9	99.9	99.9	99.7	-11.6683	16.4814	-179.856	8.05501	9.49156	-104.426	
0.14	4.3	2.1	14.1	17.6	16.8	1.6	14.1	0	1.5	0.5	24.5	33.8	20	26.9	61.5	42	99.9	99.9	99.9	99.9	99.9	99.3	99.9	99.9	99.9	99.7	-11.6683	16.4814	-179.856	8.05501	9.49156	-104.426	
0.15	4.3	2.1	14.1	17.6	16.8	1.6	14.1	0	1.5	0.5	24.5	33.8	20	26.9	61.5	42	99.9	99.9	99.9	99.9	99.9	99.3	99.9	99.9	99.9	99.7	-11.6683	16.4814	-179.856	8.05501	9.49156	-104.426	
0.16	4.3	2.1	14.1	17.6	16.8	1.6	14.1	0	1.5	0.5	24.5	33.8	20	26.9	61.5	42	99.9	99.9	99.9	99.9	99.9	99.3	99.9	99.9	99.9	99.7	-11.6683	16.4814	-179.856	8.05501	9.49156	-104.426	
0.171	4.3	2.1	14.1	17.6	16.8	1.6	14.1	0	1.5	0.5	24.5	33.8	20	26.9	61.5	42	99.9	99.9	99.9	99.9	99.9	99.3	99.9	99.9	99.9	99.7	-11.6683	16.4814	-179.856	8.05501	9.49156	-104.426	
