Hora de inicio de la toma de datos: 10:28:58
AT(s)	F1.1	F1.2	F2.1	F2.2	F3.1	F3.2	F4.1	F4.2	F5.1	F5.2	ABD1	ABD2	ABD3	ABD4	PA	TCO	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	HRoll	HPitch	HYaw	WRoll	WPitch	WYaw	
0.01	1.2	0	0	10.4	0.4	0	1.8	0	0	5.7	79.2	56.4	30.3	43.35	27.3	27.5	99.9	86.7	99.9	96.9	99.9	89.8	99.9	99.6	99.4	94.4	-24.4005	-4.51861	6.22665	-12.6168	6.82882	36.5469	
0.02	1.2	0	0	10.4	0.4	0	1.8	0	0	5.7	79.2	56.4	30.3	43.35	27.3	27.5	99.9	86.7	99.9	96.9	99.9	89.8	99.9	99.6	99.4	94.4	-24.4005	-4.51861	6.22665	-12.6168	6.82882	36.5469	
0.03	1.2	0	0	10.4	0.4	0	1.8	0	0	5.7	79.2	56.4	30.3	43.35	27.3	27.5	99.9	86.7	99.9	96.9	99.9	89.8	99.9	99.6	99.4	94.4	-24.4005	-4.51861	6.22665	-12.6168	6.82882	36.5469	
0.04	1.2	0	0	10.4	0.4	0	1.8	0	0	5.7	79.2	56.4	30.3	43.35	27.3	27.5	99.9	86.7	99.9	96.9	99.9	89.8	99.9	99.6	99.4	94.4	-24.4005	-4.51861	6.22665	-12.6168	6.82882	36.5469	
0.05	1.2	0	0	10.4	0.4	0	1.8	0	0	5.7	79.2	56.4	30.3	43.35	27.3	27.5	99.9	86.7	99.9	96.9	99.9	89.8	99.9	99.6	99.4	94.4	-24.4005	-4.51861	6.22665	-12.6168	6.82882	36.5469	
0.06	1.2	0	0	10.4	0.4	0	1.8	0	0	5.7	79.2	56.4	30.3	43.35	27.3	27.5	99.9	86.7	99.9	96.9	99.9	89.8	99.9	99.6	99.4	94.4	-24.4005	-4.51861	6.22665	-12.6168	6.82882	36.5469	
0.07	1.2	0	0	10.4	0.4	0	1.8	0	0	5.7	79.2	56.4	30.3	43.35	27.3	27.5	99.9	86.7	99.9	96.9	99.9	89.8	99.9	99.6	99.4	94.4	-24.4005	-4.51861	6.22665	-12.6168	6.82882	36.5469	
0.08	1.2	0	0	10.4	0.4	0	1.8	0	0	5.7	79.2	56.4	30.3	43.35	27.3	27.5	99.9	86.7	99.9	96.9	99.9	89.8	99.9	99.6	99.4	94.4	-24.4005	-4.51861	6.22665	-12.6168	6.82882	36.5469	
0.09	1.2	0	0	10.4	0.4	0	1.8	0	0	5.7	79.2	56.4	30.3	43.35	27.3	27.5	99.9	86.7	99.9	96.9	99.9	89.8	99.9	99.6	99.4	94.4	-24.4005	-4.51861	6.22665	-12.6168	6.82882	36.5469	
0.1	1.3	0	0	10.4	0.5	0	1.8	0	0	5.8	78.9	56	30.4	43.2	27.1	27.5	99.9	85.5	99.9	98.1	99.9	88.9	99.6	99.3	99.5	92.8	-24.3661	-4.05984	6.22348	-12.6807	6.97102	36.1531	
