Hora de inicio de la toma de datos: 10:43:00
AT(s)	F1.1	F1.2	F2.1	F2.2	F3.1	F3.2	F4.1	F4.2	F5.1	F5.2	ABD1	ABD2	ABD3	ABD4	PA	TCO	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	HRoll	HPitch	HYaw	WRoll	WPitch	WYaw	
0.01	60.4	0	39.8	63	15.8	48.5	7.4	43.3	8.5	73.2	0	0	0	0	31.4	50.9	8.1	99.9	26	18.4	99.9	99.8	99.9	99.9	99.8	99.4	-4.36694	-0.791197	152.742	3.13064	18.7865	120.801	
0.02	60.4	0	39.8	63	15.8	48.5	7.4	43.3	8.5	73.2	0	0	0	0	31.4	50.9	8.1	99.9	26	18.4	99.9	99.8	99.9	99.9	99.8	99.4	-4.36694	-0.791197	152.742	3.13064	18.7865	120.801	
0.03	60.4	0	39.8	63	15.8	48.5	7.4	43.3	8.5	73.2	0	0	0	0	31.4	50.9	8.1	99.9	26	18.4	99.9	99.8	99.9	99.9	99.8	99.4	-4.36694	-0.791197	152.742	3.13064	18.7865	120.801	
0.04	60.4	0	39.8	63	15.8	48.5	7.4	43.3	8.5	73.2	0	0	0	0	31.4	50.9	8.1	99.9	26	18.4	99.9	99.8	99.9	99.9	99.8	99.4	-4.36694	-0.791197	152.742	3.13064	18.7865	120.801	
0.05	60.4	0	39.8	63	15.8	48.5	7.4	43.3	8.5	73.2	0	0	0	0	31.4	50.9	8.1	99.9	26	18.4	99.9	99.8	99.9	99.9	99.8	99.4	-4.36694	-0.791197	152.742	3.13064	18.7865	120.801	
0.06	60.4	0	39.8	63	15.8	48.5	7.4	43.3	8.5	73.2	0	0	0	0	31.4	50.9	8.1	99.9	26	18.4	99.9	99.8	99.9	99.9	99.8	99.4	-4.36694	-0.791197	152.742	3.13064	18.7865	120.801	
0.07	60.4	0	39.8	63	15.8	48.5	7.4	43.3	8.5	73.2	0	0	0	0	31.4	50.9	8.1	99.9	26	18.4	99.9	99.8	99.9	99.9	99.8	99.4	-4.36694	-0.791197	152.742	3.13064	18.7865	120.801	
0.08	60.4	0	39.8	63	15.8	48.5	7.4	43.3	8.5	73.2	0	0	0	0	31.4	50.9	8.1	99.9	26	18.4	99.9	99.8	99.9	99.9	99.8	99.4	-4.36694	-0.791197	152.742	3.13064	18.7865	120.801	
0.09	60.4	0	39.8	63	15.8	48.5	7.4	43.3	8.5	73.2	0	0	0	0	31.4	50.9	8.1	99.9	26	18.4	99.9	99.8	99.9	99.9	99.8	99.4	-4.36694	-0.791197	152.742	3.13064	18.7865	120.801	
0.1	60.4	0	39.8	63	15.8	48.5	7.4	43.3	8.5	73.2	0	0	0	0	31.4	50.9	8.1	99.9	26	18.4	99.9	99.8	99.9	99.9	99.8	99.4	-4.36694	-0.791197	152.742	3.13064	18.7865	120.801	
0.11	60.4	0	39.8	63	15.8	48.5	7.4	43.3	8.5	73.2	0	0	0	0	31.4	50.9	8.1	99.9	26	18.4	99.9	99.8	99.9	99.9	99.8	99.4	-4.36694	-0.791197	152.742	3.13064	18.7865	120.801	
0.12	60.4	0	39.8	63	15.8	48.5	7.4	43.3	8.5	73.2	0	0	0	0	31.4	50.9	8.1	99.9	26	18.4	99.9	99.8	99.9	99.9	99.8	99.4	-4.36694	-0.791197	152.742	3.13064	18.7865	120.801	
0.13	60.4	0	39.8	63	15.8	48.5	7.4	43.3	8.5	73.2	0	0	0	0	31.4	50.9	8.1	99.9	26	18.4	99.9	99.8	99.9	99.9	99.8	99.4	-4.36694	-0.791197	152.742	3.13064	18.7865	120.801	
0.14	60.4	0	39.8	63	15.8	48.5	7.4	43.3	8.5	73.2	0	0	0	0	31.4	50.9	8.1	99.9	26	18.4	99.9	99.8	99.9	99.9	99.8	99.4	-4.36694	-0.791197	152.742	3.13064	18.7865	120.801	
0.15	60.4	0	39.8	63	15.8	48.5	7.4	43.3	8.5	73.2	0	0	0	0	31.4	50.9	8.1	99.9	26	18.4	99.9	99.8	99.9	99.9	99.8	99.4	-4.36694	-0.791197	152.742	3.13064	18.7865	120.801	
0.16	60.4	0	39.8	63	15.8	48.5	7.4	43.3	8.5	73.2	0	0	0	0	31.4	50.9	8.1	99.9	26	18.4	99.9	99.8	99.9	99.9	99.8	99.4	-4.36694	-0.791197	152.742	3.13064	18.7865	120.801	
0.171	60.4	0	39.8	63	15.8	48.5	7.4	43.3	8.5	73.2	0	0	0	0	31.4	50.9	8.1	99.9	26	18.4	99.9	99.8	99.9	99.9	99.8	99.4	-4.36694	-0.791197	152.742	3.13064	18.7865	120.801	
0.181	60.4	0	39.8	63	15.8	48.5	7.4	43.3	8.5	73.2	0	0	0	0	31.4	50.9	8.1	99.9	26	18.4	99.9	99.8	99.9	99.9	99.8	99.4	-4.36694	-0.791197	152.742	3.13064	18.7865	120.801	
0.191	60.4	0	39.8	63	15.8	48.5	7.4	43.3	8.5	73.2	0	0	0	0	31.4	50.9	8.1	99.9	26	18.4	99.9	99.8	99.9	99.9	99.8	99.4	-4.36694	-0.791197	152.742	3.13064	18.7865	120.801	
0.201	60.4	0	39.8	63	15.8	48.5	7.4	43.3	8.5	73.2	0	0	0	0	31.4	50.9	8.1	99.9	26	18.4	99.9	99.8	99.9	99.9	99.8	99.4	-4.36694	-0.791197	152.742	3.13064	18.7865	120.801	
0.211	60.4	0	39.8	63	15.8	48.5	7.4	43.3	8.5	73.2	0	0	0	0	31.4	50.9	8.1	99.9	26	18.4	99.9	99.8	99.9	99.9	99.8	99.4	-4.36694	-0.791197	152.742	3.13064	18.7865	120.801	
0.221	60.4	0	39.8	63	15.8	48.5	7.4	43.3	8.5	73.2	0	0	0	0	31.4	50.9	8.1	99.9	26	18.4	99.9	99.8	99.9	99.9	99.8	99.4	-4.36694	-0.791197	152.742	3.13064	18.7865	120.801	
0.231	60.4	0	39.8	63	15.8	48.5	7.4	43.3	8.5	73.2	0	0	0	0	31.4	50.9	8.1	99.9	26	18.4	99.9	99.8	99.9	99.9	99.8	99.4	-4.36694	-0.791197	152.742	3.13064	18.7865	120.801	
0.241	60.4	0	39.8	63	15.8	48.5	7.4	43.3	8.5	73.2	0	0	0	0	31.4	50.9	8.1	99.9	26	18.4	99.9	99.8	99.9	99.9	99.8	99.4	-4.36694	-0.791197	152.742	3.13064	18.7865	120.801	
0.251	60.4	0	39.8	63	15.8	48.5	7.4	43.3	8.5	73.2	0	0	0	0	31.4	50.9	8.1	99.9	26	18.4	99.9	99.8	99.9	99.9	99.8	99.4	-4.36694	-0.791197	152.742	3.13064	18.7865	120.801	
0.261	60.4	0	39.8	63	15.8	48.5	7.4	43.3	8.5	73.2	0	0	0	0	31.4	50.9	8.1	99.9	26	18.4	99.9	99.8	99.9	99.9	99.8	99.4	-4.36694	-0.791197	152.742	3.13064	18.7865	120.801	
0.271	60.4	0	39.8	63	15.8	48.5	7.4	43.3	8.5	73.2	0	0	0	0	31.4	50.9	8.1	99.9	26	18.4	99.9	99.8	99.9	99.9	99.8	99.4	-4.36694	-0.791197	152.742	3.13064	18.7865	120.801	
0.281	60.4	0	39.8	63	15.8	48.5	7.4	43.3	8.5	73.2	0	0	0	0	31.4	50.9	8.1	99.9	26	18.4	99.9	99.8	99.9	99.9	99.8	99.4	-4.36694	-0.791197	152.742	3.13064	18.7865	120.801	
0.29	60.4	0	39.8	63	15.8	48.5	7.4	43.3	8.5	73.2	0	0	0	0	31.4	50.9	8.1	99.9	26	18.4	99.9	99.8	99.9	99.9	99.8	99.4	-4.36694	-0.791197	152.742	3.13064	18.7865	120.801	
0.3	60.4	0	39.8	63	15.8	48.5	7.4	43.3	8.5	73.2	0	0	0	0	31.4	50.9	8.1	99.9	26	18.4	99.9	99.8	99.9	99.9	99.8	99.4	-4.36694	-0.791197	152.742	3.13064	18.7865	120.801	
0.31	60.4	0	39.8	63	15.8	48.5	7.4	43.3	8.5	73.2	0	0	0	0	31.4	50.9	8.1	99.9	26	18.4	99.9	99.8	99.9	99.9	99.8	99.4	-4.36694	-0.791197	152.742	3.13064	18.7865	120.801	
0.32	60.4	0	39.8	63	15.8	48.5	7.4	43.3	8.5	73.2	0	0	0	0	31.4	50.9	8.1	99.9	26	18.4	99.9	99.8	99.9	99.9	99.8	99.4	-4.36694	-0.791197	152.742	3.13064	18.7865	120.801	
0.33	58.8	0	40.3	61.4	16	46.9	7.4	42.5	8.2	73	0	0	0	0	31.3	50.2	8.7	99.9	26.9	20.6	99.9	98.8	99.4	99.8	99.9	99.9	-2.32366	-2.50543	153.023	5.47424	17.4607	121.738	
0.34	58.8	0	40.3	61.4	16	46.9	7.4	42.5	8.2	73	0	0	0	0	31.3	50.2	8.7	99.9	26.9	20.6	99.9	98.8	99.4	99.8	99.9	99.9	-2.32366	-2.50543	153.023	5.47424	17.4607	121.738	
0.35	58.8	0	40.3	61.4	16	46.9	7.4	42.5	8.2	73	0	0	0	0	31.3	50.2	8.7	99.9	26.9	20.6	99.9	98.8	99.4	99.8	99.9	99.9	-2.32366	-2.50543	153.023	5.47424	17.4607	121.738	
