Hora de inicio de la toma de datos: 10:35:21
AT(s)	F1.1	F1.2	F2.1	F2.2	F3.1	F3.2	F4.1	F4.2	F5.1	F5.2	ABD1	ABD2	ABD3	ABD4	PA	TCO	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	HRoll	HPitch	HYaw	WRoll	WPitch	WYaw	
0.01	3.8	0	13.9	26.6	45.8	24.1	49.6	20	0	2.5	0	28.4	30.3	29.35	33.4	39	100	99.9	89.6	99.9	99.9	98.4	99.3	99.7	99.9	99.9	-16.4108	27.6788	50.733	1.60009	9.33072	119.582	
0.02	3.8	0	13.9	26.6	45.8	24.1	49.6	20	0	2.5	0	28.4	30.3	29.35	33.4	39	100	99.9	89.6	99.9	99.9	98.4	99.3	99.7	99.9	99.9	-16.4108	27.6788	50.733	1.60009	9.33072	119.582	
0.03	3.8	0	13.9	26.6	45.8	24.1	49.6	20	0	2.5	0	28.4	30.3	29.35	33.4	39	100	99.9	89.6	99.9	99.9	98.4	99.3	99.7	99.9	99.9	-16.4108	27.6788	50.733	1.60009	9.33072	119.582	
0.04	3.8	0	13.9	26.6	45.8	24.1	49.6	20	0	2.5	0	28.4	30.3	29.35	33.4	39	100	99.9	89.6	99.9	99.9	98.4	99.3	99.7	99.9	99.9	-16.4108	27.6788	50.733	1.60009	9.33072	119.582	
0.05	3.8	0	13.9	26.6	45.8	24.1	49.6	20	0	2.5	0	28.4	30.3	29.35	33.4	39	100	99.9	89.6	99.9	99.9	98.4	99.3	99.7	99.9	99.9	-16.4108	27.6788	50.733	1.60009	9.33072	119.582	
0.06	3.8	0	13.9	26.6	45.8	24.1	49.6	20	0	2.5	0	28.4	30.3	29.35	33.4	39	100	99.9	89.6	99.9	99.9	98.4	99.3	99.7	99.9	99.9	-16.4108	27.6788	50.733	1.60009	9.33072	119.582	
0.07	3.8	0	13.9	26.6	45.8	24.1	49.6	20	0	2.5	0	28.4	30.3	29.35	33.4	39	100	99.9	89.6	99.9	99.9	98.4	99.3	99.7	99.9	99.9	-16.4108	27.6788	50.733	1.60009	9.33072	119.582	
0.08	3.8	0	13.9	26.6	45.8	24.1	49.6	20	0	2.5	0	28.4	30.3	29.35	33.4	39	100	99.9	89.6	99.9	99.9	98.4	99.3	99.7	99.9	99.9	-16.4108	27.6788	50.733	1.60009	9.33072	119.582	
0.09	3.8	0	13.9	26.6	45.8	24.1	49.6	20	0	2.5	0	28.4	30.3	29.35	33.4	39	100	99.9	89.6	99.9	99.9	98.4	99.3	99.7	99.9	99.9	-16.4108	27.6788	50.733	1.60009	9.33072	119.582	
0.1	3.8	0	13.9	26.6	45.8	24.1	49.6	20	0	2.5	0	28.4	30.3	29.35	33.4	39	100	99.9	89.6	99.9	99.9	98.4	99.3	99.7	99.9	99.9	-16.4108	27.6788	50.733	1.60009	9.33072	119.582	
0.11	3.8	0	13.9	26.6	45.8	24.1	49.6	20	0	2.5	0	28.4	30.3	29.35	33.4	39	100	99.9	89.6	99.9	99.9	98.4	99.3	99.7	99.9	99.9	-16.4108	27.6788	50.733	1.60009	9.33072	119.582	
0.12	3.8	0	13.9	26.6	45.8	24.1	49.6	20	0	2.5	0	28.4	30.3	29.35	33.4	39	100	99.9	89.6	99.9	99.9	98.4	99.3	99.7	99.9	99.9	-16.4108	27.6788	50.733	1.60009	9.33072	119.582	
0.13	3.8	0	13.9	26.6	45.8	24.1	49.6	20	0	2.5	0	28.4	30.3	29.35	33.4	39	100	99.9	89.6	99.9	99.9	98.4	99.3	99.7	99.9	99.9	-16.4108	27.6788	50.733	1.60009	9.33072	119.582	
