Hora de inicio de la toma de datos: 10:28:51
AT(s)	F1.1	F1.2	F2.1	F2.2	F3.1	F3.2	F4.1	F4.2	F5.1	F5.2	ABD1	ABD2	ABD3	ABD4	PA	TCO	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	HRoll	HPitch	HYaw	WRoll	WPitch	WYaw	
0.01	2.1	0	0	11.3	0.8	0	2	0	0	5	83.4	53.9	29.1	41.5	37.8	27.2	99.9	75.4	88.1	91.4	99.9	84.2	99.9	99.9	99.9	93.8	-25.5969	-0.190364	-6.4998	-10.7852	4.16174	36.1072	
0.02	2.1	0	0	11.3	0.8	0	2	0	0	5	83.4	53.9	29.1	41.5	37.8	27.2	99.9	75.4	88.1	91.4	99.9	84.2	99.9	99.9	99.9	93.8	-25.5969	-0.190364	-6.4998	-10.7852	4.16174	36.1072	
0.03	2.1	0	0	11.3	0.8	0	2	0	0	5	83.4	53.9	29.1	41.5	37.8	27.2	99.9	75.4	88.1	91.4	99.9	84.2	99.9	99.9	99.9	93.8	-25.5969	-0.190364	-6.4998	-10.7852	4.16174	36.1072	
0.04	2.1	0	0	11.3	0.8	0	2	0	0	5	83.4	53.9	29.1	41.5	37.8	27.2	99.9	75.4	88.1	91.4	99.9	84.2	99.9	99.9	99.9	93.8	-25.5969	-0.190364	-6.4998	-10.7852	4.16174	36.1072	
0.05	2.1	0	0	11.3	0.8	0	2	0	0	5	83.4	53.9	29.1	41.5	37.8	27.2	99.9	75.4	88.1	91.4	99.9	84.2	99.9	99.9	99.9	93.8	-25.5969	-0.190364	-6.4998	-10.7852	4.16174	36.1072	
0.06	2.1	0	0	11.3	0.8	0	2	0	0	5	83.4	53.9	29.1	41.5	37.8	27.2	99.9	75.4	88.1	91.4	99.9	84.2	99.9	99.9	99.9	93.8	-25.5969	-0.190364	-6.4998	-10.7852	4.16174	36.1072	
0.07	2.1	0	0	11.3	0.8	0	2	0	0	5	83.4	53.9	29.1	41.5	37.8	27.2	99.9	75.4	88.1	91.4	99.9	84.2	99.9	99.9	99.9	93.8	-25.5969	-0.190364	-6.4998	-10.7852	4.16174	36.1072	
0.08	2.1	0	0	11.3	0.8	0	2	0	0	5	83.4	53.9	29.1	41.5	37.8	27.2	99.9	75.4	88.1	91.4	99.9	84.2	99.9	99.9	99.9	93.8	-25.5969	-0.190364	-6.4998	-10.7852	4.16174	36.1072	
0.09	2.1	0	0	11.3	0.8	0	2	0	0	5	83.4	53.9	29.1	41.5	37.8	27.2	99.9	75.4	88.1	91.4	99.9	84.2	99.9	99.9	99.9	93.8	-25.5969	-0.190364	-6.4998	-10.7852	4.16174	36.1072	
0.1	2.1	0	0	11.3	0.8	0	2	0	0	5	83.4	53.9	29.1	41.5	37.8	27.2	99.9	75.4	88.1	91.4	99.9	84.2	99.9	99.9	99.9	93.8	-25.5969	-0.190364	-6.4998	-10.7852	4.16174	36.1072	
0.11	2.1	0	0	11.3	0.8	0	2	0	0	5	83.4	53.9	29.1	41.5	37.8	27.2	99.9	75.4	88.1	91.4	99.9	84.2	99.9	99.9	99.9	93.8	-25.5969	-0.190364	-6.4998	-10.7852	4.16174	36.1072	
0.12	2.1	0	0	11.3	0.8	0	2	0	0	5	83.4	53.9	29.1	41.5	37.8	27.2	99.9	75.4	88.1	91.4	99.9	84.2	99.9	99.9	99.9	93.8	-25.5969	-0.190364	-6.4998	-10.7852	4.16174	36.1072	
0.13	2.1	0	0	11.3	0.8	0	2	0	0	5	83.4	53.9	29.1	41.5	37.8	27.2	99.9	75.4	88.1	91.4	99.9	84.2	99.9	99.9	99.9	93.8	-25.5969	-0.190364	-6.4998	-10.7852	4.16174	36.1072	
0.14	2.1	0	0	11.3	0.8	0	2	0	0	5	83.4	53.9	29.1	41.5	37.8	27.2	99.9	75.4	88.1	91.4	99.9	84.2	99.9	99.9	99.9	93.8	-25.5969	-0.190364	-6.4998	-10.7852	4.16174	36.1072	
0.15	2.1	0	0	11.3	0.8	0	2	0	0	5	83.4	53.9	29.1	41.5	37.8	27.2	99.9	75.4	88.1	91.4	99.9	84.2	99.9	99.9	99.9	93.8	-25.5969	-0.190364	-6.4998	-10.7852	4.16174	36.1072	
0.16	2.1	0	0	11.3	0.8	0	2	0	0	5	83.4	53.9	29.1	41.5	37.8	27.2	99.9	75.4	88.1	91.4	99.9	84.2	99.9	99.9	99.9	93.8	-25.5969	-0.190364	-6.4998	-10.7852	4.16174	36.1072	
0.171	2.1	0	0	11.3	0.8	0	2	0	0	5	83.4	53.9	29.1	41.5	37.8	27.2	99.9	75.4	88.1	91.4	99.9	84.2	99.9	99.9	99.9	93.8	-25.5969	-0.190364	-6.4998	-10.7852	4.16174	36.1072	
0.181	2.1	0	0	11.3	0.8	0	2	0	0	5	83.4	53.9	29.1	41.5	37.8	27.2	99.9	75.4	88.1	91.4	99.9	84.2	99.9	99.9	99.9	93.8	-25.5969	-0.190364	-6.4998	-10.7852	4.16174	36.1072	
0.191	2.1	0	0	11.3	0.8	0	2	0	0	5	83.4	53.9	29.1	41.5	37.8	27.2	99.9	75.4	88.1	91.4	99.9	84.2	99.9	99.9	99.9	93.8	-25.5969	-0.190364	-6.4998	-10.7852	4.16174	36.1072	
0.201	2.1	0	0	11.3	0.8	0	2	0	0	5	83.4	53.9	29.1	41.5	37.8	27.2	99.9	75.4	88.1	91.4	99.9	84.2	99.9	99.9	99.9	93.8	-25.5969	-0.190364	-6.4998	-10.7852	4.16174	36.1072	
0.211	2.1	0	0	11.3	0.8	0	2	0	0	5	83.4	53.9	29.1	41.5	37.8	27.2	99.9	75.4	88.1	91.4	99.9	84.2	99.9	99.9	99.9	93.8	-25.5969	-0.190364	-6.4998	-10.7852	4.16174	36.1072	
