Hora de inicio de la toma de datos: 10:34:56
AT(s)	F1.1	F1.2	F2.1	F2.2	F3.1	F3.2	F4.1	F4.2	F5.1	F5.2	ABD1	ABD2	ABD3	ABD4	PA	TCO	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	HRoll	HPitch	HYaw	WRoll	WPitch	WYaw	
0.01	4.2	0	13.6	26.1	15.8	18.1	9.8	5	3.9	14.3	3.8	35.1	23.3	29.2	26.4	34.7	99.9	99.9	99.9	98	99.9	99.7	99.9	99.7	99.4	99.2	-20.4505	18.148	68.4783	-3.7149	7.82468	116.004	
0.02	4.2	0	13.6	26.1	15.8	18.1	9.8	5	3.9	14.3	3.8	35.1	23.3	29.2	26.4	34.7	99.9	99.9	99.9	98	99.9	99.7	99.9	99.7	99.4	99.2	-20.4505	18.148	68.4783	-3.7149	7.82468	116.004	
0.03	4.2	0	13.6	26.1	15.8	18.1	9.8	5	3.9	14.3	3.8	35.1	23.3	29.2	26.4	34.7	99.9	99.9	99.9	98	99.9	99.7	99.9	99.7	99.4	99.2	-20.4505	18.148	68.4783	-3.7149	7.82468	116.004	
0.04	4.2	0	13.6	26.1	15.8	18.1	9.8	5	3.9	14.3	3.8	35.1	23.3	29.2	26.4	34.7	99.9	99.9	99.9	98	99.9	99.7	99.9	99.7	99.4	99.2	-20.4505	18.148	68.4783	-3.7149	7.82468	116.004	
0.05	4.2	0	13.6	26.1	15.8	18.1	9.8	5	3.9	14.3	3.8	35.1	23.3	29.2	26.4	34.7	99.9	99.9	99.9	98	99.9	99.7	99.9	99.7	99.4	99.2	-20.4505	18.148	68.4783	-3.7149	7.82468	116.004	
0.06	4.1	0	13.5	26.1	15.6	18.3	9.9	5.2	3.7	14.3	3.7	34.9	23.1	29	26.5	34.7	100	99.9	99.9	98	99.9	99.2	99.8	99.6	99.3	99.2	-20.0439	17.7227	68.6481	-3.58257	7.84544	115.966	
0.07	4.2	0	13.5	26	15.6	18.2	9.9	5.4	3.9	14.3	3.5	34.8	22.9	28.85	26.4	34.7	100	99.9	99.9	98	99.9	99.1	99.9	99.9	99.9	99.6	-20.1817	17.8787	68.5876	-3.21562	7.63741	115.98	
0.08	4.2	0	13.5	26	15.6	18.2	9.9	5.4	3.9	14.3	3.5	34.8	22.9	28.85	26.4	34.7	100	99.9	99.9	98	99.9	99.1	99.9	99.9	99.9	99.6	-20.1817	17.8787	68.5876	-3.21562	7.63741	115.98	
0.09	4.2	0	13.5	26	15.6	18.2	9.9	5.4	3.9	14.3	3.5	34.8	22.9	28.85	26.4	34.7	100	99.9	99.9	98	99.9	99.1	99.9	99.9	99.9	99.6	-20.1817	17.8787	68.5876	-3.21562	7.63741	115.98	
0.1	4.2	0	13.5	26	15.6	18.2	9.9	5.4	3.9	14.3	3.5	34.8	22.9	28.85	26.4	34.7	100	99.9	99.9	98	99.9	99.1	99.9	99.9	99.9	99.6	-20.1817	17.8787	68.5876	-3.21562	7.63741	115.98	
0.11	4.2	0	13.5	26	15.6	18.2	9.9	5.4	3.9	14.3	3.5	34.8	22.9	28.85	26.4	34.7	100	99.9	99.9	98	99.9	99.1	99.9	99.9	99.9	99.6	-20.1817	17.8787	68.5876	-3.21562	7.63741	115.98	
0.12	4.2	0	13.5	26	15.6	18.2	9.9	5.4	3.9	14.3	3.5	34.8	22.9	28.85	26.4	34.7	100	99.9	99.9	98	99.9	99.1	99.9	99.9	99.9	99.6	-20.1817	17.8787	68.5876	-3.21562	7.63741	115.98	
0.13	4.2	0	13.5	26	15.6	18.2	9.9	5.4	3.9	14.3	3.5	34.8	22.9	28.85	26.4	34.7	100	99.9	99.9	98	99.9	99.1	99.9	99.9	99.9	99.6	-20.1817	17.8787	68.5876	-3.21562	7.63741	115.98	
0.14	4.2	0	13.5	26	15.6	18.2	9.9	5.4	3.9	14.3	3.5	34.8	22.9	28.85	26.4	34.7	100	99.9	99.9	98	99.9	99.1	99.9	99.9	99.9	99.6	-20.1817	17.8787	68.5876	-3.21562	7.63741	115.98	
0.15	4.2	0	13.5	26	15.6	18.2	9.9	5.4	3.9	14.3	3.5	34.8	22.9	28.85	26.4	34.7	100	99.9	99.9	98	99.9	99.1	99.9	99.9	99.9	99.6	-20.1817	17.8787	68.5876	-3.21562	7.63741	115.98	
0.16	4.2	0	13.5	26	15.6	18.2	9.9	5.4	3.9	14.3	3.5	34.8	22.9	28.85	26.4	34.7	100	99.9	99.9	98	99.9	99.1	99.9	99.9	99.9	99.6	-20.1817	17.8787	68.5876	-3.21562	7.63741	115.98	
0.171	4.2	0	13.5	26	15.6	18.2	9.9	5.4	3.9	14.3	3.5	34.8	22.9	28.85	26.4	34.7	100	99.9	99.9	98	99.9	99.1	99.9	99.9	99.9	99.6	-20.1817	17.8787	68.5876	-3.21562	7.63741	115.98	
0.181	4.2	0	13.5	26	15.6	18.2	9.9	5.4	3.9	14.3	3.5	34.8	22.9	28.85	26.4	34.7	100	99.9	99.9	98	99.9	99.1	99.9	99.9	99.9	99.6	-20.1817	17.8787	68.5876	-3.21562	7.63741	115.98	
0.191	4.2	0	13.5	26	15.6	18.2	9.9	5.4	3.9	14.3	3.5	34.8	22.9	28.85	26.4	34.7	100	99.9	99.9	98	99.9	99.1	99.9	99.9	99.9	99.6	-20.1817	17.8787	68.5876	-3.21562	7.63741	115.98	
0.201	4.2	0	13.5	26	15.6	18.2	9.9	5.4	3.9	14.3	3.5	34.8	22.9	28.85	26.4	34.7	100	99.9	99.9	98	99.9	99.1	99.9	99.9	99.9	99.6	-20.1817	17.8787	68.5876	-3.21562	7.63741	115.98	
0.211	4.2	0	13.5	26	15.6	18.2	9.9	5.4	3.9	14.3	3.5	34.8	22.9	28.85	26.4	34.7	100	99.9	99.9	98	99.9	99.1	99.9	99.9	99.9	99.6	-20.1817	17.8787	68.5876	-3.21562	7.63741	115.98	
0.221	4.2	0	13.5	26	15.6	18.2	9.9	5.4	3.9	14.3	3.5	34.8	22.9	28.85	26.4	34.7	100	99.9	99.9	98	99.9	99.1	99.9	99.9	99.9	99.6	-20.1817	17.8787	68.5876	-3.21562	7.63741	115.98	
0.231	4.2	0	13.5	26	15.6	18.2	9.9	5.4	3.9	14.3	3.5	34.8	22.9	28.85	26.4	34.7	100	99.9	99.9	98	99.9	99.1	99.9	99.9	99.9	99.6	-20.1817	17.8787	68.5876	-3.21562	7.63741	115.98	
0.241	4.2	0	13.5	26	15.6	18.2	9.9	5.4	3.9	14.3	3.5	34.8	22.9	28.85	26.4	34.7	100	99.9	99.9	98	99.9	99.1	99.9	99.9	99.9	99.6	-20.1817	17.8787	68.5876	-3.21562	7.63741	115.98	
0.251	4.2	0	13.5	26	15.6	18.2	9.9	5.4	3.9	14.3	3.5	34.8	22.9	28.85	26.4	34.7	100	99.9	99.9	98	99.9	99.1	99.9	99.9	99.9	99.6	-20.1817	17.8787	68.5876	-3.21562	7.63741	115.98	
0.261	4.2	0	13.5	26	15.6	18.2	9.9	5.4	3.9	14.3	3.5	34.8	22.9	28.85	26.4	34.7	100	99.9	99.9	98	99.9	99.1	99.9	99.9	99.9	99.6	-20.1817	17.8787	68.5876	-3.21562	7.63741	115.98	
0.271	4.2	0	13.5	26	15.6	18.2	9.9	5.4	3.9	14.3	3.5	34.8	22.9	28.85	26.4	34.7	100	99.9	99.9	98	99.9	99.1	99.9	99.9	99.9	99.6	-20.1817	17.8787	68.5876	-3.21562	7.63741	115.98	
0.281	4.2	0	13.5	26	15.6	18.2	9.9	5.4	3.9	14.3	3.5	34.8	22.9	28.85	26.4	34.7	100	99.9	99.9	98	99.9	99.1	99.9	99.9	99.9	99.6	-20.1817	17.8787	68.5876	-3.21562	7.63741	115.98	
0.29	4.2	0	13.5	26	15.6	18.2	9.9	5.4	3.9	14.3	3.5	34.8	22.9	28.85	26.4	34.7	100	99.9	99.9	98	99.9	99.1	99.9	99.9	99.9	99.6	-20.1817	17.8787	68.5876	-3.21562	7.63741	115.98	
0.3	4.2	0	13.5	26	15.6	18.2	9.9	5.4	3.9	14.3	3.5	34.8	22.9	28.85	26.4	34.7	100	99.9	99.9	98	99.9	99.1	99.9	99.9	99.9	99.6	-20.1817	17.8787	68.5876	-3.21562	7.63741	115.98	
0.31	4.2	0	13.5	26	15.6	18.2	9.9	5.4	3.9	14.3	3.5	34.8	22.9	28.85	26.4	34.7	100	99.9	99.9	98	99.9	99.1	99.9	99.9	99.9	99.6	-20.1817	17.8787	68.5876	-3.21562	7.63741	115.98	
0.32	4.2	0	13.5	26	15.6	18.2	9.9	5.4	3.9	14.3	3.5	34.8	22.9	28.85	26.4	34.7	100	99.9	99.9	98	99.9	99.1	99.9	99.9	99.9	99.6	-20.1817	17.8787	68.5876	-3.21562	7.63741	115.98	
0.33	4.2	0	13.5	26	15.6	18.2	9.9	5.4	3.9	14.3	3.5	34.8	22.9	28.85	26.4	34.7	100	99.9	99.9	98	99.9	99.1	99.9	99.9	99.9	99.6	-20.1817	17.8787	68.5876	-3.21562	7.63741	115.98	
0.34	4.2	0	13.5	26	15.6	18.2	9.9	5.4	3.9	14.3	3.5	34.8	22.9	28.85	26.4	34.7	100	99.9	99.9	98	99.9	99.1	99.9	99.9	99.9	99.6	-20.1817	17.8787	68.5876	-3.21562	7.63741	115.98	
0.35	4.2	0	13.5	26	15.6	18.2	9.9	5.4	3.9	14.3	3.5	34.8	22.9	28.85	26.4	34.7	100	99.9	99.9	98	99.9	99.1	99.9	99.9	99.9	99.6	-20.1817	17.8787	68.5876	-3.21562	7.63741	115.98	
0.36	4.2	0	13.5	26	15.6	18.2	9.9	5.4	3.9	14.3	3.5	34.8	22.9	28.85	26.4	34.7	100	99.9	99.9	98	99.9	99.1	99.9	99.9	99.9	99.6	-20.1817	17.8787	68.5876	-3.21562	7.63741	115.98	
0.37	4.2	0	13.5	26	15.6	18.2	9.9	5.4	3.9	14.3	3.5	34.8	22.9	28.85	26.4	34.7	100	99.9	99.9	98	99.9	99.1	99.9	99.9	99.9	99.6	-20.1817	17.8787	68.5876	-3.21562	7.63741	115.98	
