Hora de inicio de la toma de datos: 10:15:01
AT(s)	F1.1	F1.2	F2.1	F2.2	F3.1	F3.2	F4.1	F4.2	F5.1	F5.2	ABD1	ABD2	ABD3	ABD4	PA	TCO	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	HRoll	HPitch	HYaw	WRoll	WPitch	WYaw	
0.01	3	0	10.4	23.7	7.6	22.1	4.4	8.5	2.2	14.9	7.7	34.5	25.3	29.9	31.8	36.4	99.9	99.9	99.9	99.9	99.9	99.2	99.8	99.6	93.3	95.3	-12.5327	17.6758	43.9337	10.8609	6.25162	-154.362	
0.02	3	0	10.4	23.7	7.6	22.1	4.4	8.5	2.2	14.9	7.7	34.5	25.3	29.9	31.8	36.4	99.9	99.9	99.9	99.9	99.9	99.2	99.8	99.6	93.3	95.3	-12.5327	17.6758	43.9337	10.8609	6.25162	-154.362	
0.03	3	0	10.4	23.7	7.6	22.1	4.4	8.5	2.2	14.9	7.7	34.5	25.3	29.9	31.8	36.4	99.9	99.9	99.9	99.9	99.9	99.2	99.8	99.6	93.3	95.3	-12.5327	17.6758	43.9337	10.8609	6.25162	-154.362	
0.04	3	0	10.4	23.7	7.6	22.1	4.4	8.5	2.2	14.9	7.7	34.5	25.3	29.9	31.8	36.4	99.9	99.9	99.9	99.9	99.9	99.2	99.8	99.6	93.3	95.3	-12.5327	17.6758	43.9337	10.8609	6.25162	-154.362	
0.05	3	0	10.4	23.7	7.6	22.1	4.4	8.5	2.2	14.9	7.7	34.5	25.3	29.9	31.8	36.4	99.9	99.9	99.9	99.9	99.9	99.2	99.8	99.6	93.3	95.3	-12.5327	17.6758	43.9337	10.8609	6.25162	-154.362	
0.06	3	0	10.4	23.7	7.6	22.1	4.4	8.5	2.2	14.9	7.7	34.5	25.3	29.9	31.8	36.4	99.9	99.9	99.9	99.9	99.9	99.2	99.8	99.6	93.3	95.3	-12.5327	17.6758	43.9337	10.8609	6.25162	-154.362	
0.07	3	0	10.4	23.7	7.6	22.1	4.4	8.5	2.2	14.9	7.7	34.5	25.3	29.9	31.8	36.4	99.9	99.9	99.9	99.9	99.9	99.2	99.8	99.6	93.3	95.3	-12.5327	17.6758	43.9337	10.8609	6.25162	-154.362	
0.08	3	0	10.4	23.7	7.6	22.1	4.4	8.5	2.2	14.9	7.7	34.5	25.3	29.9	31.8	36.4	99.9	99.9	99.9	99.9	99.9	99.2	99.8	99.6	93.3	95.3	-12.5327	17.6758	43.9337	10.8609	6.25162	-154.362	
0.09	3.2	0	10.4	24.2	7.5	22.8	4.4	8.5	2.2	15	7.4	34.4	24.4	29.4	31.3	36.2	100	99.9	99.9	99.8	99.9	99.1	99.9	99.6	91.7	95.7	-12.3804	18.0643	43.6452	11.1166	5.95851	-154.515	
0.1	3.2	0	10.4	24.2	7.5	22.8	4.4	8.5	2.2	15	7.4	34.4	24.4	29.4	31.3	36.2	100	99.9	99.9	99.8	99.9	99.1	99.9	99.6	91.7	95.7	-12.3804	18.0643	43.6452	11.1166	5.95851	-154.515	
0.11	3.2	0	10.4	24.2	7.5	22.8	4.4	8.5	2.2	15	7.4	34.4	24.4	29.4	31.3	36.2	100	99.9	99.9	99.8	99.9	99.1	99.9	99.6	91.7	95.7	-12.3804	18.0643	43.6452	11.1166	5.95851	-154.515	
0.12	3.2	0	10.4	24.2	7.5	22.8	4.4	8.5	2.2	15	7.4	34.4	24.4	29.4	31.3	36.2	100	99.9	99.9	99.8	99.9	99.1	99.9	99.6	91.7	95.7	-12.3804	18.0643	43.6452	11.1166	5.95851	-154.515	
0.13	3.2	0	10.4	24.2	7.5	22.8	4.4	8.5	2.2	15	7.4	34.4	24.4	29.4	31.3	36.2	100	99.9	99.9	99.8	99.9	99.1	99.9	99.6	91.7	95.7	-12.3804	18.0643	43.6452	11.1166	5.95851	-154.515	
0.14	3.2	0	10.4	24.2	7.5	22.8	4.4	8.5	2.2	15	7.4	34.4	24.4	29.4	31.3	36.2	100	99.9	99.9	99.8	99.9	99.1	99.9	99.6	91.7	95.7	-12.3804	18.0643	43.6452	11.1166	5.95851	-154.515	
0.15	3.2	0	10.4	24.2	7.5	22.8	4.4	8.5	2.2	15	7.4	34.4	24.4	29.4	31.3	36.2	100	99.9	99.9	99.8	99.9	99.1	99.9	99.6	91.7	95.7	-12.3804	18.0643	43.6452	11.1166	5.95851	-154.515	
0.16	3.2	0	10.4	24.2	7.5	22.8	4.4	8.5	2.2	15	7.4	34.4	24.4	29.4	31.3	36.2	100	99.9	99.9	99.8	99.9	99.1	99.9	99.6	91.7	95.7	-12.3804	18.0643	43.6452	11.1166	5.95851	-154.515	
0.171	3.2	0	10.4	24.2	7.5	22.8	4.4	8.5	2.2	15	7.4	34.4	24.4	29.4	31.3	36.2	100	99.9	99.9	99.8	99.9	99.1	99.9	99.6	91.7	95.7	-12.3804	18.0643	43.6452	11.1166	5.95851	-154.515	
