Hora de inicio de la toma de datos: 10:20:08
AT(s)	F1.1	F1.2	F2.1	F2.2	F3.1	F3.2	F4.1	F4.2	F5.1	F5.2	ABD1	ABD2	ABD3	ABD4	PA	TCO	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	HRoll	HPitch	HYaw	WRoll	WPitch	WYaw	
0.01	0	0	1	7.4	2.4	1.7	0.2	1	0.4	5.6	21.2	22.4	12.3	17.35	45.2	31.8	99.9	99.9	99.9	87.3	99.9	99.4	99.9	99.9	99.9	99.9	-88.0538	5.38928	7.40175	-59.35	7.27249	6.95345	
0.02	0	0	1	7.4	2.4	1.7	0.2	1	0.4	5.6	21.2	22.4	12.3	17.35	45.2	31.8	99.9	99.9	99.9	87.3	99.9	99.4	99.9	99.9	99.9	99.9	-88.0538	5.38928	7.40175	-59.35	7.27249	6.95345	
0.03	0	0	1	7.4	2.4	1.7	0.2	1	0.4	5.6	21.2	22.4	12.3	17.35	45.2	31.8	99.9	99.9	99.9	87.3	99.9	99.4	99.9	99.9	99.9	99.9	-88.0538	5.38928	7.40175	-59.35	7.27249	6.95345	
0.04	0	0	1	7.4	2.4	1.7	0.2	1	0.4	5.6	21.2	22.4	12.3	17.35	45.2	31.8	99.9	99.9	99.9	87.3	99.9	99.4	99.9	99.9	99.9	99.9	-88.0538	5.38928	7.40175	-59.35	7.27249	6.95345	
0.05	0	0	1	7.4	2.4	1.7	0.2	1	0.4	5.6	21.2	22.4	12.3	17.35	45.2	31.8	99.9	99.9	99.9	87.3	99.9	99.4	99.9	99.9	99.9	99.9	-88.0538	5.38928	7.40175	-59.35	7.27249	6.95345	
0.06	0	0	1	7.4	2.4	1.7	0.2	1	0.4	5.6	21.2	22.4	12.3	17.35	45.2	31.8	99.9	99.9	99.9	87.3	99.9	99.4	99.9	99.9	99.9	99.9	-88.0538	5.38928	7.40175	-59.35	7.27249	6.95345	
0.07	0	0	1	7.4	2.4	1.7	0.2	1	0.4	5.6	21.2	22.4	12.3	17.35	45.2	31.8	99.9	99.9	99.9	87.3	99.9	99.4	99.9	99.9	99.9	99.9	-88.0538	5.38928	7.40175	-59.35	7.27249	6.95345	
0.08	0	0	1	7.4	2.4	1.7	0.2	1	0.4	5.6	21.2	22.4	12.3	17.35	45.2	31.8	99.9	99.9	99.9	87.3	99.9	99.4	99.9	99.9	99.9	99.9	-88.0538	5.38928	7.40175	-59.35	7.27249	6.95345	
0.09	0	0	1	7.4	2.4	1.7	0.2	1	0.4	5.6	21.2	22.4	12.3	17.35	45.2	31.8	99.9	99.9	99.9	87.3	99.9	99.4	99.9	99.9	99.9	99.9	-88.0538	5.38928	7.40175	-59.35	7.27249	6.95345	
0.1	0	0	1	7.4	2.4	1.7	0.2	1	0.4	5.6	21.2	22.4	12.3	17.35	45.2	31.8	99.9	99.9	99.9	87.3	99.9	99.4	99.9	99.9	99.9	99.9	-88.0538	5.38928	7.40175	-59.35	7.27249	6.95345	
0.11	0	0	1	7.4	2.4	1.7	0.2	1	0.4	5.6	21.2	22.4	12.3	17.35	45.2	31.8	99.9	99.9	99.9	87.3	99.9	99.4	99.9	99.9	99.9	99.9	-88.0538	5.38928	7.40175	-59.35	7.27249	6.95345	
0.12	0	0	1	7.4	2.4	1.7	0.2	1	0.4	5.6	21.2	22.4	12.3	17.35	45.2	31.8	99.9	99.9	99.9	87.3	99.9	99.4	99.9	99.9	99.9	99.9	-88.0538	5.38928	7.40175	-59.35	7.27249	6.95345	
0.13	0	0	1	7.4	2.4	1.7	0.2	1	0.4	5.6	21.2	22.4	12.3	17.35	45.2	31.8	99.9	99.9	99.9	87.3	99.9	99.4	99.9	99.9	99.9	99.9	-88.0538	5.38928	7.40175	-59.35	7.27249	6.95345	
0.14	0	0	1	7.4	2.4	1.7	0.2	1	0.4	5.6	21.2	22.4	12.3	17.35	45.2	31.8	99.9	99.9	99.9	87.3	99.9	99.4	99.9	99.9	99.9	99.9	-88.0538	5.38928	7.40175	-59.35	7.27249	6.95345	
0.15	0	0	0.7	7.4	2.5	1.6	0.1	1.1	0.2	5.5	21.3	22.9	12.2	17.55	45.1	31.9	100	99.9	99.9	76.6	99.9	99.9	99.8	99.5	99.4	99.9	-87.8807	5.33658	7.36683	-59.5177	7.19188	6.89723	
0.16	0	0	0.7	7.4	2.5	1.6	0.1	1.1	0.2	5.5	21.3	22.9	12.2	17.55	45.1	31.9	100	99.9	99.9	76.6	99.9	99.9	99.8	99.5	99.4	99.9	-87.8807	5.33658	7.36683	-59.5177	7.19188	6.89723	
0.171	0	0	0.7	7.4	2.5	1.6	0.1	1.1	0.2	5.5	21.3	22.9	12.2	17.55	45.1	31.9	100	99.9	99.9	76.6	99.9	99.9	99.8	99.5	99.4	99.9	-87.8807	5.33658	7.36683	-59.5177	7.19188	6.89723	
0.181	0	0	0.7	7.4	2.5	1.6	0.1	1.1	0.2	5.5	21.3	22.9	12.2	17.55	45.1	31.9	100	99.9	99.9	76.6	99.9	99.9	99.8	99.5	99.4	99.9	-87.8807	5.33658	7.36683	-59.5177	7.19188	6.89723	
0.191	0	0	0.7	7.4	2.5	1.6	0.1	1.1	0.2	5.5	21.3	22.9	12.2	17.55	45.1	31.9	100	99.9	99.9	76.6	99.9	99.9	99.8	99.5	99.4	99.9	-87.8807	5.33658	7.36683	-59.5177	7.19188	6.89723	
0.201	0	0	0.7	7.4	2.5	1.6	0.1	1.1	0.2	5.5	21.3	22.9	12.2	17.55	45.1	31.9	100	99.9	99.9	76.6	99.9	99.9	99.8	99.5	99.4	99.9	-87.8807	5.33658	7.36683	-59.5177	7.19188	6.89723	
0.211	0	0	0.7	7.4	2.5	1.6	0.1	1.1	0.2	5.5	21.3	22.9	12.2	17.55	45.1	31.9	100	99.9	99.9	76.6	99.9	99.9	99.8	99.5	99.4	99.9	-87.8807	5.33658	7.36683	-59.5177	7.19188	6.89723	
0.221	0	0	0.7	7.4	2.5	1.6	0.1	1.1	0.2	5.5	21.3	22.9	12.2	17.55	45.1	31.9	100	99.9	99.9	76.6	99.9	99.9	99.8	99.5	99.4	99.9	-87.8807	5.33658	7.36683	-59.5177	7.19188	6.89723	
