Hora de inicio de la toma de datos: 10:25:17
AT(s)	F1.1	F1.2	F2.1	F2.2	F3.1	F3.2	F4.1	F4.2	F5.1	F5.2	ABD1	ABD2	ABD3	ABD4	PA	TCO	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	HRoll	HPitch	HYaw	WRoll	WPitch	WYaw	
0.01	0	0	0	1.7	1.6	0	0	0	0	0	0	0	0	0	23.3	27.2	99.9	71.6	99.9	77.2	99.9	98.6	99.4	99.5	99.9	99.9	-16.5714	-14.5752	57.1219	0.384522	7.69948	-138.987	
0.02	0	0	0	1.7	1.6	0	0	0	0	0	0	0	0	0	23.3	27.2	99.9	71.6	99.9	77.2	99.9	98.6	99.4	99.5	99.9	99.9	-16.5714	-14.5752	57.1219	0.384522	7.69948	-138.987	
0.03	0	0	0	1.7	1.6	0	0	0	0	0	0	0	0	0	23.3	27.2	99.9	71.6	99.9	77.2	99.9	98.6	99.4	99.5	99.9	99.9	-16.5714	-14.5752	57.1219	0.384522	7.69948	-138.987	
0.04	0	0	0	1.7	1.6	0	0	0	0	0	0	0	0	0	23.3	27.2	99.9	71.6	99.9	77.2	99.9	98.6	99.4	99.5	99.9	99.9	-16.5714	-14.5752	57.1219	0.384522	7.69948	-138.987	
0.05	0	0	0	1.7	1.6	0	0	0	0	0	0	0	0	0	23.3	27.2	99.9	71.6	99.9	77.2	99.9	98.6	99.4	99.5	99.9	99.9	-16.5714	-14.5752	57.1219	0.384522	7.69948	-138.987	
0.06	0	0	0	1.7	1.6	0	0	0	0	0	0	0	0	0	23.3	27.2	99.9	71.6	99.9	77.2	99.9	98.6	99.4	99.5	99.9	99.9	-16.5714	-14.5752	57.1219	0.384522	7.69948	-138.987	
0.07	0	0	0	1.7	1.6	0	0	0	0	0	0	0	0	0	23.3	27.2	99.9	71.6	99.9	77.2	99.9	98.6	99.4	99.5	99.9	99.9	-16.5714	-14.5752	57.1219	0.384522	7.69948	-138.987	
0.08	0	0	0	1.7	1.6	0	0	0	0	0	0	0	0	0	23.3	27.2	99.9	71.6	99.9	77.2	99.9	98.6	99.4	99.5	99.9	99.9	-16.5714	-14.5752	57.1219	0.384522	7.69948	-138.987	
0.09	0	0	0	1.7	1.6	0	0	0	0	0	0	0	0	0	23.3	27.2	99.9	71.6	99.9	77.2	99.9	98.6	99.4	99.5	99.9	99.9	-16.5714	-14.5752	57.1219	0.384522	7.69948	-138.987	
0.1	0	0	0	1.7	1.6	0	0	0	0	0	0	0	0	0	23.3	27.2	99.9	71.6	99.9	77.2	99.9	98.6	99.4	99.5	99.9	99.9	-16.5714	-14.5752	57.1219	0.384522	7.69948	-138.987	
0.11	0	0	0	1.7	1.6	0	0	0	0	0	0	0	0	0	23.3	27.2	99.9	71.6	99.9	77.2	99.9	98.6	99.4	99.5	99.9	99.9	-16.5714	-14.5752	57.1219	0.384522	7.69948	-138.987	
0.12	0	0	0	1.7	1.6	0	0	0	0	0	0	0	0	0	23.3	27.2	99.9	71.6	99.9	77.2	99.9	98.6	99.4	99.5	99.9	99.9	-16.5714	-14.5752	57.1219	0.384522	7.69948	-138.987	
0.13	0	0	0	1.7	1.6	0	0	0	0	0	0	0	0	0	23.3	27.2	99.9	71.6	99.9	77.2	99.9	98.6	99.4	99.5	99.9	99.9	-16.5714	-14.5752	57.1219	0.384522	7.69948	-138.987	
0.14	0	0	0	1.7	1.6	0	0	0	0	0	0	0	0	0	23.3	27.2	99.9	71.6	99.9	77.2	99.9	98.6	99.4	99.5	99.9	99.9	-16.5714	-14.5752	57.1219	0.384522	7.69948	-138.987	
0.15	0	0	0	1.7	1.6	0	0	0	0	0	0	0	0	0	23.3	27.2	99.9	71.6	99.9	77.2	99.9	98.6	99.4	99.5	99.9	99.9	-16.5714	-14.5752	57.1219	0.384522	7.69948	-138.987	
0.16	0	0	0	1.7	1.6	0	0	0	0	0	0	0	0	0	23.3	27.2	99.9	71.6	99.9	77.2	99.9	98.6	99.4	99.5	99.9	99.9	-16.5714	-14.5752	57.1219	0.384522	7.69948	-138.987	
0.171	0	0	0	1.7	1.6	0	0	0	0	0	0	0	0	0	23.3	27.2	99.9	71.6	99.9	77.2	99.9	98.6	99.4	99.5	99.9	99.9	-16.5714	-14.5752	57.1219	0.384522	7.69948	-138.987	
0.181	0	0	0	1.7	1.6	0	0	0	0	0	0	0	0	0	23.3	27.2	99.9	71.6	99.9	77.2	99.9	98.6	99.4	99.5	99.9	99.9	-16.5714	-14.5752	57.1219	0.384522	7.69948	-138.987	
0.191	0	0	0	1.7	1.6	0	0	0	0	0	0	0	0	0	23.3	27.2	99.9	71.6	99.9	77.2	99.9	98.6	99.4	99.5	99.9	99.9	-16.5714	-14.5752	57.1219	0.384522	7.69948	-138.987	
0.201	0	0	0	1.7	1.6	0	0	0	0	0	0	0	0	0	23.3	27.2	99.9	71.6	99.9	77.2	99.9	98.6	99.4	99.5	99.9	99.9	-16.5714	-14.5752	57.1219	0.384522	7.69948	-138.987	
0.211	0	0	0	1.7	1.7	0	0	0	0	0	0	0	0	0	23.2	27.2	100	70	99.9	73.9	99.9	98.6	99.9	99.9	99.9	99.9	-16.1802	-13.8811	56.956	1.55162	6.74674	-139.022	
0.221	0	0	0	1.7	1.7	0	0	0	0	0	0	0	0	0	23.2	27.2	100	70	99.9	73.9	99.9	98.6	99.9	99.9	99.9	99.9	-16.1802	-13.8811	56.956	1.55162	6.74674	-139.022	
0.231	0	0	0	1.7	1.7	0	0	0	0	0	0	0	0	0	23.2	27.2	100	70	99.9	73.9	99.9	98.6	99.9	99.9	99.9	99.9	-16.1802	-13.8811	56.956	1.55162	6.74674	-139.022	
0.241	0	0	0	1.7	1.7	0	0	0	0	0	0	0	0	0	23.2	27.2	100	70	99.9	73.9	99.9	98.6	99.9	99.9	99.9	99.9	-16.1802	-13.8811	56.956	1.55162	6.74674	-139.022	
0.251	0	0	0	1.7	1.7	0	0	0	0	0	0	0	0	0	23.2	27.2	100	70	99.9	73.9	99.9	98.6	99.9	99.9	99.9	99.9	-16.1802	-13.8811	56.956	1.55162	6.74674	-139.022	
0.261	0	0	0	1.7	1.7	0	0	0	0	0	0	0	0	0	23.2	27.2	100	70	99.9	73.9	99.9	98.6	99.9	99.9	99.9	99.9	-16.1802	-13.8811	56.956	1.55162	6.74674	-139.022	
