Hora de inicio de la toma de datos: 10:24:43
AT(s)	F1.1	F1.2	F2.1	F2.2	F3.1	F3.2	F4.1	F4.2	F5.1	F5.2	ABD1	ABD2	ABD3	ABD4	PA	TCO	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	HRoll	HPitch	HYaw	WRoll	WPitch	WYaw	
0.01	14.5	0	44.3	27.2	8.7	9.5	9.7	2.7	5.8	3.2	0	42.1	15.4	28.75	37.6	51.1	99.9	99.9	99.9	98.4	99.9	99.2	99.7	99.9	99.9	99.9	-76.5918	20.7273	113.269	-48.2635	7.61978	-108.435	
0.02	14.5	0	44.3	27.2	8.7	9.5	9.7	2.7	5.8	3.2	0	42.1	15.4	28.75	37.6	51.1	99.9	99.9	99.9	98.4	99.9	99.2	99.7	99.9	99.9	99.9	-76.5918	20.7273	113.269	-48.2635	7.61978	-108.435	
0.03	14.5	0	44.3	27.2	8.7	9.5	9.7	2.7	5.8	3.2	0	42.1	15.4	28.75	37.6	51.1	99.9	99.9	99.9	98.4	99.9	99.2	99.7	99.9	99.9	99.9	-76.5918	20.7273	113.269	-48.2635	7.61978	-108.435	
0.04	14.5	0	44.3	27.2	8.7	9.5	9.7	2.7	5.8	3.2	0	42.1	15.4	28.75	37.6	51.1	99.9	99.9	99.9	98.4	99.9	99.2	99.7	99.9	99.9	99.9	-76.5918	20.7273	113.269	-48.2635	7.61978	-108.435	
0.05	14.5	0	44.3	27.2	8.7	9.5	9.7	2.7	5.8	3.2	0	42.1	15.4	28.75	37.6	51.1	99.9	99.9	99.9	98.4	99.9	99.2	99.7	99.9	99.9	99.9	-76.5918	20.7273	113.269	-48.2635	7.61978	-108.435	
0.06	14.5	0	44.3	27.2	8.7	9.5	9.7	2.7	5.8	3.2	0	42.1	15.4	28.75	37.6	51.1	99.9	99.9	99.9	98.4	99.9	99.2	99.7	99.9	99.9	99.9	-76.5918	20.7273	113.269	-48.2635	7.61978	-108.435	
0.07	14.5	0	44.3	27.2	8.7	9.5	9.7	2.7	5.8	3.2	0	42.1	15.4	28.75	37.6	51.1	99.9	99.9	99.9	98.4	99.9	99.2	99.7	99.9	99.9	99.9	-76.5918	20.7273	113.269	-48.2635	7.61978	-108.435	
0.08	14.5	0	44.3	27.2	8.7	9.5	9.7	2.7	5.8	3.2	0	42.1	15.4	28.75	37.6	51.1	99.9	99.9	99.9	98.4	99.9	99.2	99.7	99.9	99.9	99.9	-76.5918	20.7273	113.269	-48.2635	7.61978	-108.435	
0.09	14.5	0	44.3	27.2	8.7	9.5	9.7	2.7	5.8	3.2	0	42.1	15.4	28.75	37.6	51.1	99.9	99.9	99.9	98.4	99.9	99.2	99.7	99.9	99.9	99.9	-76.5918	20.7273	113.269	-48.2635	7.61978	-108.435	
0.1	14.5	0	44.3	27.2	8.7	9.5	9.7	2.7	5.8	3.2	0	42.1	15.4	28.75	37.6	51.1	99.9	99.9	99.9	98.4	99.9	99.2	99.7	99.9	99.9	99.9	-76.5918	20.7273	113.269	-48.2635	7.61978	-108.435	
0.11	14.5	0	44.3	27.2	8.7	9.5	9.7	2.7	5.8	3.2	0	42.1	15.4	28.75	37.6	51.1	99.9	99.9	99.9	98.4	99.9	99.2	99.7	99.9	99.9	99.9	-76.5918	20.7273	113.269	-48.2635	7.61978	-108.435	
0.12	14.5	0	44.3	27.2	8.7	9.5	9.7	2.7	5.8	3.2	0	42.1	15.4	28.75	37.6	51.1	99.9	99.9	99.9	98.4	99.9	99.2	99.7	99.9	99.9	99.9	-76.5918	20.7273	113.269	-48.2635	7.61978	-108.435	
0.13	14.5	0	44.3	27.2	8.7	9.5	9.7	2.7	5.8	3.2	0	42.1	15.4	28.75	37.6	51.1	99.9	99.9	99.9	98.4	99.9	99.2	99.7	99.9	99.9	99.9	-76.5918	20.7273	113.269	-48.2635	7.61978	-108.435	
0.14	14.5	0	44.3	27.2	8.7	9.5	9.7	2.7	5.8	3.2	0	42.1	15.4	28.75	37.6	51.1	99.9	99.9	99.9	98.4	99.9	99.2	99.7	99.9	99.9	99.9	-76.5918	20.7273	113.269	-48.2635	7.61978	-108.435	
0.15	14.5	0	44.3	27.2	8.7	9.5	9.7	2.7	5.8	3.2	0	42.1	15.4	28.75	37.6	51.1	99.9	99.9	99.9	98.4	99.9	99.2	99.7	99.9	99.9	99.9	-76.5918	20.7273	113.269	-48.2635	7.61978	-108.435	
0.16	14.5	0	44.3	27.2	8.7	9.5	9.7	2.7	5.8	3.2	0	42.1	15.4	28.75	37.6	51.1	99.9	99.9	99.9	98.4	99.9	99.2	99.7	99.9	99.9	99.9	-76.5918	20.7273	113.269	-48.2635	7.61978	-108.435	
0.171	14.5	0	44.3	27.2	8.7	9.5	9.7	2.7	5.8	3.2	0	42.1	15.4	28.75	37.6	51.1	99.9	99.9	99.9	98.4	99.9	99.2	99.7	99.9	99.9	99.9	-76.5918	20.7273	113.269	-48.2635	7.61978	-108.435	
0.181	14.5	0	44.3	27.2	8.7	9.5	9.7	2.7	5.8	3.2	0	42.1	15.4	28.75	37.6	51.1	99.9	99.9	99.9	98.4	99.9	99.2	99.7	99.9	99.9	99.9	-76.5918	20.7273	113.269	-48.2635	7.61978	-108.435	
0.191	14.5	0	44.3	27.2	8.7	9.5	9.7	2.7	5.8	3.2	0	42.1	15.4	28.75	37.6	51.1	99.9	99.9	99.9	98.4	99.9	99.2	99.7	99.9	99.9	99.9	-76.5918	20.7273	113.269	-48.2635	7.61978	-108.435	
0.201	14.5	0	44.3	27.2	8.7	9.5	9.7	2.7	5.8	3.2	0	42.1	15.4	28.75	37.6	51.1	99.9	99.9	99.9	98.4	99.9	99.2	99.7	99.9	99.9	99.9	-76.5918	20.7273	113.269	-48.2635	7.61978	-108.435	
0.211	14.5	0	44.3	27.2	8.7	9.5	9.7	2.7	5.8	3.2	0	42.1	15.4	28.75	37.6	51.1	99.9	99.9	99.9	98.4	99.9	99.2	99.7	99.9	99.9	99.9	-76.5918	20.7273	113.269	-48.2635	7.61978	-108.435	
0.221	14.5	0	44.3	27.2	8.7	9.5	9.7	2.7	5.8	3.2	0	42.1	15.4	28.75	37.6	51.1	99.9	99.9	99.9	98.4	99.9	99.2	99.7	99.9	99.9	99.9	-76.5918	20.7273	113.269	-48.2635	7.61978	-108.435	
0.231	14.5	0	44.3	27.2	8.7	9.5	9.7	2.7	5.8	3.2	0	42.1	15.4	28.75	37.6	51.1	99.9	99.9	99.9	98.4	99.9	99.2	99.7	99.9	99.9	99.9	-76.5918	20.7273	113.269	-48.2635	7.61978	-108.435	
