Hora de inicio de la toma de datos: 10:13:18
AT(s)	F1.1	F1.2	F2.1	F2.2	F3.1	F3.2	F4.1	F4.2	F5.1	F5.2	ABD1	ABD2	ABD3	ABD4	PA	TCO	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	HRoll	HPitch	HYaw	WRoll	WPitch	WYaw	
0.01	4.2	0	89.5	2	7.3	9	4.3	0	3.3	4	17.9	5.4	29.3	17.35	29.8	29.9	100	99.9	39.2	63.5	99.8	98	99.8	99.9	99.9	99.9	-31.2564	5.14807	-103.605	-12.1997	4.25104	-159.709	
0.02	4.2	0	89.5	2	7.3	9	4.3	0	3.3	4	17.9	5.4	29.3	17.35	29.8	29.9	100	99.9	39.2	63.5	99.8	98	99.8	99.9	99.9	99.9	-31.2564	5.14807	-103.605	-12.1997	4.25104	-159.709	
0.03	4.2	0	89.5	2	7.3	9	4.3	0	3.3	4	17.9	5.4	29.3	17.35	29.8	29.9	100	99.9	39.2	63.5	99.8	98	99.8	99.9	99.9	99.9	-31.2564	5.14807	-103.605	-12.1997	4.25104	-159.709	
0.04	4.2	0	89.5	2	7.3	9	4.3	0	3.3	4	17.9	5.4	29.3	17.35	29.8	29.9	100	99.9	39.2	63.5	99.8	98	99.8	99.9	99.9	99.9	-31.2564	5.14807	-103.605	-12.1997	4.25104	-159.709	
0.05	4.2	0	89.5	2	7.3	9	4.3	0	3.3	4	17.9	5.4	29.3	17.35	29.8	29.9	100	99.9	39.2	63.5	99.8	98	99.8	99.9	99.9	99.9	-31.2564	5.14807	-103.605	-12.1997	4.25104	-159.709	
0.06	4.2	0	89.5	2	7.3	9	4.3	0	3.3	4	17.9	5.4	29.3	17.35	29.8	29.9	100	99.9	39.2	63.5	99.8	98	99.8	99.9	99.9	99.9	-31.2564	5.14807	-103.605	-12.1997	4.25104	-159.709	
0.07	4.2	0	89.5	2	7.3	9	4.3	0	3.3	4	17.9	5.4	29.3	17.35	29.8	29.9	100	99.9	39.2	63.5	99.8	98	99.8	99.9	99.9	99.9	-31.2564	5.14807	-103.605	-12.1997	4.25104	-159.709	
0.08	4.2	0	89.7	2.1	7.2	8.9	4.2	0	3.4	4.1	17.8	5.9	29	17.45	29.7	29.7	99.9	99.9	38.4	59.3	99.9	99.1	99.9	99.9	99.7	99.4	-31.1938	4.99075	-103.597	-12.3117	4.25043	-159.66	
0.09	4.2	0	89.7	2.1	7.2	8.9	4.2	0	3.4	4.1	17.8	5.9	29	17.45	29.7	29.7	99.9	99.9	38.4	59.3	99.9	99.1	99.9	99.9	99.7	99.4	-31.1938	4.99075	-103.597	-12.3117	4.25043	-159.66	
0.1	4.2	0	89.7	2.1	7.2	8.9	4.2	0	3.4	4.1	17.8	5.9	29	17.45	29.7	29.7	99.9	99.9	38.4	59.3	99.9	99.1	99.9	99.9	99.7	99.4	-31.1938	4.99075	-103.597	-12.3117	4.25043	-159.66	
