Hora de inicio de la toma de datos: 10:25:32
AT(s)	F1.1	F1.2	F2.1	F2.2	F3.1	F3.2	F4.1	F4.2	F5.1	F5.2	ABD1	ABD2	ABD3	ABD4	PA	TCO	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	HRoll	HPitch	HYaw	WRoll	WPitch	WYaw	
0.01	39.3	0	42.8	40.1	18.4	26.1	11.5	25.7	4.8	70.8	0	0	0	0	27.5	50	11.5	99.9	99.9	26.5	99.9	99.7	99.8	99.4	99.4	99.4	-16.9722	0.768815	-3.15597	1.86623	37.0104	141.285	
0.02	37.3	0	42.2	38.7	17.8	25.3	11.2	25.5	4.7	68	0	0	0	0	28	48.9	12.4	99.9	99.9	28.7	99.9	99.2	99.4	99.4	99.8	99.9	-17.0901	2.1323	-2.92563	3.55515	37.7756	143.181	
0.03	37.3	0	42.2	38.7	17.8	25.3	11.2	25.5	4.7	68	0	0	0	0	28	48.9	12.4	99.9	99.9	28.7	99.9	99.2	99.4	99.4	99.8	99.9	-17.0901	2.1323	-2.92563	3.55515	37.7756	143.181	
0.04	37.3	0	42.2	38.7	17.8	25.3	11.2	25.5	4.7	68	0	0	0	0	28	48.9	12.4	99.9	99.9	28.7	99.9	99.2	99.4	99.4	99.8	99.9	-17.0901	2.1323	-2.92563	3.55515	37.7756	143.181	
0.05	37.3	0	42.2	38.7	17.8	25.3	11.2	25.5	4.7	68	0	0	0	0	28	48.9	12.4	99.9	99.9	28.7	99.9	99.2	99.4	99.4	99.8	99.9	-17.0901	2.1323	-2.92563	3.55515	37.7756	143.181	
0.06	37.3	0	42.2	38.7	17.8	25.3	11.2	25.5	4.7	68	0	0	0	0	28	48.9	12.4	99.9	99.9	28.7	99.9	99.2	99.4	99.4	99.8	99.9	-17.0901	2.1323	-2.92563	3.55515	37.7756	143.181	
0.07	37.3	0	42.2	38.7	17.8	25.3	11.2	25.5	4.7	68	0	0	0	0	28	48.9	12.4	99.9	99.9	28.7	99.9	99.2	99.4	99.4	99.8	99.9	-17.0901	2.1323	-2.92563	3.55515	37.7756	143.181	
0.08	37.3	0	42.2	38.7	17.8	25.3	11.2	25.5	4.7	68	0	0	0	0	28	48.9	12.4	99.9	99.9	28.7	99.9	99.2	99.4	99.4	99.8	99.9	-17.0901	2.1323	-2.92563	3.55515	37.7756	143.181	
0.09	37.3	0	42.2	38.7	17.8	25.3	11.2	25.5	4.7	68	0	0	0	0	28	48.9	12.4	99.9	99.9	28.7	99.9	99.2	99.4	99.4	99.8	99.9	-17.0901	2.1323	-2.92563	3.55515	37.7756	143.181	
0.1	37.3	0	42.2	38.7	17.8	25.3	11.2	25.5	4.7	68	0	0	0	0	28	48.9	12.4	99.9	99.9	28.7	99.9	99.2	99.4	99.4	99.8	99.9	-17.0901	2.1323	-2.92563	3.55515	37.7756	143.181	
0.11	37.3	0	42.2	38.7	17.8	25.3	11.2	25.5	4.7	68	0	0	0	0	28	48.9	12.4	99.9	99.9	28.7	99.9	99.2	99.4	99.4	99.8	99.9	-17.0901	2.1323	-2.92563	3.55515	37.7756	143.181	
0.12	37.3	0	42.2	38.7	17.8	25.3	11.2	25.5	4.7	68	0	0	0	0	28	48.9	12.4	99.9	99.9	28.7	99.9	99.2	99.4	99.4	99.8	99.9	-17.0901	2.1323	-2.92563	3.55515	37.7756	143.181	
0.13	37.3	0	42.2	38.7	17.8	25.3	11.2	25.5	4.7	68	0	0	0	0	28	48.9	12.4	99.9	99.9	28.7	99.9	99.2	99.4	99.4	99.8	99.9	-17.0901	2.1323	-2.92563	3.55515	37.7756	143.181	
0.14	37.3	0	42.2	38.7	17.8	25.3	11.2	25.5	4.7	68	0	0	0	0	28	48.9	12.4	99.9	99.9	28.7	99.9	99.2	99.4	99.4	99.8	99.9	-17.0901	2.1323	-2.92563	3.55515	37.7756	143.181	
0.15	37.3	0	42.2	38.7	17.8	25.3	11.2	25.5	4.7	68	0	0	0	0	28	48.9	12.4	99.9	99.9	28.7	99.9	99.2	99.4	99.4	99.8	99.9	-17.0901	2.1323	-2.92563	3.55515	37.7756	143.181	
0.16	37.3	0	42.2	38.7	17.8	25.3	11.2	25.5	4.7	68	0	0	0	0	28	48.9	12.4	99.9	99.9	28.7	99.9	99.2	99.4	99.4	99.8	99.9	-17.0901	2.1323	-2.92563	3.55515	37.7756	143.181	
0.171	37.3	0	42.2	38.7	17.8	25.3	11.2	25.5	4.7	68	0	0	0	0	28	48.9	12.4	99.9	99.9	28.7	99.9	99.2	99.4	99.4	99.8	99.9	-17.0901	2.1323	-2.92563	3.55515	37.7756	143.181	
0.181	37.3	0	42.2	38.7	17.8	25.3	11.2	25.5	4.7	68	0	0	0	0	28	48.9	12.4	99.9	99.9	28.7	99.9	99.2	99.4	99.4	99.8	99.9	-17.0901	2.1323	-2.92563	3.55515	37.7756	143.181	
0.191	37.3	0	42.2	38.7	17.8	25.3	11.2	25.5	4.7	68	0	0	0	0	28	48.9	12.4	99.9	99.9	28.7	99.9	99.2	99.4	99.4	99.8	99.9	-17.0901	2.1323	-2.92563	3.55515	37.7756	143.181	
0.201	37.3	0	42.2	38.7	17.8	25.3	11.2	25.5	4.7	68	0	0	0	0	28	48.9	12.4	99.9	99.9	28.7	99.9	99.2	99.4	99.4	99.8	99.9	-17.0901	2.1323	-2.92563	3.55515	37.7756	143.181	
