Hora de inicio de la toma de datos: 10:17:28
AT(s)	F1.1	F1.2	F2.1	F2.2	F3.1	F3.2	F4.1	F4.2	F5.1	F5.2	ABD1	ABD2	ABD3	ABD4	PA	TCO	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	HRoll	HPitch	HYaw	WRoll	WPitch	WYaw	
0.01	0	0	2.4	2.6	2.6	0	1.5	0	0	2.5	0	20.1	15.4	17.75	26	25.6	100	97.1	99.9	86.3	99.9	97.1	99.9	99.8	99.5	99.4	-21.081	-7.25108	91.0616	-4.08278	5.70934	-37.0035	
0.02	0	0	2.4	2.6	2.6	0	1.5	0	0	2.5	0	20.1	15.4	17.75	26	25.6	100	97.1	99.9	86.3	99.9	97.1	99.9	99.8	99.5	99.4	-21.081	-7.25108	91.0616	-4.08278	5.70934	-37.0035	
0.03	0	0	2.4	2.6	2.6	0	1.5	0	0	2.5	0	20.1	15.4	17.75	26	25.6	100	97.1	99.9	86.3	99.9	97.1	99.9	99.8	99.5	99.4	-21.081	-7.25108	91.0616	-4.08278	5.70934	-37.0035	
0.04	0	0	2.4	2.6	2.6	0	1.5	0	0	2.5	0	20.1	15.4	17.75	26	25.6	100	97.1	99.9	86.3	99.9	97.1	99.9	99.8	99.5	99.4	-21.081	-7.25108	91.0616	-4.08278	5.70934	-37.0035	
0.05	0	0	2.4	2.6	2.6	0	1.5	0	0	2.5	0	20.1	15.4	17.75	26	25.6	100	97.1	99.9	86.3	99.9	97.1	99.9	99.8	99.5	99.4	-21.081	-7.25108	91.0616	-4.08278	5.70934	-37.0035	
0.06	0	0	2.4	2.6	2.6	0	1.5	0	0	2.5	0	20.1	15.4	17.75	26	25.6	100	97.1	99.9	86.3	99.9	97.1	99.9	99.8	99.5	99.4	-21.081	-7.25108	91.0616	-4.08278	5.70934	-37.0035	
0.07	0.2	0	2.4	2.6	2.6	0	1.5	0	0	2.4	0	19.8	15.3	17.55	25.9	25.5	100	97.7	99.9	87.7	99.9	96	99.4	99.9	99.9	99.9	-20.7864	-7.36991	91.0277	-4.10813	5.80206	-37.0282	
0.08	0.2	0	2.4	2.6	2.6	0	1.5	0	0	2.4	0	19.8	15.3	17.55	25.9	25.5	100	97.7	99.9	87.7	99.9	96	99.4	99.9	99.9	99.9	-20.7864	-7.36991	91.0277	-4.10813	5.80206	-37.0282	
0.09	0.2	0	2.4	2.6	2.6	0	1.5	0	0	2.4	0	19.8	15.3	17.55	25.9	25.5	100	97.7	99.9	87.7	99.9	96	99.4	99.9	99.9	99.9	-20.7864	-7.36991	91.0277	-4.10813	5.80206	-37.0282	
0.1	0.2	0	2.4	2.6	2.6	0	1.5	0	0	2.4	0	19.8	15.3	17.55	25.9	25.5	100	97.7	99.9	87.7	99.9	96	99.4	99.9	99.9	99.9	-20.7864	-7.36991	91.0277	-4.10813	5.80206	-37.0282	
0.11	0.2	0	2.4	2.6	2.6	0	1.5	0	0	2.4	0	19.8	15.3	17.55	25.9	25.5	100	97.7	99.9	87.7	99.9	96	99.4	99.9	99.9	99.9	-20.7864	-7.36991	91.0277	-4.10813	5.80206	-37.0282	
0.12	0.2	0	2.4	2.6	2.6	0	1.5	0	0	2.4	0	19.8	15.3	17.55	25.9	25.5	100	97.7	99.9	87.7	99.9	96	99.4	99.9	99.9	99.9	-20.7864	-7.36991	91.0277	-4.10813	5.80206	-37.0282	
0.13	0.2	0	2.4	2.6	2.6	0	1.5	0	0	2.4	0	19.8	15.3	17.55	25.9	25.5	100	97.7	99.9	87.7	99.9	96	99.4	99.9	99.9	99.9	-20.7864	-7.36991	91.0277	-4.10813	5.80206	-37.0282	
0.14	0.2	0	2.4	2.6	2.6	0	1.5	0	0	2.4	0	19.8	15.3	17.55	25.9	25.5	100	97.7	99.9	87.7	99.9	96	99.4	99.9	99.9	99.9	-20.7864	-7.36991	91.0277	-4.10813	5.80206	-37.0282	
0.15	0.2	0	2.4	2.6	2.6	0	1.5	0	0	2.4	0	19.8	15.3	17.55	25.9	25.5	100	97.7	99.9	87.7	99.9	96	99.4	99.9	99.9	99.9	-20.7864	-7.36991	91.0277	-4.10813	5.80206	-37.0282	
0.16	0.2	0	2.4	2.6	2.6	0	1.5	0	0	2.4	0	19.8	15.3	17.55	25.9	25.5	100	97.7	99.9	87.7	99.9	96	99.4	99.9	99.9	99.9	-20.7864	-7.36991	91.0277	-4.10813	5.80206	-37.0282	
0.171	0.2	0	2.4	2.6	2.6	0	1.5	0	0	2.4	0	19.8	15.3	17.55	25.9	25.5	100	97.7	99.9	87.7	99.9	96	99.4	99.9	99.9	99.9	-20.7864	-7.36991	91.0277	-4.10813	5.80206	-37.0282	
0.181	0.2	0	2.4	2.6	2.6	0	1.5	0	0	2.4	0	19.8	15.3	17.55	25.9	25.5	100	97.7	99.9	87.7	99.9	96	99.4	99.9	99.9	99.9	-20.7864	-7.36991	91.0277	-4.10813	5.80206	-37.0282	
0.191	0.2	0	2.4	2.6	2.6	0	1.5	0	0	2.4	0	19.8	15.3	17.55	25.9	25.5	100	97.7	99.9	87.7	99.9	96	99.4	99.9	99.9	99.9	-20.7864	-7.36991	91.0277	-4.10813	5.80206	-37.0282	
0.201	0.2	0	2.4	2.6	2.6	0	1.5	0	0	2.4	0	19.8	15.3	17.55	25.9	25.5	100	97.7	99.9	87.7	99.9	96	99.4	99.9	99.9	99.9	-20.7864	-7.36991	91.0277	-4.10813	5.80206	-37.0282	
0.211	0.2	0	2.4	2.6	2.6	0	1.5	0	0	2.4	0	19.8	15.3	17.55	25.9	25.5	100	97.7	99.9	87.7	99.9	96	99.4	99.9	99.9	99.9	-20.7864	-7.36991	91.0277	-4.10813	5.80206	-37.0282	
0.221	0.2	0	2.4	2.6	2.6	0	1.5	0	0	2.4	0	19.8	15.3	17.55	25.9	25.5	100	97.7	99.9	87.7	99.9	96	99.4	99.9	99.9	99.9	-20.7864	-7.36991	91.0277	-4.10813	5.80206	-37.0282	
0.231	0.2	0	2.4	2.6	2.6	0	1.5	0	0	2.4	0	19.8	15.3	17.55	25.9	25.5	100	97.7	99.9	87.7	99.9	96	99.4	99.9	99.9	99.9	-20.7864	-7.36991	91.0277	-4.10813	5.80206	-37.0282	
0.241	0.2	0	2.4	2.6	2.6	0	1.5	0	0	2.4	0	19.8	15.3	17.55	25.9	25.5	100	97.7	99.9	87.7	99.9	96	99.4	99.9	99.9	99.9	-20.7864	-7.36991	91.0277	-4.10813	5.80206	-37.0282	
0.251	0.2	0	2.4	2.6	2.6	0	1.5	0	0	2.4	0	19.8	15.3	17.55	25.9	25.5	100	97.7	99.9	87.7	99.9	96	99.4	99.9	99.9	99.9	-20.7864	-7.36991	91.0277	-4.10813	5.80206	-37.0282	
0.261	0.2	0	2.4	2.6	2.6	0	1.5	0	0	2.4	0	19.8	15.3	17.55	25.9	25.5	100	97.7	99.9	87.7	99.9	96	99.4	99.9	99.9	99.9	-20.7864	-7.36991	91.0277	-4.10813	5.80206	-37.0282	
0.271	0.2	0	2.4	2.6	2.6	0	1.5	0	0	2.4	0	19.8	15.3	17.55	25.9	25.5	100	97.7	99.9	87.7	99.9	96	99.4	99.9	99.9	99.9	-20.7864	-7.36991	91.0277	-4.10813	5.80206	-37.0282	
0.281	0.2	0	2.4	2.6	2.6	0	1.5	0	0	2.4	0	19.8	15.3	17.55	25.9	25.5	100	97.7	99.9	87.7	99.9	96	99.4	99.9	99.9	99.9	-20.7864	-7.36991	91.0277	-4.10813	5.80206	-37.0282	
0.29	0.2	0	2.4	2.6	2.6	0	1.5	0	0	2.4	0	19.8	15.3	17.55	25.9	25.5	100	97.7	99.9	87.7	99.9	96	99.4	99.9	99.9	99.9	-20.7864	-7.36991	91.0277	-4.10813	5.80206	-37.0282	
0.3	0.2	0	2.4	2.6	2.6	0	1.5	0	0	2.4	0	19.8	15.3	17.55	25.9	25.5	100	97.7	99.9	87.7	99.9	96	99.4	99.9	99.9	99.9	-20.7864	-7.36991	91.0277	-4.10813	5.80206	-37.0282	
0.31	0.2	0	2.4	2.6	2.6	0	1.5	0	0	2.4	0	19.8	15.3	17.55	25.9	25.5	100	97.7	99.9	87.7	99.9	96	99.4	99.9	99.9	99.9	-20.7864	-7.36991	91.0277	-4.10813	5.80206	-37.0282	
0.32	0.2	0	2.4	2.6	2.6	0	1.5	0	0	2.4	0	19.8	15.3	17.55	25.9	25.5	100	97.7	99.9	87.7	99.9	96	99.4	99.9	99.9	99.9	-20.7864	-7.36991	91.0277	-4.10813	5.80206	-37.0282	
0.33	0.2	0	2.4	2.6	2.6	0	1.5	0	0	2.4	0	19.8	15.3	17.55	25.9	25.5	100	97.7	99.9	87.7	99.9	96	99.4	99.9	99.9	99.9	-20.7864	-7.36991	91.0277	-4.10813	5.80206	-37.0282	
0.34	0.2	0	2.4	2.6	2.6	0	1.5	0	0	2.4	0	19.8	15.3	17.55	25.9	25.5	100	97.7	99.9	87.7	99.9	96	99.4	99.9	99.9	99.9	-20.7864	-7.36991	91.0277	-4.10813	5.80206	-37.0282	
0.35	0.2	0	2.4	2.6	2.6	0	1.5	0	0	2.4	0	19.8	15.3	17.55	25.9	25.5	100	97.7	99.9	87.7	99.9	96	99.4	99.9	99.9	99.9	-20.7864	-7.36991	91.0277	-4.10813	5.80206	-37.0282	
0.36	0.2	0	2.4	2.6	2.6	0	1.5	0	0	2.4	0	19.8	15.3	17.55	25.9	25.5	100	97.7	99.9	87.7	99.9	96	99.4	99.9	99.9	99.9	-20.7864	-7.36991	91.0277	-4.10813	5.80206	-37.0282	
0.37	0.2	0	2.4	2.6	2.6	0	1.5	0	0	2.4	0	19.8	15.3	17.55	25.9	25.5	100	97.7	99.9	87.7	99.9	96	99.4	99.9	99.9	99.9	-20.7864	-7.36991	91.0277	-4.10813	5.80206	-37.0282	
0.38	0.2	0	2.4	2.6	2.6	0	1.5	0	0	2.4	0	19.8	15.3	17.55	25.9	25.5	100	97.7	99.9	87.7	99.9	96	99.4	99.9	99.9	99.9	-20.7864	-7.36991	91.0277	-4.10813	5.80206	-37.0282	
0.39	0.2	0	2.4	2.6	2.6	0	1.5	0	0	2.4	0	19.8	15.3	17.55	25.9	25.5	100	97.7	99.9	87.7	99.9	96	99.4	99.9	99.9	99.9	-20.7864	-7.36991	91.0277	-4.10813	5.80206	-37.0282	
0.4	0.2	0	2.4	2.6	2.6	0	1.5	0	0	2.4	0	19.8	15.3	17.55	25.9	25.5	100	97.7	99.9	87.7	99.9	96	99.4	99.9	99.9	99.9	-20.7864	-7.36991	91.0277	-4.10813	5.80206	-37.0282	
0.41	0.2	0	2.4	2.6	2.6	0	1.5	0	0	2.4	0	19.8	15.3	17.55	25.9	25.5	100	97.7	99.9	87.7	99.9	96	99.4	99.9	99.9	99.9	-20.7864	-7.36991	91.0277	-4.10813	5.80206	-37.0282	
0.42	0.2	0	2.4	2.6	2.6	0	1.5	0	0	2.4	0	19.8	15.3	17.55	25.9	25.5	100	97.7	99.9	87.7	99.9	96	99.4	99.9	99.9	99.9	-20.7864	-7.36991	91.0277	-4.10813	5.80206	-37.0282	
0.43	0.2	0	2.4	2.6	2.6	0	1.5	0	0	2.4	0	19.8	15.3	17.55	25.9	25.5	100	97.7	99.9	87.7	99.9	96	99.4	99.9	99.9	99.9	-20.7864	-7.36991	91.0277	-4.10813	5.80206	-37.0282	
0.44	0.1	0	2.4	2.6	2.7	0	1.6	0	0	2.4	0	20	15.2	17.6	25.9	25.4	100	97.8	99.9	86.3	99.9	96.2	99.4	99.6	99.9	99.9	-21.2836	-7.36684	91.0786	-4.40518	5.77814	-37.0642	
0.45	0.1	0	2.4	2.6	2.7	0	1.6	0	0	2.4	0	20	15.2	17.6	25.9	25.4	100	97.8	99.9	86.3	99.9	96.2	99.4	99.6	99.9	99.9	-21.2836	-7.36684	91.0786	-4.40518	5.77814	-37.0642	
0.46	0.1	0	2.4	2.6	2.7	0	1.6	0	0	2.4	0	20	15.2	17.6	25.9	25.4	100	97.8	99.9	86.3	99.9	96.2	99.4	99.6	99.9	99.9	-21.2836	-7.36684	91.0786	-4.40518	5.77814	-37.0642	
0.47	0.1	0	2.4	2.6	2.7	0	1.6	0	0	2.4	0	20	15.2	17.6	25.9	25.4	100	97.8	99.9	86.3	99.9	96.2	99.4	99.6	99.9	99.9	-21.2836	-7.36684	91.0786	-4.40518	5.77814	-37.0642	
