Hora de inicio de la toma de datos: 10:17:20
AT(s)	F1.1	F1.2	F2.1	F2.2	F3.1	F3.2	F4.1	F4.2	F5.1	F5.2	ABD1	ABD2	ABD3	ABD4	PA	TCO	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	HRoll	HPitch	HYaw	WRoll	WPitch	WYaw	
0.01	2.3	0	0	2.7	1.1	0	0.7	0	0	4.1	30.3	48.9	28.9	38.9	45.8	25	100	99.9	99.9	96.1	99.9	96.2	99.9	99.9	84.8	99.7	-19.7847	-12.1615	96.7278	-6.06605	6.23696	-25.6981	
0.02	2.3	0	0	2.7	1.1	0	0.7	0	0	4.1	30.3	48.9	28.9	38.9	45.8	25	100	99.9	99.9	96.1	99.9	96.2	99.9	99.9	84.8	99.7	-19.7847	-12.1615	96.7278	-6.06605	6.23696	-25.6981	
0.03	2.3	0	0	2.7	1.1	0	0.7	0	0	4.1	30.3	48.9	28.9	38.9	45.8	25	100	99.9	99.9	96.1	99.9	96.2	99.9	99.9	84.8	99.7	-19.7847	-12.1615	96.7278	-6.06605	6.23696	-25.6981	
0.04	2.3	0	0	2.7	1.1	0	0.7	0	0	4.1	30.3	48.9	28.9	38.9	45.8	25	100	99.9	99.9	96.1	99.9	96.2	99.9	99.9	84.8	99.7	-19.7847	-12.1615	96.7278	-6.06605	6.23696	-25.6981	
0.05	2.3	0	0	2.7	1.1	0	0.7	0	0	4.1	30.3	48.9	28.9	38.9	45.8	25	100	99.9	99.9	96.1	99.9	96.2	99.9	99.9	84.8	99.7	-19.7847	-12.1615	96.7278	-6.06605	6.23696	-25.6981	
0.06	2.3	0	0	2.7	1.1	0	0.7	0	0	4.1	30.3	48.9	28.9	38.9	45.8	25	100	99.9	99.9	96.1	99.9	96.2	99.9	99.9	84.8	99.7	-19.7847	-12.1615	96.7278	-6.06605	6.23696	-25.6981	
0.07	2.3	0	0	2.7	1.1	0	0.7	0	0	4.1	30.3	48.9	28.9	38.9	45.8	25	100	99.9	99.9	96.1	99.9	96.2	99.9	99.9	84.8	99.7	-19.7847	-12.1615	96.7278	-6.06605	6.23696	-25.6981	
0.08	2.3	0	0	2.7	1.1	0	0.7	0	0	4.1	30.3	48.9	28.9	38.9	45.8	25	100	99.9	99.9	96.1	99.9	96.2	99.9	99.9	84.8	99.7	-19.7847	-12.1615	96.7278	-6.06605	6.23696	-25.6981	
0.09	2.3	0	0	2.7	1.1	0	0.7	0	0	4.1	30.3	48.9	28.9	38.9	45.8	25	100	99.9	99.9	96.1	99.9	96.2	99.9	99.9	84.8	99.7	-19.7847	-12.1615	96.7278	-6.06605	6.23696	-25.6981	
0.1	2.3	0	0	2.7	1.1	0	0.7	0	0	4.1	30.3	48.9	28.9	38.9	45.8	25	100	99.9	99.9	96.1	99.9	96.2	99.9	99.9	84.8	99.7	-19.7847	-12.1615	96.7278	-6.06605	6.23696	-25.6981	
0.11	2.3	0	0	2.7	1.1	0	0.7	0	0	4.1	30.3	48.9	28.9	38.9	45.8	25	100	99.9	99.9	96.1	99.9	96.2	99.9	99.9	84.8	99.7	-19.7847	-12.1615	96.7278	-6.06605	6.23696	-25.6981	
0.12	2.3	0	0	2.7	1.1	0	0.7	0	0	4.1	30.3	48.9	28.9	38.9	45.8	25	100	99.9	99.9	96.1	99.9	96.2	99.9	99.9	84.8	99.7	-19.7847	-12.1615	96.7278	-6.06605	6.23696	-25.6981	
0.13	2.3	0	0	2.7	1.1	0	0.7	0	0	4.1	30.3	48.9	28.9	38.9	45.8	25	100	99.9	99.9	96.1	99.9	96.2	99.9	99.9	84.8	99.7	-19.7847	-12.1615	96.7278	-6.06605	6.23696	-25.6981	
0.14	2.5	0	0	2.7	1.2	0	0.7	0	0	4.1	29.6	48.5	28.8	38.65	45.6	25	99.9	99.9	99.9	96	99.9	95.5	99.8	99.9	87.7	99.8	-19.9672	-12.1239	96.7579	-5.30762	5.86245	-25.8151	
0.15	2.5	0	0	2.7	1.2	0	0.7	0	0	4.1	29.6	48.5	28.8	38.65	45.6	25	99.9	99.9	99.9	96	99.9	95.5	99.8	99.9	87.7	99.8	-19.9672	-12.1239	96.7579	-5.30762	5.86245	-25.8151	
0.16	2.5	0	0	2.7	1.2	0	0.7	0	0	4.1	29.6	48.5	28.8	38.65	45.6	25	99.9	99.9	99.9	96	99.9	95.5	99.8	99.9	87.7	99.8	-19.9672	-12.1239	96.7579	-5.30762	5.86245	-25.8151	
0.171	2.5	0	0	2.7	1.2	0	0.7	0	0	4.1	29.6	48.5	28.8	38.65	45.6	25	99.9	99.9	99.9	96	99.9	95.5	99.8	99.9	87.7	99.8	-19.9672	-12.1239	96.7579	-5.30762	5.86245	-25.8151	
0.181	2.5	0	0	2.7	1.2	0	0.7	0	0	4.1	29.6	48.5	28.8	38.65	45.6	25	99.9	99.9	99.9	96	99.9	95.5	99.8	99.9	87.7	99.8	-19.9672	-12.1239	96.7579	-5.30762	5.86245	-25.8151	
0.191	2.5	0	0	2.7	1.2	0	0.7	0	0	4.1	29.6	48.5	28.8	38.65	45.6	25	99.9	99.9	99.9	96	99.9	95.5	99.8	99.9	87.7	99.8	-19.9672	-12.1239	96.7579	-5.30762	5.86245	-25.8151	
0.201	2.5	0	0	2.7	1.2	0	0.7	0	0	4.1	29.6	48.5	28.8	38.65	45.6	25	99.9	99.9	99.9	96	99.9	95.5	99.8	99.9	87.7	99.8	-19.9672	-12.1239	96.7579	-5.30762	5.86245	-25.8151	
0.211	2.5	0	0	2.7	1.2	0	0.7	0	0	4.1	29.6	48.5	28.8	38.65	45.6	25	99.9	99.9	99.9	96	99.9	95.5	99.8	99.9	87.7	99.8	-19.9672	-12.1239	96.7579	-5.30762	5.86245	-25.8151	
0.221	2.5	0	0	2.7	1.2	0	0.7	0	0	4.1	29.6	48.5	28.8	38.65	45.6	25	99.9	99.9	99.9	96	99.9	95.5	99.8	99.9	87.7	99.8	-19.9672	-12.1239	96.7579	-5.30762	5.86245	-25.8151	
0.231	2.5	0	0	2.7	1.2	0	0.7	0	0	4.1	29.6	48.5	28.8	38.65	45.6	25	99.9	99.9	99.9	96	99.9	95.5	99.8	99.9	87.7	99.8	-19.9672	-12.1239	96.7579	-5.30762	5.86245	-25.8151	
0.241	2.5	0	0	2.7	1.2	0	0.7	0	0	4.1	29.6	48.5	28.8	38.65	45.6	25	99.9	99.9	99.9	96	99.9	95.5	99.8	99.9	87.7	99.8	-19.9672	-12.1239	96.7579	-5.30762	5.86245	-25.8151	
0.251	2.5	0	0	2.7	1.2	0	0.7	0	0	4.1	29.6	48.5	28.8	38.65	45.6	25	99.9	99.9	99.9	96	99.9	95.5	99.8	99.9	87.7	99.8	-19.9672	-12.1239	96.7579	-5.30762	5.86245	-25.8151	
0.261	2.5	0	0	2.7	1.2	0	0.7	0	0	4.1	29.6	48.5	28.8	38.65	45.6	25	99.9	99.9	99.9	96	99.9	95.5	99.8	99.9	87.7	99.8	-19.9672	-12.1239	96.7579	-5.30762	5.86245	-25.8151	
0.271	2.5	0	0	2.7	1.2	0	0.7	0	0	4.1	29.6	48.5	28.8	38.65	45.6	25	99.9	99.9	99.9	96	99.9	95.5	99.8	99.9	87.7	99.8	-19.9672	-12.1239	96.7579	-5.30762	5.86245	-25.8151	
0.281	2.5	0	0	2.7	1.2	0	0.7	0	0	4.1	29.6	48.5	28.8	38.65	45.6	25	99.9	99.9	99.9	96	99.9	95.5	99.8	99.9	87.7	99.8	-19.9672	-12.1239	96.7579	-5.30762	5.86245	-25.8151	
0.29	2.5	0	0	2.7	1.2	0	0.7	0	0	4.1	29.6	48.5	28.8	38.65	45.6	25	99.9	99.9	99.9	96	99.9	95.5	99.8	99.9	87.7	99.8	-19.9672	-12.1239	96.7579	-5.30762	5.86245	-25.8151	
0.3	2.5	0	0	2.7	1.2	0	0.7	0	0	4.1	29.6	48.5	28.8	38.65	45.6	25	99.9	99.9	99.9	96	99.9	95.5	99.8	99.9	87.7	99.8	-19.9672	-12.1239	96.7579	-5.30762	5.86245	-25.8151	
0.31	2.5	0	0	2.7	1.2	0	0.7	0	0	4.1	29.6	48.5	28.8	38.65	45.6	25	99.9	99.9	99.9	96	99.9	95.5	99.8	99.9	87.7	99.8	-19.9672	-12.1239	96.7579	-5.30762	5.86245	-25.8151	
