Hora de inicio de la toma de datos: 10:14:52
AT(s)	F1.1	F1.2	F2.1	F2.2	F3.1	F3.2	F4.1	F4.2	F5.1	F5.2	ABD1	ABD2	ABD3	ABD4	PA	TCO	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	HRoll	HPitch	HYaw	WRoll	WPitch	WYaw	
0.01	2.8	2.6	21	77.2	59.3	86.5	8.9	76.5	4.9	59.3	0	52.5	27.3	39.9	45.4	28.6	99.9	99.9	99.9	99.9	99.9	98.8	99.4	95.7	99.6	82.5	-20.2635	27.3848	5.72928	-0.0712299	8.19129	-162.063	
0.02	2.8	2.6	21	77.2	59.3	86.5	8.9	76.5	4.9	59.3	0	52.5	27.3	39.9	45.4	28.6	99.9	99.9	99.9	99.9	99.9	98.8	99.4	95.7	99.6	82.5	-20.2635	27.3848	5.72928	-0.0712299	8.19129	-162.063	
0.03	2.8	2.6	21	77.2	59.3	86.5	8.9	76.5	4.9	59.3	0	52.5	27.3	39.9	45.4	28.6	99.9	99.9	99.9	99.9	99.9	98.8	99.4	95.7	99.6	82.5	-20.2635	27.3848	5.72928	-0.0712299	8.19129	-162.063	
0.04	2.8	2.6	21	77.2	59.3	86.5	8.9	76.5	4.9	59.3	0	52.5	27.3	39.9	45.4	28.6	99.9	99.9	99.9	99.9	99.9	98.8	99.4	95.7	99.6	82.5	-20.2635	27.3848	5.72928	-0.0712299	8.19129	-162.063	
0.05	2.8	2.6	21	77.2	59.3	86.5	8.9	76.5	4.9	59.3	0	52.5	27.3	39.9	45.4	28.6	99.9	99.9	99.9	99.9	99.9	98.8	99.4	95.7	99.6	82.5	-20.2635	27.3848	5.72928	-0.0712299	8.19129	-162.063	
0.06	2.8	2.6	21	77.2	59.3	86.5	8.9	76.5	4.9	59.3	0	52.5	27.3	39.9	45.4	28.6	99.9	99.9	99.9	99.9	99.9	98.8	99.4	95.7	99.6	82.5	-20.2635	27.3848	5.72928	-0.0712299	8.19129	-162.063	
0.07	2.8	2.6	21	77.2	59.3	86.5	8.9	76.5	4.9	59.3	0	52.5	27.3	39.9	45.4	28.6	99.9	99.9	99.9	99.9	99.9	98.8	99.4	95.7	99.6	82.5	-20.2635	27.3848	5.72928	-0.0712299	8.19129	-162.063	
0.08	2.8	2.6	21	77.2	59.3	86.5	8.9	76.5	4.9	59.3	0	52.5	27.3	39.9	45.4	28.6	99.9	99.9	99.9	99.9	99.9	98.8	99.4	95.7	99.6	82.5	-20.2635	27.3848	5.72928	-0.0712299	8.19129	-162.063	
0.09	2.8	2.6	21	77.2	59.3	86.5	8.9	76.5	4.9	59.3	0	52.5	27.3	39.9	45.4	28.6	99.9	99.9	99.9	99.9	99.9	98.8	99.4	95.7	99.6	82.5	-20.2635	27.3848	5.72928	-0.0712299	8.19129	-162.063	
0.1	2.8	2.6	21	77.2	59.3	86.5	8.9	76.5	4.9	59.3	0	52.5	27.3	39.9	45.4	28.6	99.9	99.9	99.9	99.9	99.9	98.8	99.4	95.7	99.6	82.5	-20.2635	27.3848	5.72928	-0.0712299	8.19129	-162.063	
0.11	2.8	2.6	21	77.2	59.3	86.5	8.9	76.5	4.9	59.3	0	52.5	27.3	39.9	45.4	28.6	99.9	99.9	99.9	99.9	99.9	98.8	99.4	95.7	99.6	82.5	-20.2635	27.3848	5.72928	-0.0712299	8.19129	-162.063	
0.12	2.8	2.6	21	77.2	59.3	86.5	8.9	76.5	4.9	59.3	0	52.5	27.3	39.9	45.4	28.6	99.9	99.9	99.9	99.9	99.9	98.8	99.4	95.7	99.6	82.5	-20.2635	27.3848	5.72928	-0.0712299	8.19129	-162.063	
0.13	2.8	2.6	21	77.2	59.3	86.5	8.9	76.5	4.9	59.3	0	52.5	27.3	39.9	45.4	28.6	99.9	99.9	99.9	99.9	99.9	98.8	99.4	95.7	99.6	82.5	-20.2635	27.3848	5.72928	-0.0712299	8.19129	-162.063	
0.14	2.8	2.6	21	77.2	59.3	86.5	8.9	76.5	4.9	59.3	0	52.5	27.3	39.9	45.4	28.6	99.9	99.9	99.9	99.9	99.9	98.8	99.4	95.7	99.6	82.5	-20.2635	27.3848	5.72928	-0.0712299	8.19129	-162.063	
0.15	2.8	2.6	21	77.2	59.3	86.5	8.9	76.5	4.9	59.3	0	52.5	27.3	39.9	45.4	28.6	99.9	99.9	99.9	99.9	99.9	98.8	99.4	95.7	99.6	82.5	-20.2635	27.3848	5.72928	-0.0712299	8.19129	-162.063	
0.16	2.8	2.6	21	77.2	59.3	86.5	8.9	76.5	4.9	59.3	0	52.5	27.3	39.9	45.4	28.6	99.9	99.9	99.9	99.9	99.9	98.8	99.4	95.7	99.6	82.5	-20.2635	27.3848	5.72928	-0.0712299	8.19129	-162.063	
0.171	2.8	2.6	21	77.2	59.3	86.5	8.9	76.5	4.9	59.3	0	52.5	27.3	39.9	45.4	28.6	99.9	99.9	99.9	99.9	99.9	98.8	99.4	95.7	99.6	82.5	-20.2635	27.3848	5.72928	-0.0712299	8.19129	-162.063	
0.181	2.8	2.6	21	77.2	59.3	86.5	8.9	76.5	4.9	59.3	0	52.5	27.3	39.9	45.4	28.6	99.9	99.9	99.9	99.9	99.9	98.8	99.4	95.7	99.6	82.5	-20.2635	27.3848	5.72928	-0.0712299	8.19129	-162.063	
0.191	2.8	2.6	21	77.2	59.3	86.5	8.9	76.5	4.9	59.3	0	52.5	27.3	39.9	45.4	28.6	99.9	99.9	99.9	99.9	99.9	98.8	99.4	95.7	99.6	82.5	-20.2635	27.3848	5.72928	-0.0712299	8.19129	-162.063	
0.201	2.8	2.6	21	77.2	59.3	86.5	8.9	76.5	4.9	59.3	0	52.5	27.3	39.9	45.4	28.6	99.9	99.9	99.9	99.9	99.9	98.8	99.4	95.7	99.6	82.5	-20.2635	27.3848	5.72928	-0.0712299	8.19129	-162.063	
0.211	2.8	2.6	21	77.2	59.3	86.5	8.9	76.5	4.9	59.3	0	52.5	27.3	39.9	45.4	28.6	99.9	99.9	99.9	99.9	99.9	98.8	99.4	95.7	99.6	82.5	-20.2635	27.3848	5.72928	-0.0712299	8.19129	-162.063	
0.221	2.8	2.6	21	77.2	59.3	86.5	8.9	76.5	4.9	59.3	0	52.5	27.3	39.9	45.4	28.6	99.9	99.9	99.9	99.9	99.9	98.8	99.4	95.7	99.6	82.5	-20.2635	27.3848	5.72928	-0.0712299	8.19129	-162.063	
0.231	2.8	2.6	21	77.2	59.3	86.5	8.9	76.5	4.9	59.3	0	52.5	27.3	39.9	45.4	28.6	99.9	99.9	99.9	99.9	99.9	98.8	99.4	95.7	99.6	82.5	-20.2635	27.3848	5.72928	-0.0712299	8.19129	-162.063	
0.241	2.8	2.6	21	77.2	59.3	86.5	8.9	76.5	4.9	59.3	0	52.5	27.3	39.9	45.4	28.6	99.9	99.9	99.9	99.9	99.9	98.8	99.4	95.7	99.6	82.5	-20.2635	27.3848	5.72928	-0.0712299	8.19129	-162.063	
0.251	2.8	2.6	21	77.2	59.3	86.5	8.9	76.5	4.9	59.3	0	52.5	27.3	39.9	45.4	28.6	99.9	99.9	99.9	99.9	99.9	98.8	99.4	95.7	99.6	82.5	-20.2635	27.3848	5.72928	-0.0712299	8.19129	-162.063	
0.261	2.8	2.6	21	77.2	59.3	86.5	8.9	76.5	4.9	59.3	0	52.5	27.3	39.9	45.4	28.6	99.9	99.9	99.9	99.9	99.9	98.8	99.4	95.7	99.6	82.5	-20.2635	27.3848	5.72928	-0.0712299	8.19129	-162.063	
0.271	2.8	2.6	21	77.2	59.3	86.5	8.9	76.5	4.9	59.3	0	52.5	27.3	39.9	45.4	28.6	99.9	99.9	99.9	99.9	99.9	98.8	99.4	95.7	99.6	82.5	-20.2635	27.3848	5.72928	-0.0712299	8.19129	-162.063	
0.281	2.8	2.6	21	77.2	59.3	86.5	8.9	76.5	4.9	59.3	0	52.5	27.3	39.9	45.4	28.6	99.9	99.9	99.9	99.9	99.9	98.8	99.4	95.7	99.6	82.5	-20.2635	27.3848	5.72928	-0.0712299	8.19129	-162.063	
0.29	2.8	2.6	21	77.2	59.3	86.5	8.9	76.5	4.9	59.3	0	52.5	27.3	39.9	45.4	28.6	99.9	99.9	99.9	99.9	99.9	98.8	99.4	95.7	99.6	82.5	-20.2635	27.3848	5.72928	-0.0712299	8.19129	-162.063	
0.3	2.8	2.6	21	77.2	59.3	86.5	8.9	76.5	4.9	59.3	0	52.5	27.3	39.9	45.4	28.6	99.9	99.9	99.9	99.9	99.9	98.8	99.4	95.7	99.6	82.5	-20.2635	27.3848	5.72928	-0.0712299	8.19129	-162.063	
0.31	2.8	2.6	21	77.2	59.3	86.5	8.9	76.5	4.9	59.3	0	52.5	27.3	39.9	45.4	28.6	99.9	99.9	99.9	99.9	99.9	98.8	99.4	95.7	99.6	82.5	-20.2635	27.3848	5.72928	-0.0712299	8.19129	-162.063	
0.32	2.8	2.6	21	77.2	59.3	86.5	8.9	76.5	4.9	59.3	0	52.5	27.3	39.9	45.4	28.6	99.9	99.9	99.9	99.9	99.9	98.8	99.4	95.7	99.6	82.5	-20.2635	27.3848	5.72928	-0.0712299	8.19129	-162.063	
0.33	2.8	2.6	21	77.2	59.3	86.5	8.9	76.5	4.9	59.3	0	52.5	27.3	39.9	45.4	28.6	99.9	99.9	99.9	99.9	99.9	98.8	99.4	95.7	99.6	82.5	-20.2635	27.3848	5.72928	-0.0712299	8.19129	-162.063	
0.34	2.8	2.4	21.4	76.6	59.3	85.9	8.7	76.1	5	59.1	0	52	27.4	39.7	45.4	28.4	99.9	99.9	99.9	99.9	99.9	98.4	99.4	95.1	99.9	85.3	-20.2095	27.0914	5.75795	-0.231692	8.12041	-162.09	
0.35	2.8	2.4	21.4	76.6	59.3	85.9	8.7	76.1	5	59.1	0	52	27.4	39.7	45.4	28.4	99.9	99.9	99.9	99.9	99.9	98.4	99.4	95.1	99.9	85.3	-20.2095	27.0914	5.75795	-0.231692	8.12041	-162.09	
0.36	2.8	2.4	21.4	76.6	59.3	85.9	8.7	76.1	5	59.1	0	52	27.4	39.7	45.4	28.4	99.9	99.9	99.9	99.9	99.9	98.4	99.4	95.1	99.9	85.3	-20.2095	27.0914	5.75795	-0.231692	8.12041	-162.09	
