Hora de inicio de la toma de datos: 10:23:27
AT(s)	F1.1	F1.2	F2.1	F2.2	F3.1	F3.2	F4.1	F4.2	F5.1	F5.2	ABD1	ABD2	ABD3	ABD4	PA	TCO	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	HRoll	HPitch	HYaw	WRoll	WPitch	WYaw	
0.01	1.2	0	10.2	20.4	0.8	23	6.5	9.5	2	13	6	23.5	17.8	20.65	50.1	36.8	100	99.9	56.9	43.6	99.9	99.5	99.9	99.9	99.9	99.9	-86.7425	6.24706	175.917	-57.8049	7.69895	-33.7669	
0.02	1.2	0	10.2	20.4	0.8	23	6.5	9.5	2	13	6	23.5	17.8	20.65	50.1	36.8	100	99.9	56.9	43.6	99.9	99.5	99.9	99.9	99.9	99.9	-86.7425	6.24706	175.917	-57.8049	7.69895	-33.7669	
0.03	1.2	0	10.2	20.4	0.8	23	6.5	9.5	2	13	6	23.5	17.8	20.65	50.1	36.8	100	99.9	56.9	43.6	99.9	99.5	99.9	99.9	99.9	99.9	-86.7425	6.24706	175.917	-57.8049	7.69895	-33.7669	
0.04	1.2	0	10.2	20.4	0.8	23	6.5	9.5	2	13	6	23.5	17.8	20.65	50.1	36.8	100	99.9	56.9	43.6	99.9	99.5	99.9	99.9	99.9	99.9	-86.7425	6.24706	175.917	-57.8049	7.69895	-33.7669	
0.05	1.2	0	10.2	20.4	0.8	23	6.5	9.5	2	13	6	23.5	17.8	20.65	50.1	36.8	100	99.9	56.9	43.6	99.9	99.5	99.9	99.9	99.9	99.9	-86.7425	6.24706	175.917	-57.8049	7.69895	-33.7669	
0.06	1.2	0	10.2	20.4	0.8	23	6.5	9.5	2	13	6	23.5	17.8	20.65	50.1	36.8	100	99.9	56.9	43.6	99.9	99.5	99.9	99.9	99.9	99.9	-86.7425	6.24706	175.917	-57.8049	7.69895	-33.7669	
0.07	1.2	0	10.2	20.4	0.8	23	6.5	9.5	2	13	6	23.5	17.8	20.65	50.1	36.8	100	99.9	56.9	43.6	99.9	99.5	99.9	99.9	99.9	99.9	-86.7425	6.24706	175.917	-57.8049	7.69895	-33.7669	
0.08	1.2	0	10.2	20.4	0.8	23	6.5	9.5	2	13	6	23.5	17.8	20.65	50.1	36.8	100	99.9	56.9	43.6	99.9	99.5	99.9	99.9	99.9	99.9	-86.7425	6.24706	175.917	-57.8049	7.69895	-33.7669	
0.09	1.1	0	10.4	20.3	0.8	22.9	6.5	9.5	2	13	6.7	23.5	17.7	20.6	49.8	36.7	99.9	99.9	57.7	42.7	99.9	99.7	99.9	99.9	99.9	99.9	-86.7609	6.19283	175.928	-58.172	7.71357	-33.8111	
0.1	1.1	0	10.4	20.3	0.8	22.9	6.5	9.5	2	13	6.7	23.5	17.7	20.6	49.8	36.7	99.9	99.9	57.7	42.7	99.9	99.7	99.9	99.9	99.9	99.9	-86.7609	6.19283	175.928	-58.172	7.71357	-33.8111	
