Hora de inicio de la toma de datos: 10:25:42
AT(s)	F1.1	F1.2	F2.1	F2.2	F3.1	F3.2	F4.1	F4.2	F5.1	F5.2	ABD1	ABD2	ABD3	ABD4	PA	TCO	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	HRoll	HPitch	HYaw	WRoll	WPitch	WYaw	
0.01	0	0	100	80.7	86.4	89.5	58.8	72.3	0	52.1	0	48.2	37.5	42.85	42.4	23.3	100	96.2	56.1	42.9	99.9	99.9	99.6	99	99.4	99.7	-153.142	-13.2709	22.1709	-117.503	9.24151	138.487	
0.02	0	0	100	80.7	86.4	89.5	58.8	72.3	0	52.1	0	48.2	37.5	42.85	42.4	23.3	100	96.2	56.1	42.9	99.9	99.9	99.6	99	99.4	99.7	-153.142	-13.2709	22.1709	-117.503	9.24151	138.487	
0.03	0	0	100	80.7	86.4	89.5	58.8	72.3	0	52.1	0	48.2	37.5	42.85	42.4	23.3	100	96.2	56.1	42.9	99.9	99.9	99.6	99	99.4	99.7	-153.142	-13.2709	22.1709	-117.503	9.24151	138.487	
0.04	0	0	100	80.7	86.4	89.5	58.8	72.3	0	52.1	0	48.2	37.5	42.85	42.4	23.3	100	96.2	56.1	42.9	99.9	99.9	99.6	99	99.4	99.7	-153.142	-13.2709	22.1709	-117.503	9.24151	138.487	
0.05	0	0	100	80.7	86.4	89.5	58.8	72.3	0	52.1	0	48.2	37.5	42.85	42.4	23.3	100	96.2	56.1	42.9	99.9	99.9	99.6	99	99.4	99.7	-153.142	-13.2709	22.1709	-117.503	9.24151	138.487	
0.06	0	0	100	80.7	86.4	89.5	58.8	72.3	0	52.1	0	48.2	37.5	42.85	42.4	23.3	100	96.2	56.1	42.9	99.9	99.9	99.6	99	99.4	99.7	-153.142	-13.2709	22.1709	-117.503	9.24151	138.487	
0.07	0	0	100	80.7	86.4	89.5	58.8	72.3	0	52.1	0	48.2	37.5	42.85	42.4	23.3	100	96.2	56.1	42.9	99.9	99.9	99.6	99	99.4	99.7	-153.142	-13.2709	22.1709	-117.503	9.24151	138.487	
0.08	0	0	100	80.7	86.4	89.5	58.8	72.3	0	52.1	0	48.2	37.5	42.85	42.4	23.3	100	96.2	56.1	42.9	99.9	99.9	99.6	99	99.4	99.7	-153.142	-13.2709	22.1709	-117.503	9.24151	138.487	
0.09	0	0	100	80.7	86.4	89.5	58.8	72.3	0	52.1	0	48.2	37.5	42.85	42.4	23.3	100	96.2	56.1	42.9	99.9	99.9	99.6	99	99.4	99.7	-153.142	-13.2709	22.1709	-117.503	9.24151	138.487	
0.1	0	0	100	80.7	86.4	89.5	58.8	72.3	0	52.1	0	48.2	37.5	42.85	42.4	23.3	100	96.2	56.1	42.9	99.9	99.9	99.6	99	99.4	99.7	-153.142	-13.2709	22.1709	-117.503	9.24151	138.487	
0.11	0	0	100	80.7	86.4	89.5	58.8	72.3	0	52.1	0	48.2	37.5	42.85	42.4	23.3	100	96.2	56.1	42.9	99.9	99.9	99.6	99	99.4	99.7	-153.142	-13.2709	22.1709	-117.503	9.24151	138.487	
0.12	0	0	100	80.7	86.4	89.5	58.8	72.3	0	52.1	0	48.2	37.5	42.85	42.4	23.3	100	96.2	56.1	42.9	99.9	99.9	99.6	99	99.4	99.7	-153.142	-13.2709	22.1709	-117.503	9.24151	138.487	
0.13	0	0	100	80.7	86.4	89.5	58.8	72.3	0	52.1	0	48.2	37.5	42.85	42.4	23.3	100	96.2	56.1	42.9	99.9	99.9	99.6	99	99.4	99.7	-153.142	-13.2709	22.1709	-117.503	9.24151	138.487	
0.14	0	0	100	80.7	86.4	89.5	58.8	72.3	0	52.1	0	48.2	37.5	42.85	42.4	23.3	100	96.2	56.1	42.9	99.9	99.9	99.6	99	99.4	99.7	-153.142	-13.2709	22.1709	-117.503	9.24151	138.487	
0.15	0	0	100	80.7	86.4	89.5	58.8	72.3	0	52.1	0	48.2	37.5	42.85	42.4	23.3	100	96.2	56.1	42.9	99.9	99.9	99.6	99	99.4	99.7	-153.142	-13.2709	22.1709	-117.503	9.24151	138.487	
