Hora de inicio de la toma de datos: 10:18:26
AT(s)	F1.1	F1.2	F2.1	F2.2	F3.1	F3.2	F4.1	F4.2	F5.1	F5.2	ABD1	ABD2	ABD3	ABD4	PA	TCO	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	HRoll	HPitch	HYaw	WRoll	WPitch	WYaw	
0.01	0	0	3.7	24.3	0.3	27.7	0	11.9	0	11.2	37.6	35.4	31	33.2	52.1	27.8	99.9	99.9	80	89.6	76.2	99.2	99.4	99.9	99.9	99.9	-91.4806	0.452238	115.446	-60.5059	7.01076	-99.161	
0.02	0	0	3.7	24.3	0.3	27.7	0	11.9	0	11.2	37.6	35.4	31	33.2	52.1	27.8	99.9	99.9	80	89.6	76.2	99.2	99.4	99.9	99.9	99.9	-91.4806	0.452238	115.446	-60.5059	7.01076	-99.161	
0.03	0	0	3.7	24.3	0.3	27.7	0	11.9	0	11.2	37.6	35.4	31	33.2	52.1	27.8	99.9	99.9	80	89.6	76.2	99.2	99.4	99.9	99.9	99.9	-91.4806	0.452238	115.446	-60.5059	7.01076	-99.161	
0.04	0	0	3.7	24.3	0.3	27.7	0	11.9	0	11.2	37.6	35.4	31	33.2	52.1	27.8	99.9	99.9	80	89.6	76.2	99.2	99.4	99.9	99.9	99.9	-91.4806	0.452238	115.446	-60.5059	7.01076	-99.161	
0.05	0	0	3.7	24.3	0.3	27.7	0	11.9	0	11.2	37.6	35.4	31	33.2	52.1	27.8	99.9	99.9	80	89.6	76.2	99.2	99.4	99.9	99.9	99.9	-91.4806	0.452238	115.446	-60.5059	7.01076	-99.161	
0.06	0	0	3.7	24.3	0.3	27.7	0	11.9	0	11.2	37.6	35.4	31	33.2	52.1	27.8	99.9	99.9	80	89.6	76.2	99.2	99.4	99.9	99.9	99.9	-91.4806	0.452238	115.446	-60.5059	7.01076	-99.161	
0.07	0	0	3.7	24.3	0.3	27.7	0	11.9	0	11.2	37.6	35.4	31	33.2	52.1	27.8	99.9	99.9	80	89.6	76.2	99.2	99.4	99.9	99.9	99.9	-91.4806	0.452238	115.446	-60.5059	7.01076	-99.161	
0.08	0	0	3.7	24.3	0.3	27.7	0	11.9	0	11.2	37.6	35.4	31	33.2	52.1	27.8	99.9	99.9	80	89.6	76.2	99.2	99.4	99.9	99.9	99.9	-91.4806	0.452238	115.446	-60.5059	7.01076	-99.161	
0.09	0	0	3.7	24.3	0.3	27.7	0	11.9	0	11.2	37.6	35.4	31	33.2	52.1	27.8	99.9	99.9	80	89.6	76.2	99.2	99.4	99.9	99.9	99.9	-91.4806	0.452238	115.446	-60.5059	7.01076	-99.161	
0.1	0	0	3.7	24.3	0.3	27.7	0	11.9	0	11.2	37.6	35.4	31	33.2	52.1	27.8	99.9	99.9	80	89.6	76.2	99.2	99.4	99.9	99.9	99.9	-91.4806	0.452238	115.446	-60.5059	7.01076	-99.161	
0.11	0	0	3.7	24.3	0.3	27.7	0	11.9	0	11.2	37.6	35.4	31	33.2	52.1	27.8	99.9	99.9	80	89.6	76.2	99.2	99.4	99.9	99.9	99.9	-91.4806	0.452238	115.446	-60.5059	7.01076	-99.161	
0.12	0	0	3.7	24.3	0.3	27.7	0	11.9	0	11.2	37.6	35.4	31	33.2	52.1	27.8	99.9	99.9	80	89.6	76.2	99.2	99.4	99.9	99.9	99.9	-91.4806	0.452238	115.446	-60.5059	7.01076	-99.161	
