Hora de inicio de la toma de datos: 12:20:45
AT(s) ROLL1(udig) MCF1 IFD1 A1 MCF2 IFP2 IFD2(*) A2(**) MCF3 IFP3 IFD3(*) A3 MCF4 IFP4 IFD4(*) A4 MCF5 IFP5 IFD5(*) A5 ROLL5 C C_Ano usado
0.01 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.02 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.03 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.04 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.05 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.06 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.07 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.08 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.09 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.1 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.11 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.122 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.13 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.14 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.15 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.16 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.171 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.181 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.191 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.201 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.211 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.221 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.231 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.241 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.251 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.261 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.271 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.281 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.29 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.3 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.31 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.32 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.33 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.34 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.35 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.36 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.37 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.38 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.39 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.4 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.41 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.42 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.43 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.44 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.45 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.46 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.47 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.48 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.49 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.5 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.51 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.52 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.53 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.54 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.55 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.56 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.57 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.58 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.59 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.6 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.61 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.62 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
0.63 123 110 112 141 111 106 0 0 101 115 0 128 107 123 0 138 119 93 0 120 244 136 77 0 
