Hora de inicio de la toma de datos: 12:16:04
AT(s) ROLL1(udig) MCF1 IFD1 A1 MCF2 IFP2 IFD2(*) A2(**) MCF3 IFP3 IFD3(*) A3 MCF4 IFP4 IFD4(*) A4 MCF5 IFP5 IFD5(*) A5 ROLL5 C C_Ano usado
0.01 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.02 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.03 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.04 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.05 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.06 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.07 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.08 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.09 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.1 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.11 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.12 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.13 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.14 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.15 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.16 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.171 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.181 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.191 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.201 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.211 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.221 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.231 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.241 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.251 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.261 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.271 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.281 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.29 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.3 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.31 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.32 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.33 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.34 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.35 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.36 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.37 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.38 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.39 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.4 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.41 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.42 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.43 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.44 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.45 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.46 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.47 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.48 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.49 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.5 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.51 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.52 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.53 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.54 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.55 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.56 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.57 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.58 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.592 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.6 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.61 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.62 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.63 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.64 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.65 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.66 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.67 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.68 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.69 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.7 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.712 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.72 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.73 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.74 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.75 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.76 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.77 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.78 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.79 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.8 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.81 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.82 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.83 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.84 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.85 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.86 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.87 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.88 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.89 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.9 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.91 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.92 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.93 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.94 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.95 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.96 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.97 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.98 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
0.99 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
1 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
1.01 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
1.02 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
1.03 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
1.04 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
1.05 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
1.06 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
1.07 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
1.08 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
1.09 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
1.1 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
1.11 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
1.12 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
1.13 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
1.14 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
1.15 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
1.16 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
1.17 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
1.18 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
1.19 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
1.2 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
1.21 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
1.22 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
1.23 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
1.24 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
1.25 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
1.26 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
1.27 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
1.28 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
1.29 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
1.3 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
1.31 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
1.32 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
1.33 115 117 111 154 118 81 0 0 104 84 0 140 105 94 0 152 103 74 0 128 209 136 79 0 
