Hora de inicio de la toma de datos: 12:22:40
AT(s) ROLL1(udig) MCF1 IFD1 A1 MCF2 IFP2 IFD2(*) A2(**) MCF3 IFP3 IFD3(*) A3 MCF4 IFP4 IFD4(*) A4 MCF5 IFP5 IFD5(*) A5 ROLL5 C C_Ano usado
0.58 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.59 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.6 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.61 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.62 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.63 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.64 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.65 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.66 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.67 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.68 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.69 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.7 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.71 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.72 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.732 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.74 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.75 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.76 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.77 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.78 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.79 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.8 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.81 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.82 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.83 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.84 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.85 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.86 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.87 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.88 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.89 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.9 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.91 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.92 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.93 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.94 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.95 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.96 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.97 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.98 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
0.99 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.01 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.02 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.03 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.04 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.05 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.06 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.07 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.08 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.09 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.1 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.11 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.12 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.13 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.14 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.15 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.16 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.17 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.18 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
1.19 143 89 130 108 110 90 0 0 125 82 0 152 114 77 0 155 116 98 0 161 239 130 97 0 
